store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
ButteÂ Oroville Veterinary Hospital,,751 Oro Dam Blvd E ,,Oroville ,CA,95965,United States,530-533-1194,,,Monday : 8AM  6PM Tuesday : 8AM  6PM Wednesday : 8AM  6PM Thursday : 8AM  6PM Friday : 8AM  6PM Saturday : 9AM  5PM Sunday : 9AM  5PM,,,
All Pet Emergency Clinic,,104 B. S. Heidelbach Ave ,,Evansville ,IN,47713,United States,812-422-3300,,,Monday : 6AM  8PM Tuesday : 6AM  8PM Wednesday : 6AM  8PM Thursday : 6AM  8PM Friday : 6AM  8PM Saturday : Noon  Monday 8AM Holidays : 24 hours,,,
City Cat Doctor,,600 N. Wells St ,,Chicago ,IL,60654,United States,312-944-2287,,,Monday : 8AM  7PM Tuesday : 8AM  7PM Wednesday : 8AM  4PM Thursday : 8AM  7PM Friday : 8AM  5PM Saturday : 8AM  5PM Sunday : Closed,,,
Boone Animal Hospital,,905 W 55th St. ,,Western Springs ,IL,60558,United States,708-246-5445,,,Monday : 8AM  7PM Tuesday : 8AM  6PM Wednesday : 8AM  6PM Thursday : 8AM  7PM Friday : 8AM  6PM Saturday : 8AM  Noon Sunday : Closed,,,
Woodstock Veterinary Clinic,,691 Lake Avenue ,,Woodstock ,IL,60098,United States,815-338-0132,,,Monday : 8AM  7PM Tuesday : 8AM  6PM Wednesday : 8AM  7PM Thursday : 8AM  6PM Friday : 8AM  6PM Saturday : 8AM  2PM Sunday : Closed,,,
Northwest Animal Hospital & Pet Care Center,,13800 West 135th Street ,,Olathe ,Kansas,66062,United States,913-764-1415,,,Monday : 7:30AM  6PM Tuesday : 7:30AM  6PM Wednesday : 7:30AM  6PM Thursday : 7:30AM  6PM Friday : 7:30AM  6PM Saturday : 8AM  1PM Sunday : Closed,,,
Parkdale Animal Hospital,,10188 State Route 622 W ,,Newburgh ,IN,47630,United States,812-853-3282,,,"Monday : 9AM  12PM, 1:30PM  5PM Tuesday : 9AM  12PM, 1:30PM  5PM Wednesday : 9AM  12PM, 1:30PM  5PM Thursday : 9AM  12PM, 1:30PM  5PM Friday : 9AM  12PM, 1:30PM  5PM Saturday : 8AM  10AM Sunday : Closed",,,
Paw Prints Animal Hospital,,2917 Old US 231 ,,South Lafayette ,IN,47909,United States,765-474-2454,,,Monday : 7AM  8PM Tuesday : 7AM  8PM Wednesday : 7AM  6PM Thursday : 7AM  8PM Friday : 7AM  6PM Saturday : 8AM  2PM Sunday : 4pm to 6pm (for boarding arrivals and departures),,,
Bath Animal Hospital,,15 Congress Ave ,,Bath ,ME,04530,United States,207-443-9006,,,Monday : 8AM  6:30PM Tuesday : 8AM  5PM Wednesday : 8AM  5PM Thursday : 8AM  6:30PM Friday : 8AM  5PM Saturday : 8AM  12PM Sunday : Closed,,,
Lewiston Veterinary Hospital,,75 Stetson Road ,,Lewiston ,ME,04240,United States,207-782-8121,,,Monday : 7:30AM  6PM Tuesday : 7:30AM  6PM Wednesday : 7:30AM  6PM Thursday : 7:30AM  6PM Friday : 7:30AM  6PM Saturday : 7:30AM  4PM Sunday : Closed,,,
