store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Schuyler, NE",,574 Road 11 ,,Schuyler ,NE,68661,United States,"(800) 433-6340, (402) 352-3707",,,"Mon-Fri 8am-6pm, Saturday 8am-5pm, Sunday 10am-4pm",,,
"Elkhorn, NE",,21206 Cumberland Dr ,,Elkhorn ,NE,68022,United States,(402) 289-1607,,,"Mon-Fri 8am-8pm, Saturday 8am-8pm, Sunday 9am-5pm",,,
"Willmar, MN",,4105 Hwy US 12 East ,,Willmar ,MN,56201,United States,"(320) 235-0444, (800) 992-8986",,,Mon-Fri 8am-5pm,,,
"Waseca, MN",,11191 US 14 ,,Waseca ,MN,56093,United States,(507) 835-2100,,,Mon-Fri 8am-5pm,,,
"Nevada, MO",,3803 Enterprise Dr ,,Nevada ,MO,64772,United States,(417) 667-7200,,,Mon-Fri 8am-5pm,,,
"Sedalia, MO",,2700 S Limit Ct ,,Sedalia ,MO,65301,United States,(660) 851-0894,,,Mon-Fri 7am-5pm,,,
"Poplar Bluff, MO",,1911 Speedway Dr ,,Poplar Bluff ,MO,63901,United States,"(573) 778-9214, (573) 778-9248",,,Mon-Fri 8am-5pm,,,
"Brookhaven, MS",,1037 Highway 84 E ,,Brookhaven ,MS,39601,United States,(601) 835-0307,,,Mon-Fri 8am-5pm,,,
"Collins, MS",,3906 Highway 49 N ,,Collins ,MS,39428,United States,(601) 765-4510,,,Mon-Fri 8am-5pm,,,
"Forest, MS",,1910 Highway 35 S ,,Forest ,MS,39074,United States,(601) 469-1813,,,Mon-Fri 7:30am-4:00pm,,,
"Downsville, LA",,9520 Highway 145 ,,Downsville ,LA,71234,United States,(318) 982-5308,,,Mon-Fri 8am-5pm,,,
"Storm Lake, IA",,113 Prairie Road ,,Storm Lake ,IA,50588,United States,"(712) 732-6446, (800) 792-6828",,,Mon-Fri 7am-5pm,,,
"Algona, IA",,800 S Phillips ,,Algona ,IA,50511,United States,(515) 295-9621,,,Mon-Fri 8am-5pm,,,
"Boyden, IA",,907 Horizon Rd ,,Boyden ,IA,51234,United States,(712) 725-6100,,,Mon-Fri 8am-5pm,,,
"Manchester, IA",,1222 W. Marion St ,,Manchester ,IA,52057,United States,"(563) 927-8487, (563) 927-8407",,,Mon-Fri 8am-5pm,,,
"Washington, IA",,2492 Highway 92 ,,Washington ,IA,52353,United States,(319) 653-1066,,,Mon-Fri 8am-5pm,,,
"Ellsworth, IA",,1517 Desota St ,,Ellsworth ,IA,50075,United States,(515) 836-2102,,,Mon-Fri 7am-5pm,,,
"Holdenville, OK",,1008 Airport Road ,,Holdenville ,OK,74848,United States,(405) 379-5225,,,Mon-Fri 8am-5pm,,,
"Guymon, OK",,714 NE 6th St ,,Guymon ,OK,73942,United States,(580) 468-1483,,,Mon-Fri 7am-5pm,,,
"Clinton, NC",,315 Industrial Dr ,,Clinton ,NC,28328,United States,(910) 299-5191,,,Mon-Fri 8am-5pm,,,
"Pocahontas, AR",,1431 Commerce Dr ,,Pocahontas ,AR,72455,United States,(870) 248-0904,,,Mon-Fri 8am-5pm,,,
