store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,686 East Main Street ,,Smithville ,Ohio,44677,United States,330-669-2801,,,"Monday to Friday: 8am - 5pm, Grain Receiving: By Appointment Only",,,
,,40 Equity Street ,,West Salem ,Ohio,44287,United States,419-853-4027,,,"Monday to Friday: 8am - 5:30pm, Saturday: 8am - 1pm",,,
,,427 West Henry Street ,,Wooster ,Ohio,44691,United States,330-264-9925,,,"Monday to Friday: 8am - 5:30pm, Saturday: 8am - 1pm",,,
,,2091 US-322 ,,Williamsfield ,Ohio,44093,United States,440-293-6795,,,8:00am-4:00pm,,,
,,2701 Cream Ridge Rd. ,,Orwell ,Ohio,44076,United States,440-293-4667,,,Monday to Friday: 8:00am to 4:30pm,,,
,,6800 Chestnut Street ,,Sterling ,Ohio,44276,United States,330-939-2571,,,Monday to Friday: 8am - 5pm,,,
,,40 Equity Street ,,West Salem ,Ohio,44287,United States,419-853-4027,,,"Monday to Friday: 8am - 5pm, Saturday: 8am - 1pm during Spring Planting and Fall Harvest",,,
,,204 State Route 58 ,,Sullivan ,Ohio,44880,United States,419-736-2276,,,"Monday to Friday: 8am - 5pm, Saturday: 8am - Noon during Spring Planting & Fall Harvest",,,
,,2260 Church Street ,,Mill Village ,Pennsylvania,16427,United States,814-398-4664,,,Monday to Friday: 8:00am-4:30pm,,,
,,16 West Market Street ,,Seville ,Ohio,44273,United States,330-769-3469,,,Monday to Friday: 8am - 5pm,,,
,,467 Cleveland Rd. ,,Ravenna ,Ohio,44266,United States,330-296-3424,,,"Monday to Friday: 8:00am-7:00pm, Saturday: 8:00am-4:00pm, Sunday: 10:00am-3:00pm",,,
,,128 Studebaker Rd. ,,Slippery Rock ,PA,16057,United States,724-368-3782,,,"Monday to Saturday: Call for hours, Sunday: Closed",,,
,,13925 Madison Rd. ,,Middlefield ,Ohio,44062,United States,440-632-0500,,,"Monday to Friday: 8:00am-4:30pm, Saturday & Sunday: Closed",,,
,,3992 State Route 208 ,,New Wilmington ,Pennsylvania,16142,United States,724-901-7063,,,"Monday to Friday: 8:00am-4:30pm, Saturday: 8:00-Noon, Sunday: Closed",,,
,,6701 Wooster Pike ,,Medina ,Ohio,44256,United States,330-721-0852,,,"Monday to Friday: 8am -7pm, Saturday: 8am - 5pm, Sunday: 10am - 3pm",,,
,,16003 East High Street ,,Middlefield ,Ohio,44062,United States,440-632-0271,,,"Monday to Friday: 6:00am-6:00pm, Saturday: 7:00am -2:00pm, Sunday: Closed",,,
,,489 North Main St ,,Mansfield ,Ohio,44902,United States,419-524-9676,,,Monday to Friday: 8am - 4:30pm,,,
,,901 West Smith Road ,,Medina ,Ohio,44256,United States,419-651-9070,,,,,,
,,195 Satin Street ,,Jefferson ,Ohio,44047,United States,800-362-9598,,,,,,
,,15670 State Route 3 ,,Loudonville ,Ohio,44842,United States,800-247-6071,,,"Monday to Friday: 8am - 5pm, Saturday: 8am - Noon during Spring Planting & Fall Harvest",,,
,,135 East Walnut Street ,,Jefferson ,Ohio,44047,United States,440-576-1050,,,"Monday to Friday: 8:00am-4:30pm, Sunday: Closed",,,
,,717 Erie Street ,,Grafton ,Ohio,44044,United States,440-926-2281,,,"Monday to Friday: 8 am - 5pm, Saturday: 9am - 5pm, Sunday: 10am - 3pm",,,
,,161 East Jefferson St. ,,Jefferson ,Ohio,44047,United States,440-576-3010,,,"Monday to Friday: 8:00am-5:00pm, Saturday: 9:00am-2:00pm, Sunday: Closed",,,
,,951 Mechanic Street ,,Grafton ,Ohio,44044,United States,419-281-2153,,,Monday to Friday: 8am - 4:30pm,,,
,,210 Huron Street ,,Elyria ,Ohio,44035,United States,440-323-0395,,,"Monday - Friday: 7am - 5:30pm, Saturday: 8am - 2pm",,,
,,12285 Ravenna Rd. ,,Chardon ,Ohio,44024,United States,440-285-3143,,,"Monday to Friday: 8:00am-7:00pm, Saturday: 8:00am-4:00pm, Sunday: 10:00am-3:00pm",,,
,,312 South Mecca St. ,,Cortland ,Ohio,44410,United States,330-637-4015,,,"Monday to Friday: 8:00am-6:00pm, Saturday: 8:00am-2:00pm, Sunday: Closed",,,
,,225 Railroad Street ,,Cambridge Springs ,Pennsylvania,16403,United States,814-398-4664,,,Monday to Friday: 8:00am-4:30pm,,,
,,13762 Ford Lane ,,Burton ,Ohio,44021,United States,800-362-9598,,,"Monday to Friday: 7:30am-4:30pm, Saturday: Closed (Pumps available with credit card or WRFC cards except off road diesel and propane fills), Sunday: Closed",,,
,,2515 South Ridge Road ,,Ashtabula ,Ohio,44004,United States,440-998-7057,,,,,,
,,1290 Middle Rowsburg Road ,,Ashland ,Ohio,44805,United States,888-738-7678,,,"Office Hours: 8:00am-5:00pm, Fuel Island: 24/7",,,
,,1290 Middle Rowsburg Road ,,Ashland ,Ohio,44805,United States,419-281-8423,,,"Monday to Saturday: 8am - 7pm, Sunday: 10am - 3pm",,,
,,813 Clark Avenue ,,Ashland ,Ohio,44805,United States,419-281-2153,,,Monday to Friday: 8am - 5:00pm,,,
,,225 East Main Street ,,Andover ,Ohio,44003,United States,440-293-6144,,,Monday to Friday: 8:00am-4:30pm,,,
