store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Granville Street,,574 Granville Street,,Vancouver,BC,BC,Canada,604.688.3422,,,"Monday to Friday: 6:00am - 6:00pm, Weekends: 7:00am - 6:00pm",,,
West Hastings (Caffe & commissary kitchen),,740 West Hastings Street,,Vancouver,BC,BC,Canada,604.915.7200,,,"Monday to Friday: 6:00am - 5:30pm, Saturday to Sunday: 7:00am - 5:00pm, served until 2:00pm Daily",,,
"Hornby Street (Next to Fairmont, Hotel Vancouver)",,763 Hornby Street,,Vancouver,BC,BC,Canada,604.694.7737,,,"Monday to Friday: 5:30am - 9:00pm, Saturday: 6:00am - 9:00pm, Sunday and Holidays: 6:00am - 8:00pm",,,
Kerrisdale,,2154 West 41st Avenue,,Vancouver,BC,BC,Canada,604.267.1008,,,,,,
Main Street,,4010 Main Street,,Vancouver,BC,BC,Canada,604.569.2233,,,"Monday to Friday: 6:00am - 6:30pm, Weekends: 6:30am - 6:30pm",,,
West Pender,,1101 West Pender Street,,Vancouver,BC,BC,Canada,604.685.5333,,,"Monday to Friday: 5:30am - 6:00pm, Saturday and Sunday: 6:00am - 5:00pm",,,
Park Place,,#150- 666 Burrard Street,,Vancouver,BC,BC,Canada,604-428-8767,,,Monday to Friday: 6:00am - 6:00pm,,,
Yaletown,,302 Davie Street,,Vancouver,BC,BC,Canada,604.336.4766,,,Monday to Sunday: 6:00am - 7:00pm,,,
East Hastings,,4359 East Hastings Street,,Burnaby,BC,BC,Canada,604.473.2180,,,Monday to Sunday: 6:00am - 6:30pm,,,
Underhill (beside our roasting facility),,104 - 2999 Underhill Avenue,,Burnaby,BC,BC,Canada,604.420.4447,,,Monday to Friday: 6:30am - 5:00pm,,,
McArthur Glen Designer Outlet Mall by YVR Airport,,1082-7899 Templeton Station Road,,Richmond,BC,BC,Canada,604.278.3175,,,"Monday to Saturday: 9:00am - 9:00pm, Sunday: 9:00am - 8:00pm",,,
Park Royal (The Village),,J5 - 925 Main Street,,West Vancouver,BC,BC,Canada,604.913.1400,,,"Monday to Friday: 6:00am - 7:00pm, Weekends: 7:00am - 7:00pm",,,
Edgemont Village,,3154 Highland Blvd,,North Vancouver,BC,BC,Canada,604.770.4771,,,Monday to Sunday: 6:00am - 6:00pm,,,
Centrium,,100 - 332 6th Ave SW,,Calgary,AB,AB,Canada,403.699.9855,,,"Monday to Friday: 6:00am - 5:00pm, Weekends: Closed",,,
Shell Oil,,103 - 400 4th Ave SW,,Calgary,AB,AB,Canada,403.262.2343,,,"Monday to Friday: 6:00am - 5:00pm, Weekends: Closed",,,
Watermark,,530 - 8th Ave SW,,Calgary,AB,AB,Canada,403.452.7127,,,"Monday to Friday: 6:00am - 5:00pm, Weekends: Closed",,,
Head Office,,105 - 2999 Underhill Avenue,,Burnaby,BC,BC,Canada,604.420.4447,,,,,,
