store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Westfield GatewayTEPPANYAKI,,6100 O St,,Lincoln,NE,68505,United States,(402) 466-5131,,,"Sunday 12:00 PM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
Penn State Hibachi San Hibachi San,,Penn State,,State College,PA,16801,United States,(814) 861-6900,,,,,,
Chesterfield MallTEPPANYAKI,,291 Chesterfield Center,,Chesterfield,MO,63017,United States,(636) 536-6271,,,"Sunday 11:00 AM-6:00 PM, Monday 10:30 AM-9:00 PM, Tuesday 10:30 AM-9:00 PM, Wednesday 10:30 AM-9:00 PM, Thursday 10:30 AM-9:00 PM, Friday 10:30 AM-9:00 PM, Saturday 10:30 AM-9:00 PM",,,
Galleria at SunsetTEPPANYAKI,,1300 W Sunset Rd,,Henderson,NV,89014,United States,(702) 547-6896,,,"Sunday 11:00 AM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
University of Michigan Hibachi San (North Campus) Hibachi San,,Univ Of Michigan - Hibachi San 2101 Bonisteel,,Ann Arbor,MI,48109,United States,(734) 769-9231,,,"Sunday CLOSE-CLOSE, Monday 10:30 AM-8:00 PM, Tuesday 10:30 AM-8:00 PM, Wednesday 10:30 AM-8:00 PM, Thursday 10:30 AM-8:00 PM, Friday 10:30 AM-8:00 PM, Saturday CLOSE-CLOSE",,,
Sugarloaf & BrownTRADITIONAL,,5900 Sugarloaf Pkwy,,Lawrenceville,GA,30043,United States,(678) 847-5940,,,"Sunday 12:00 PM-6:00 PM, Monday 11:00 AM-9:00 PM, Tuesday 11:00 AM-9:00 PM, Wednesday 11:00 AM-9:00 PM, Thursday 11:00 AM-9:00 PM, Friday 11:00 AM-9:00 PM, Saturday 11:00 AM-9:00 PM",,,
Sarasota Square Mall Hibachi SanTEPPANYAKI,,8201 S. Tamiami Trail SPACE FC-09,,Sarasota,FL,34238,United States,(941) 922-0290,,,"Sunday 12:00 PM-5:30 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
Ala Moana CenterTEPPANYAKI,,"1450 Ala Moana Blvd., #1160q",,Honolulu,HI,96814,United States,(808) 946-7100,,,"Sunday 9:30 AM-7:00 PM, Monday 9:30 AM-9:00 PM, Tuesday 9:30 AM-9:00 PM, Wednesday 9:30 AM-9:00 PM, Thursday 9:30 AM-9:00 PM, Friday 9:30 AM-9:00 PM, Saturday 9:30 AM-9:00 PM",,,
Micronesia Mall Hibachi San Hibachi San,,1088 W. Marine Corps Drive,,Dededo,GU,96929,United States,(671) 633-9889,,,"Sunday 10:00 AM-9:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
Citadel MallTEPPANYAKI,,750 Citadel Drive East SUITE #2248,,Colorado Springs,CO,80909,United States,(719) 637-2607,,,"Sunday 11:00 AM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
Colorado Mills MallTRADITIONAL,,14500 W Colfax Ave FC-8,,Golden,CO,80401,United States,(303) 271-9996,,,"Sunday 11:00 AM-6:00 PM, Monday 11:00 AM-9:00 PM, Tuesday 11:00 AM-9:00 PM, Wednesday 11:00 AM-9:00 PM, Thursday 11:00 AM-9:00 PM, Friday 11:00 AM-9:00 PM, Saturday 11:00 AM-9:00 PM",,,
Chandler Fashion CenterTRADITIONAL,,3111 W Chandler Blvd FF-232,,Chandler,AZ,85226,United States,(480) 857-0050,,,"Sunday 11:00 AM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
Camp Pendleton Hibachi-San Hibachi San,,20846 Pacific Plaza,,Camp Pendleton,CA,92055,United States,(760) 430-0308,,,"Sunday 10:00 AM-8:00 PM, Monday 10:00 AM-8:00 PM, Tuesday 10:00 AM-8:00 PM, Wednesday 10:00 AM-8:00 PM, Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-8:00 PM, Saturday 10:00 AM-8:00 PM",,,
Cal State Long Beach Hibachi San Hibachi San,,University Dining Plaza 6049 E 7th Street,,Long Beach,CA,90840,United States,(562) 985-2111,,,,,,
Bonita MallTEPPANYAKI,,3030 Plaza Bonita Drive FC-8,,National City,CA,91950,United States,(619) 472-9654,,,"Sunday 11:00 AM-7:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
