store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Streeterville (Ontario & Fairbanks),,,,Chicago ,States,60611,United States,312-933-1035,,,"Mon - Fri: 7AM - 9PM, Sat - Sun: 8AM - 9PM",,,
Gold Coast,,831 N. State St. ,,Chicago ,IL,60611,United States,312-967-8600,,,"Mon - Fri: 7:30AM - 9PM, Sat - Sun: 8AM - 9PM",,,
River North (Clark & Hubbard),,413 North Clark Street ,,Chicago ,IL,60654,United States,312-836-5933,,,"Mon - Fri: 7AM - 9:30PM, Sat - Sun: 8AM - 9:30PM",,,
Lincoln Park,,1538 N. Clybourn Ave. ,,Chicago ,IL,60610,United States,312-801-5955,,,"Mon - Fri: 11AM - 9PM, Sat - Sun: 8AM - 9PM",,,
Evanston,,1603 Orrington Ave ,,Evanston ,IL,60201,United States,847-563-8242,,,"Mon - Fri: 11AM - 9pm, Sat - Sun: 8AM - 9PM",,,
East Memphis,,6201 Poplar Ave. ,,Memphis ,TN,38119,United States,901-684-5333,,,Mon - Sun: 10AM - 9PM,,,
Downtown Memphis,,272 S Main St ,,Memphis ,TN,38103,United States,901-526-0254,,,Mon - Sun: 10AM - 9PM,,,
Plano Park,,1900 Preston Rd # 111 ,,Plano ,TX,75093,United States,972-867-5933,,,Mon - Sun: 10AM - 9PM,,,
Park Meadows,,8505 Park Meadows Center Dr Suite 2184A ,,Lone Tree ,CO,80124,United States,303-706-9100,,,"Mon - Sat: 10AM - 9PM, Sun: 10AM - 7PM",,,
Henderson,,140 S Green Valley Pkwy # 142 ,,Henderson ,NV,89012,United States,702-558-0131,,,"Mon-Sat: 8AM - 9PM, Sun: 8AM - 8PM",,,
Valencia,,24201 Valencia Blvd Suite 3260 ,,Santa Clarita ,CA,91355,United States,661-259-5933,,,"Mon - Sat: 8AM - 9PM, Sun: 8AM - 8PM",,,
Playa Vista,,12746 W. Jefferson Blvd. # 2200 ,,Los Angeles ,CA,90066,United States,424-353-9003,,,Mon - Sun: 8AM - 9PM,,,
Cupertino,,19399 Stevens Creek Blvd. Suite # 5 ,,Cupertino ,CA,95014,United States,669-231-4910,,,"Mon - Thu: 8AM - 9PM, Fri: 8AM - 10PM, Sat: 8AM - 10PM, Sun: 8AM - 9PM",,,
Palo Alto,,167 North Hamilton Ave ,,Palo Alto ,CA,94301,United States,650-325-5933,,,"Mon - Thu: 7AM - 9PM, Fri: 7AM - 10PM, Sat: 8AM - 10PM, Sun: 8AM - 9PM",,,
