store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,,,,,,United States,,,,,,,http://www.rtacos.com/
,,,,,,,United States,TBD,,,,,,http://www.rtacos.com/texas/ft-worth-ridglea-village/
,,,,,,,United States,,,,Mon - Fri: 6:00 am - 3:00 pm,,,http://www.rtacos.com/texas/dallas-medical-district/index.html
,,,,,,,United States,,,,Mon–Sat:  7:00 am - 10:00 pm,,,http://www.rtacos.com/texas/dallas-greenville/index.html
,,210 East Hickory ,,Denton ,TX,76201,United States,,,,"Mon–Thu:  9:00 am - 10:00 pm, Fri-Sat: 9:00 am – 12:00 am, Sun: 9:00 am - 10:00 pm",,,http://www.rtacos.com/texas/denton/
,,Coming Soon! 12995 West Center Road ,,Omaha ,NE,68144,United States,,,,,,,http://www.rtacos.com/nebraska/omaha-center/
,,,,,,,United States,(817) 615-9780,,,,,,http://www.rtacos.com/texas/ft-worth-bluebonnet/
,,,,,,,United States,(817) 605-9075,,,Sun - Sat: 6am - 10pm,,,http://www.rtacos.com/texas/hurst/
,,8000 Coit ,,Plano ,TX,75025,United States,,,,"Mon–Thu:  7:00 am - 9:00 pm, Fri-Sat: 7:00 am - 9:00 pm",,,http://www.rtacos.com/texas/plano/
,,Coming Soon! 9500 University Ave. ,,West Des Moines ,IA,50266,United States,,,,,,,http://www.rtacos.com/iowa/waukee/
,,12050 Inwood Rd. Suite 110 ,,Dallas ,TX,75244,United States,,,,Mon–Sun:  6:00am - 9:00pm,,,http://www.rtacos.com/texas/dallas-preston-hollow/
,,1822 Brown St. ,,Dayton ,OH,45409,United States,937-938-7384,,,"Mon-Wed: 7am-12am, Thurs-Fri: 7am-2:30am, Sat: 8am-2:30am, Sun: 8am-10pm",,,http://www.rtacos.com/ohio/dayton/
,,,,,,,United States,,,,"Mon-Thurs: 7am-9pm, Fri-Sat: 7am-10pm, Sun: 9am-9pm",,,http://www.rtacos.com/nebraska/omaha/
,,508 Lexington Pkwy S. ,,St. Paul ,MN,55105,United States,,,,"Mon-Thu: 11am - 9pm, Fri: 11am - 10pm, Sat: 10am - 10pm, Sun: 10am - 9pm",,,http://www.rtacos.com/minnesota/st-paul/
,,,,,,,United States,,,,"Mon - Thu: 6:00 am - 9:00 pm, Friday: 6:00 am - 10:00 pm, Sat - Sun: 8:00 am - 10:00 pm",,,http://www.rtacos.com/texas/dallas-oak-lawn/
,,522 East Hennepin Ave ,,Minneapolis ,MN,55414,United States,,,,"Mon-Thu: 11am - 9pm, Fri: 11am - 10pm, Sat: 10am - 10pm, Sun: 10am - 9pm",,,http://www.rtacos.com/minnesota/minneapolis/
,,303.466.3093 6515 W 104th Ave ,,Westminster ,CO,80020,United States,,,,"Mon-Thur: 7:00 am – 9:00 pm, Sat: 8:00 am - 10:00 pm, Sun: 8:00 am - 9:00 pm",,,http://www.rtacos.com/colorado/westminster/index.html
,,7630 W. 80th Ave. ,,Arvada ,CO,80005,United States,,,,"Mon - Sat: 7am - 10pm, Sun: 7am - 9pm",,,http://www.rtacos.com/colorado/arvada/index.html
,,8501 Bowles Ave. Ste. 1098 ,,Littleton ,CO,80123,United States,,,,"Mon - Sat: 9am - 9pm, Sun: 9am - 8pm",,,http://www.rtacos.com/colorado/littleton/index.html
,,6346 Vinewood Lane N. ,,Maple Grove ,MN,55311,United States,,,,"Mon-Thu: 11am - 9pm, Fri: 11am - 10pm, Sat: 10am - 10pm, Sun: 10am - 9pm",,,http://www.rtacos.com/minnesota/maple-grove/
,,Now Open 13000 Technology Dr Ste 120 ,,Eden Prairie ,MN,55344,United States,,,,"Mon-Thu: 7am - 9pm, Fri: 7am - 10pm, Sat: 10am - 10pm, Sun: 10am - 9pm",,,http://www.rtacos.com/minnesota/eden-prairie/
,,,,,,,United States,(651) 756-1786,,,"Mon-Thu: 11am - 9pm, Fri: 11am - 10pm, Sat: 10am - 10pm, Sun: 10am - 9pm",,,http://www.rtacos.com/minnesota/eagan/
