store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Hong Kong - Happy Valley,1806439,3 Min Fat Street ,,Happy Valley ,,,Hong Kong,852-2887-8400,22.26902,114.18645,"Monday 10am to 7pm, Tues-Sun 10am to 8pm",,,
Clinton Township,1806367,17330 Hall Road ,,Clinton Township ,MI,48038,United States,586-226-3364,42.62765,-82.9489665,"M-S 10am to 9pm, Sunday 11am to 6pm",,,
Hong Kong - Midlevels,1806438,134 Caine Road Midlevels ,,,,,Hong Kong,852-2517-6812,22.28268,114.14931,"Tues-Fri 11am to 7pm, Saturday and Sunday 11am to 6pm",,,
Des Moines,1806363,650 South 50th Street ,,West Des Moines ,IA,50265,United States,515-457-3130,41.560262,-93.770384,"M-S 10am to 7pm, Sunday 10am to 5pm",,,
Fort Worth,1806397,9530 Feather Grass Lane ,,Fort Worth ,TX,76177,United States,817-741-3364,32.9118531,-97.3103489,"M - Th: 10:00 AM to 6:00 PM, Fr: 10:00 AM to 8:00 PM, Sa: 9:00 AM to 8:00 PM",,,
Bentonville,1806441,113 W Central Ave ,,Bentonville ,AR,72712,United States,479-268-5599,36.3720931,-94.2094164,Monday-Saturday: 10 AM to 8 PM,,,
Encino,3588266,17301 Ventura Boulevard ,,Encino ,CA,91436,United States,,34.1569103,-118.4874576,"Monday - Saturday: 9:00 AM - 8:00 PM, Sunday: 10:00 AM - 6:00 PM",,,
Columbus,1806378,611 North High Street ,,Columbus ,OH,43215,United States,614-221-3647,39.9748286,-83.0033977,"M-F 10am to 7pm, Saturday 9am to 7pm",,,
Albuquerque,1806376,9821 Montgomery Boulevard Northeast ,,Albuquerque ,NM,87111,United States,505-294-2300,35.131189,-106.530922,"M-S 10am to 6pm, Sunday 10am to 5pm",,,
Kansas City,1805766,602 W 48th St ,,Kansas City ,MO,,United States,816-753-3647,39.0408126,-94.5945287,"M-S 10am to 8pm, Sunday 11am to 5pm",,,
Lake Arrowhead,1805774,28200 Highway 189 ,,Lake Arrowhead ,CA,,United States,909-337-3157,34.2499538,-117.189477,"M-Th 10am to 5:30pm, F-S 10am to 6pm, Sunday 10am to 5:30pm",,,
Las Vegas,1806374,2110 North Rampart Boulevard ,,Las Vegas ,NV,89128,United States,702-737-3364,36.1980345,-115.2825691,"M-F 10am to 6pm, Saturday 10am to 5pm, Sunday 10am to 3pm",,,
Indianapolis - Downtown,1806359,444 Massachusetts Ave ,,Indianapolis ,IN,46204,United States,317-238-0000,39.7734873,-86.1514891,"M-F 10am to 9pm, Saturday and Sunday 9am to 6pm",,,
Asheville,1806377,21 Battery Park Avenue ,,Asheville ,NC,28801,United States,828.252.1818,35.595393,-82.555501,M-S 10am to 6pm,,,
Jetton Village - Lake Norman,3344006,19825 N Cove Rd ,,Cornelius ,NC,28031,United States,704-237-4151,35.4784235,-80.893891,Monday - Saturday: 10:00 AM - 7:00 PM,,,
Indianapolis - Noblesville,1806361,13904 Town Center Blvd ,,Noblesville ,IN,,United States,317-776-6699,39.9910103,-85.9312098,"M-S 10am to 9pm, Sunday 10am to 6pm",,,
Uptown Dallas,3261164,3699 McKinney Ave ,,Dallas ,TX,75204,United States,,32.8082983,-96.7973428,"Monday - Thursday: 10:00 AM - 7:00 PM, Friday: 10:00 AM - 8:00 PM, Saturday: 9:00 AM - 8:00 PM",,,
Vancouver,1806401,4348 Main Street,, Vancouver, British Columbia ,V5V 3P9 ,Canada,604-737-3647,49.2461802,-123.1012022,"M-S 10am to 6pm, Sunday 11am to 5pm",,,
Three Dog Bakery - Zionsville,2756545,120 South Main Street ,,Zionsville ,IN,,United States,,39.9504811,-86.2618199,"Monday - Wednesday: 10:30 AM - 7 PM, Thursday - Friday: 10:30 AM - 9 PM, Saturday: 9 AM - 9 PM",,,
University City,2820709,6323 Delmar Blvd ,,University City ,MO,63130,United States,314-863-3364,38.6559996,-90.3036413,,,,
Three Dog Bakery - The Shoppes at University Town Center,4407062,8455 Cooper Creek Blvd ,,Bradenton ,FL,34201,United States,,27.392071,-82.4530341,"Monday - Thursday: 10:00 AM - 8:00 PM, Friday & Saturday: 10:00 AM - 9:00 PM",,,
Toledo - NOW OPEN,2820530,5236 Monroe Street ,,Toledo ,OH,43623,United States,,41.7019676,-83.6516166,Monday - Saturday: 10:00 AM - 7:00 PM,,,
Three Dog Bakery - Kingston,3588265,785 Wyoming Avenue ,,Kingston ,PA,,United States,,41.2740851,-75.8836867,Monday - Saturday: 10 AM - 7 PM,,,
Three Dog Bakery - Grayson,4621678,1911 Grayson Highway ,,Grayson ,GA,30017,United States,,33.897481,-83.9613948,,,,
St. Louis,1805767,1208 Town and Country Crossing Drive ,,Town and Country ,MO,,United States,636-527-3364,38.6208712,-90.5166866,"M, W, F, Sat: 9:30am to 6pm, Tues/Thurs: 9:30am to 8pm, Sunday: 11am to 5pm",,,
Three Dog Bakery - Edmond,3896209,1380 W Covell Rd ,,Edmond ,OK,,United States,,35.6818823,-97.5041718,,,,
