store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Dubuque  Iowa,,350 Bell Street ,,Dubuque ,Iowa,52001,United States,563-690-3249,,,"Sunday - Thursday: 6:30am - 11:00pm, Friday - Saturday: 6:30am - 12:00am",,,
Laredo  Texas,,5300 San Dario Ave. # 278-C # 125 ,,Mall Del Norte Laredo ,Texas,78041,United States,956-722-7427,,,"Sunday - Thursday: 11:00am - 10:00pm, Friday - Saturday: 11:00am - 11:00pm",,,
McAllen South  Texas,,2121 South 10th Street ,,McAllen ,Tx,78503,United States,956-631-2121,,,"Sunday - Thursday: 11:00am - 10:00pm, Friday - Saturday: 11:00am - 11:00pm",,,
"Rivercenter, San Antonio  Texas",,849 E Commerce Street ,,San Antonio ,Tx,78205,United States,210-225-7662,,,"Sunday - Thursday: 11:00am - 10pm, Friday - Saturday: 11:00am - 11:00pm",,,
"Fremont Hotel, Las Vegas  Nevada",,200 E Fremont Street ,,Las Vegas ,NV,89101,United States,702-385-3232,,,"Sunday - Thursday: 4:30pm - 11:00pm, Friday - Saturday: 4:30pm - 12:00 midnight",,,
Bloomington  Illinois,,1607 Jumer Drive ,,Bloomington ,Ill,61704,United States,309-662-2525,,,"Monday - Thursday: 10:30am - 10pm, Friday: 10:30am - 11pm, Saturday: 7am - 11pm, Sunday: 7am - 8pm",,,
Newark Airport  New Jersey,,3 Newark Airport Terminal A Space A12 Newark ,,New ,Jersey,07114,United States,973-854-0891,,,Monday - Sunday: 9:00am - 9:00pm,,,
Agana,,Agana Shopping Center 302 South Route 4 Ste. 133 & 134 ,,Agana ,,96910,Guam,671-477-4071,,,,,,
Tumon,,Royal Orchid Hotel 626 Pale San Vitores Rd.  ,,Tumon ,,96913,Guam,671-646-0017,,,,,,
Niagara Falls  New York,,114 Bufflo Ave. ,,Niagara Falls ,NY,14303,United States,716-418-7427,,,"Sunday - Thursday: 6:30 - 11:00am Breakfast  |  11:00 - 4:00pm Lunch  |  4:00 - 9:00pm Dinner, Friday - Saturday: 6:30 - 11:00am Breakfast  |  11:00 - 4:00pm Lunch  |  4:00 - 10:00pm Dinner",,,
Aiea Pearlridge  Hawaii,,98-150 Kaonohi St. ,,Aiea ,Hawaii,96701,United States,808-487-9911,,,"Sunday - Thursday: 11:00am - 10:00pm, Friday - Saturday: 11:00am - 11:00pm",,,
"Honolulu, Waikiki  Hawaii",,1972 Kalakaua ,,Honolulu ,Hawaii,96815,United States,808-942-2121,,,Monday - Sunday: 11:00am - 11:00pm,,,
Mall of America  Minnesota,,60 East Broadway ,,Bloomington ,Minnesota,55425,United States,952-854-7940,,,"Monday - Thursday: 11:00am - 10:00pm, Friday - Saturday: 11:00am - 11:00pm, Sunday: 11:00am - 9:00pm",,,
Doral  Florida,,3300 N.W. 87th Ave ,,Doral ,FL,33172,United States,305-994-7511,,,"Sunday - Thursday: 11:30am - 10:00pm, Friday: 11:30am - 11:00pm, Saturday: 12:00pm - 11:00pm, Sunday: 12:00pm - 10:00pm",,,
"International Drive, Orlando  Florida",,8560 International Drive ,,Orlando ,FL,32819,United States,407-248-0094,,,"Sunday – Thursday: 12:00 pm – 11:00 pm, Friday – Saturday: 12:00 pm – 12:00 am",,,
Jensen Beach  Florida,,3750 NE Indian River Drive Suite B100 ,,Jensen Beach ,FL,34957,United States,772-225-6327,,,"Sunday - Thursday: 11:00am - 11:00pm, Friday - Saturday: 11:00am - 12 - Midnight",,,
Sunny Isles Beach  Florida,,18050 Collins Ave. ,,Sunny Isles Beach ,FL,33160,United States,305-932-7907,,,"Sunday - Thursday: 12:00pm - 11:00pm, Friday - Saturday: 12:00pm - 12:00 Midnight",,,
Anaheim  California,,1640 S. Harbor Blvd. ,,Anaheim ,Ca,92802,United States,714-520-0200,,,"Sunday - Thursday: Opens Daily at 11am, Friday - Saturday: Opens Daily at 11am",,,
Carson  California,,20720 S Avalon Blvd. ,,Carson ,Ca,90746,United States,310-329-5723,,,"Sunday - Thursday: 11:00am - 10:00pm, Friday - Saturday: 11:00am - 11:00pm",,,
Encino  California,,16575 Ventura Blvd. ,,Encino ,Ca,91436,United States,818-461-8400,,,"Sunday - Thursday: 11:00am - 9:30pm, Friday - Saturday: 11:00am - 10:00pm",,,
Universal City Walk  California,,1000 Universal Studios Blvd. ,,Universal City ,Ca,91608,United States,818-763-7662,,,Monday - Sunday: Opens Daily at 11am,,,
