store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Vista,,35 Main Street Suite C140 ,,Vista ,CA,92083,United States,760-806-9464,,,"Monday to Thursday 10:30 a.m. to 9 p.m. , Friday & Saturday 10:30 a.m. to 10 p.m. , Sunday 10:30 a.m. to 9:30 p.m.",,,
Oceanside,,2525 Vista Way Suite A ,,Oceanside ,CA,92054,United States,760-722-8895,,,"Sunday to Thursday 10:30 a.m. to 9 p.m. , Friday & Saturday 10:30 a.m. to 9:30 p.m.",,,
San Marcos,,324 South Twin Oaks Valley Road ,,San Marcos ,CA,92078,United States,760-591-9464,,,"10:00 a.m. to 9:30 p.m. Monday - Thursday , 10:00 a.m. to 10:00 p.m. Friday/Saturday , 10:00 a.m. to 9:00 p.m. Sunday",,,
Temecula (South),,31045 Temecula Parkway Suite 104 ,,Temecula ,CA,92592,United States,951-303-6205,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Santee,,9331 Mission Gorge Rd. ,,Santee ,CA,92071,United States,619-596-2777,,,"10:30 a.m. to 9:30 p.m. , 10:30 a.m. to 10 p.m. , 10:00 a.m. to 9:00 p.m.",,,
National City,,1499 E Plaza Blvd. ,,National City ,CA,91950,United States,619-474-2006,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Temecula (Winchester),,39650 Winchester Rd. ,,Temecula ,CA,92591,United States,951-699-3336,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Murrieta,,40942 California Oaks Rd ,,Murrieta ,CA,92563,United States,951-461-2331,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Sports Arena,,3194 Midway Drive ,,San Diego ,CA,92110,United States,619-226-0185,,,"Sunday to Thursday 10 a.m. to 9 p.m. , Friday and Saturday 10 a.m. to 10 p.m.",,,
Kearny Mesa,,3904 Convoy St. Suite 100 ,,San Diego ,CA,92111,United States,858-576-2526,,,"Sunday to Thursday 10 a.m. to 9 p.m. , Friday and Saturday 10 a.m. to 10 p.m.",,,
Mira Mesa,,9174 Mira Mesa Blvd ,,San Diego ,CA,92126,United States,858-536-9293,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Escondido,,245 W. El Norte Pkwy ,,Escondido ,CA,92026,United States,760-796-7906,,,"Sunday to Thursday 10 a.m. to 9 p.m. , Friday and Saturday 10 a.m. to 10 p.m.",,,
Eastlake,,2315 Otay Lakes Rd. ,,Chula Vista ,CA,91915,United States,619-216-3000,,,"Sunday to Thursday 10:30 a.m. to 9 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
Chula Vista,,481 Broadway Suite A ,,Chula Vista ,CA,91910,United States,619-476-7667,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
El Cajon,,528 N Second Street ,,El Cajon ,CA,92021,United States,619-579-9464,,,"Sunday to Thursday 10:30 a.m. to 9 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
College / SDSU,,6715 El Cajon Blvd. ,,San Diego ,CA,92115,United States,619-462-9464,,,"Monday to Thursday 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10:00 p.m. , Sunday 10 a.m. to 9:00 p.m.",,,
Carmel Mountain,,12075 Carmel Mountain Rd Suite 201 ,,San Diego ,CA,92128,United States,858-451-9464,,,"Sunday to Thurs. 10:30 a.m. to 9:30 p.m. , Friday and Saturday 10:30 a.m. to 10 p.m.",,,
