store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Houston (Three Allen Center),,"333 Clay Street,  Suite 2823 (Office)",,Houston,TX,77002,United States,,29.757294,-95.37175,,,,
Dallas Preston Common Center,,"8117 Preston Rd, Suite 300 (Office)",,Dallas,TX,75225,United States,,32.861481,-96.8042,,,,
"Indianapolis - Associated Bank, NA",,"300 N. Meridian Street., Suite 1200 (Office)",,Indianapolis,IN,46204,United States,,39.771534,-86.158356,,,,
Columbus,,20 S Third St. Suite 210 (Office),,Columbus,OH,43215,United States,,39.962063,-82.997406,,,,
Birmingham (CRE),,"355 S. Old Woodward Avenue, Suite 210 (Office)",,Birmingham,MI,48009,United States,,42.544773,-83.211395,,,,
Chicago (300 La Salle),,300 N. LaSalle Street,,Chicago,IL,60654,United States,312-494-1034,41.8733,-87.631649,LobbyHours Mon-Thurs: 8:00 a.m. - 5:00 p.m. / Fri: 8:00 a.m. - 5:00 p.m. / Sat: Closed / Sun: Closed,,,
Chicago (Monroe),,525 W. Monroe Street,,Chicago,IL,60661,United States,312-544-4300,41.8802,-87.6405,LobbyHours Mon-Thurs: 8:00 a.m. - 5:00 p.m. / Fri: 8:00 a.m. - 5:00 p.m. / Sat: Closed / Sun: Closed,,,
Chicago (AON),,200 E. Randolph Street,,Chicago,IL,60601,United States,312-861-1000,41.8845,-87.622299,LobbyHours Mon-Thurs: 8:00 a.m. - 5:00 p.m. / Fri: 8:00 a.m. - 5:00 p.m. / Sat: Closed / Sun: Closed,,,
Chicago (Pilsen) LPO,,"1647 W. 18th St, Unit 1 (-)",,Chicago,IL,60608,United States,,41.857502,-87.668015,,,,
Chicago (Bronzeville),,743 E 47th St,,Chicago,IL,60653,United States,312-552-2490,41.809469,-87.607459,LobbyHours Mon-Thurs: 10:00 a.m. - 5:00 p.m. / Fri: 10:00 a.m. - 6:00 p.m. / Sat: Closed / Sun: Closed,,,
Chicago (Rogers Park) LPO,,6721 N. Clark St (-),,Chicago,Il,60626,United States,,42.004064,-87.672614,,,,
Chicago (Gladstone),,5200 N. Central Avenue,,Chicago,IL,60630,United States,773-792-0440,41.9757,-87.7685,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 8:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Chicago (Jewel Osco),,1763 W Howard St (Jewel Osco),,Chicago,IL,60626,United States,773-594-2360,42.017456,-87.674583,LobbyHours Mon-Thurs: 10:00 a.m. - 7:00 p.m. / Fri: 10:00 a.m. - 7:00 p.m. / Sat: 10:00 a.m. - 4:00 p.m. / Sun: 11:00 a.m. - 3:00 p.m.,,,
Chicago (Devon),,6355 N. Central Avenue,,Chicago,IL,60646,United States,773-467-8827,41.9968,-87.763999,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 8:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Glenview,,1301 Waukegan Road,,Glenview,IL,60025,United States,847-724-9000,42.078,-87.7985,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Roselle,,56 E. Irving Park Road,,Roselle,IL,60172,United States,630-893-0020,41.9844,-88.0784,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Bartlett,,200 Bartlett Avenue,,Bartlett,IL,60103,United States,630-830-3434,41.992699,-88.185599,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Bartlett (Drive-Thru),,231 Oneida,,Bartlett,IL,60103,United States,630-830-3434,41.992699,-88.185599,DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed,,,
Mundelein,,208 Oak Creek Plaza,,Mundelein,IL,60060,United States,847-949-9000,42.239199,-87.989999,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Libertyville,,929 N. Milwaukee Avenue,,Libertyville,IL,60048,United States,847-367-1850,42.2929,-87.955299,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: Closed / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: Closed / Sun: Closed",,,
Waukegan,,1 S. Genesee Street,,Waukegan,IL,60085,United States,847-623-3800,42.3596,-87.8314,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 12:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 5:00 p.m. / Sat: 9:00 a.m. - 12:00 p.m. / Sun: Closed",,,
Elgin Center St,,16 N. Center Street (Elgin Center St),,Elgin,IL,60120,United States,,42.037773,-88.281061,,,,
Elgin,,16 N. Spring Street,,Elgin,IL,60120,United States,847-742-3800,42.037599,-88.282499,LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed,,,
South Elgin,,300 N. McLean Boulevard,,South Elgin,IL,60177,United States,847-741-9555,41.997799,-88.316,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Aurora,,301 W. Galena Boulevard,,Aurora,IL,60506,United States,630-892-1140,41.760599,-88.3202,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Gurnee,,1313 N. Delany Road,,Gurnee,IL,60031,United States,847-360-5116,42.378799,-87.904499,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 12:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 12:00 p.m. / Sun: Closed",,,
Elgin (West),,2001 Larkin Avenue,,Elgin,IL,60123,United States,847-429-0133,42.032499,-88.326499,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Third Lake,,34354 N. Hwy 45,,Third Lake,IL,60030,United States,847-548-3000,42.3616,-88.000299,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Carpentersville,,7675 Miller Road,,Carpentersville,IL,60110,United States,847-551-3595,42.123631,-88.32502,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Crystal Lake,,180 W. Virginia Street,,Crystal Lake,IL,60014,United States,815-459-5880,42.245699,-88.343599,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:30 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Milwaukee (Kilbourn),,401 E. Kilbourn Avenue,,Milwaukee,WI,53202,United States,414-271-1786,43.0424,-87.906899,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: Closed / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: Closed / Sun: Closed",,,
Marcus Center,,929 N. Water St. (Marcus Center),,Milwaukee,WI,53202,United States,,43.0427,-87.906899,,,,
Milwaukee Water St [2],,815 N Water Street [2] (Milwaukee Water St),,Milwaukee,WI,53202,United States,,43.04133,-87.91054,,,,
Milwaukee (Water Street),,815 N Water Street (Office),,Milwaukee,WI,53202,United States,,43.041332,-87.910538,,,,
Milwaukee (Plaza East),,330 E. Kilbourn Avenue (Office),,Milwaukee,WI,53202,United States,,43.043041,-87.907631,,,,
Milwaukee (Milwaukee Center),,111 East Kilbourn (-),,Milwaukee,WI,53203,United States,,43.041947,-87.911207,,,,
Milwaukee Third Ward,,102 N Water St Suite 101,,Milwaukee,WI,53202,United States,414-902-2777,43.031622,-87.909615,LobbyHours Mon-Thurs: 8:00 a.m. - 5:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 10:00 a.m. - 2:00 p.m. / Sun: Closed,,,
Milwaukee Haymarket Square,,1301 Martin Luther King,,Milwaukee,WI,53212,United States,414-278-1006,43.0468,-87.914416,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 2:00 p.m. / Sun: 10:00 a.m. - 2:00 p.m., DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 7:00 p.m. / Sat: 9:00 a.m. - 2:00 p.m. / Sun: 10:00 a.m. - 2:00 p.m.",,,
Milwaukee (Mitchell),,829 W. Mitchell Street,,Milwaukee,WI,53204,United States,414-645-9200,43.0123,-87.9217,LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed,,,
Milwaukee (Downer),,2590 N. Downer Avenue,,Milwaukee,WI,53211,United States,414-961-5800,43.0668,-87.878,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Miller Park [9],,1 Brewers Way [9] (Miller Park),,Milwaukee,WI,53214,United States,,43.029702,-87.972487,,,,
Milwaukee (North Ave),,5900 W. North Avenue,,Milwaukee,WI,53208,United States,414-453-4310,43.060699,-87.9864,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 6:00 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 8:30 a.m. - 1:00 p.m. / Sun: Closed",,,
Milwaukee (Southgate),,3432 S. 27th Street,,Milwaukee,WI,53215,United States,414-645-1111,42.9825,-87.9482,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 8:00 a.m. - 1:00 p.m. / Sun: Closed",,,
St. Francis,,3719 S. Kinnickinnic Avenue,,St. Francis,WI,53235,United States,414-747-0300,42.976999,-87.8772,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 8:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Milwaukee (Fond Du Lac),,5350 W. Fond Du Lac Avenue,,Milwaukee,WI,53216,United States,414-444-4514,43.0931,-87.980099,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 6:00 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 8:30 a.m. - 1:00 p.m. / Sun: Closed",,,
Whitefish Bay,,430 E. Silver Spring Drive,,Whitefish Bay,WI,53217,United States,414-963-1330,43.118557,-87.905054,"LobbyHours Mon-Thurs: 9:00 a.m. - 6:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:00 a.m. - 6:00 p.m. / Fri: 8:00 a.m. - 6:00 p.m. / Sat: 8:00 a.m. - 1:00 p.m. / Sun: Closed",,,
Glendale,,7020 N. Port Washington Road,,Glendale,WI,53217,United States,414-351-7400,43.144542,-87.913059,"LobbyHours Mon-Thurs: 9:00 a.m. - 5:00 p.m. / Fri: 9:00 a.m. - 6:00 p.m. / Sat: 9:00 a.m. - 1:00 p.m. / Sun: Closed, DriveUpHours Mon-Thurs: 8:30 a.m. - 5:00 p.m. / Fri: 8:30 a.m. - 6:00 p.m. / Sat: 8:30 a.m. - 1:00 p.m. / Sun: Closed",,,
