store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"New York Community Bank, Sequine Branch",,5770 Hylan ,,BoulevardStaten Island ,NY,10309,United States,718-605-1397,,,,,,
"New York Community Bank, Spotswood Branch",,400 Main ,,StreetSpotswood ,NJ,08884,United States,732-723-3782,,,,,,
"New York Community Bank, Woodrow Plaza Branch",,645-100 Rossville ,,AvenueStaten Island ,NY,10309,United States,718-569-3120,,,,,,
"New York Community Bank, Clark Branch",,315 Central ,,AvenueClark ,NJ,07066,United States,732-680-0825,,,,,,
"New York Community Bank, Annadale Branch",,820 Annadale ,,RoadStaten Island ,NY,10312,United States,718-569-3100,,,,,,
"New York Community Bank, North Brunswick Branch",,1727 Route 130North ,,Brunswick ,NJ,08902,United States,732-951-3072,,,,,,
"New York Community Bank, Veterans Road Branch",,2875 Veterans ,,RoadStaten Island ,NY,10307,United States,718-569-3130,,,,,,
"New York Community Bank, Iselin Branch",,1162 Green ,,StreetIselin ,NJ,08830,United States,732-404-1292,,,,,,
"New York Community Bank, Woodbridge Branch",,150 Green ,,StreetWoodbridge ,NJ,07095,United States,718-569-3120,,,,,,
"New York Community Bank, Sayreville-Main St Branch",,77 Main ,,StSayreville ,NJ,08872,United States,732-938-3380,,,,,,
"New York Community Bank, Kenilworth Branch",,15 Market ,,StreetKenilworth ,NJ,07033,United States,908-206-1110,,,,,,
"New York Community Bank, Bay Terrace Branch",,3501 Amboy ,,RoadStaten Island ,NY,10308,United States,718-356-4870,,,,,,
"New York Community Bank, Morganville Branch",,473 Route 79Morganville ,,,NJ,07751,United States,732-591-7292,,,,,,
"New York Community Bank, Great Kills Branch",,3879 Amboy ,,RoadStaten Island ,NY,10308,United States,718-569-3090,,,,,,
"New York Community Bank, Cranford Branch",,310 North Avenue ,,EastCranford ,NJ,07016,United States,908-956-4020,,,,,,
"New York Community Bank, Matawan Branch",,168-170 Main ,,StreetMatawan ,NJ,07747,United States,732-566-0568,,,,,,
"New York Community Bank, Old Bridge Branch",,3665 Route 9 ,,NorthOld Bridge ,NJ,08857,United States,732-970-0315,,,,,,
"New York Community Bank, New Springville Branch",,2555 Richmond ,,AvenueStaten Island ,NY,10314,United States,718-568-2200,,,,,,
"New York Community Bank, Eltingville Branch",,4523 Amboy ,,RdStaten Island ,NY,10312,United States,718-569-3110,,,,,,
"New York Community Bank, Linden Branch",,225 North Wood ,,AvenueLinden ,NJ,07036,United States,908-587-2872,,,,,,
"New York Community Bank, Union Branch",,1000 Pine ,,AvenueUnion ,NJ,07083,United States,908-206-1110,,,,,,
"New York Community Bank, Union Branch",,2624 Morris ,,AvenueUnion ,NJ,07083,United States,908-964-7601,,,,,,
"New York Community Bank, Hylan Boulevard Branch",,2424 Hylan ,,BoulevardStaten Island ,NY,10306,United States,718-987-5808,,,,,,
"New York Community Bank, Westerleigh Branch",,832 Jewett ,,AvenueStaten Island ,NY,10314,United States,718-569-3020,,,,,,
"New York Community Bank, Union Branch",,1887 Morris ,,AveUnion ,NJ,07083,United States,908-729-9073,,,,,,
"New York Community Bank, Elizabeth Branch",,142 Broad ,,StreetElizabeth ,NJ,07201,United States,908-353-5660,,,,,,
"New York Community Bank, Expressway Plaza Public Accomodation",,1445 Richmond ,,AvenueStaten Island ,NY,10314,United States,718-569-3040,,,,,,
"New York Community Bank, New Dorp Branch",,2595 Hylan ,,BoulevardStaten Island ,NY,10306,United States,718-569-3080,,,,,,
