store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,863 Broad Street ,,Providence ,,02907,United States,,41.8002057,-71.4176563,,,,
,,1050 E. Main St ,,Bridgeport ,,06608,United States,,41.1884857,-73.1799535,,,,
,,1457 Fairfield Ave ,,Bridgeport ,,06605,United States,,41.1720876,-73.2108302,,,,
,,664 Main St ,,Worcester ,,01610,United States,,42.2592032,-71.8062557,,,,
,,1925 Brentwood Rd ,,Brentwood ,,11717,United States,,40.7802327,-73.2441232,,,,
,,725 Commack Rd ,,Brentwood ,,11717,United States,,40.7589342,-73.2313758,,,,
,,54 East Suffolk Ave ,,Central ,"Islip,",11722,United States,,40.7921931,-73.1992629,,,,
,,1819 Fifth Ave ,,Bayshore ,,11706,United States,,40.774622,-73.2594346,,,,
,,111 W. Merrick Rd ,,Freeport ,,11520,United States,,40.6531049,-73.5846679,,,,
,,120 N. Main Street ,,Freeport ,,11520,United States,,40.6612716,-73.5849885,,,,
,,492 St.Marks Ave ,,Brooklyn ,,11238,United States,,40.6764334,-73.9584422,,,,
,,2701 Freedom Drive ,,Charlotte ,,28208,United States,,35.2364565,-80.8854548,,,,
,,4300 North Tryon St ,,Charlotte ,,28213,United States,,35.2576305,-80.7935407,,,,
,,818 E. Arrowood Rd (Off South Blvd.) ,,Charlotte ,,28217,United States,,35.1355399,-80.8782672,,,,
,,201 W. Arrowood Rd ,,Charlotte (Off Nations Ford) ,,28217,United States,,35.1338324,-80.8933542,,,,
,,3600 North Sharon Amity Rd ,,Charlotte ,,28205,United States,,35.207666,-80.756998,,,,
,,3112 Milton Rd ,,Charlotte ,,28215,United States,,35.235405,-80.737228,,,,
,,2000 Avondale Dr ,,Durham ,,27704,United States,,36.0165379,-78.8849457,,,,
,,1000 N. Miami Blvd. ,,Durham ,,27703,United States,,35.9937884,-78.8680059,,,,
,,1233 University Drive ,,Durham ,,27707,United States,,35.9849998,-78.9096108,,,,
,,155 Bonanza Drive ,,Fayetteville ,,28303,United States,,35.0806037,-78.9904332,,,,
,,1040 Summit Blvd ,,Greensboro ,,27405,United States,,36.0868252,-79.774734,,,,
,,1314 Front St. ,,Statesville ,,28677,United States,,35.7828709,-80.9104228,,,,
,,1600 Skyway Drive ,,Monroe ,,28110,United States,,34.9962246,-80.5470535,,,,
,,3015 Waughtown Street ,,Winston-Salem ,,27107,United States,,36.0788272,-80.1810248,,,,
,,951 Silas Creek Pkwy ,,Winston ,"Salem,",27127,United States,,36.0682008,-80.2524374,,,,
,,421 E Second St. ,,Clayton ,NC,,United States,,35.649139,-78.456889,,,,
