store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
E-Z MART #094,135663,445 State Highway 34 S,,Quinlan,TX,75474,USA,903-356-3300,32.903659,-96.127753,,,,
E-Z MART #178,135685,100 S Central St.,,Ferris,TX,75125,USA,972-544-8007,32.535052,-96.664766,,,,
E-Z MART #132,135677,1015 S Kaufman St.,,Ennis,TX,75119,USA,972-875-8914,32.320233,-96.618399,,,,
E-Z MART #328,135736,732 Main Street,,Sulphur Springs,TX,75482,USA,903-885-2507,33.135141,-95.610435,,,,
E-Z MART #759,182325,1505 Shannon Road East,,Sulphur Springs,TX,75482,USA,903-438-0306,33.116024,-95.593768,,,,
E-Z MART #454,135799,115 N Pacific ST,,Mineola,TX,75773,USA,903-569-6334,32.66418,-95.487971,,,,
E-Z MART #491,135809,3080 Mayfield Rd,,Grand Prairie,TX,75051,USA,972-641-8349,32.691968,-97.061364,,,,
E-Z MART #494,169779,1552 Bedford Road,,Bedford,TX,76021,USA,817-283-6802,32.843319,-97.144336,,,,
E-Z MART #506,135816,8251 Rufe Snow Dr,,Watauga,TX,76148,USA,817-485-2079,32.892074,-97.239068,,,,
E-Z MART #033,135641,201 W Main St.,,Whitesboro,TX,76273,USA,903-564-6677,33.656136,-96.908033,,,,
E-Z MART #195,135692,3085 Clarksville Street,,Paris,TX,75460,USA,903-784-5295,33.649636,-95.519171,,,,
E-Z MART #309,135727,1715 N. Nolan River Road,,Cleburne,TX,76033,USA,817-556-0410,32.360725,-97.419366,,,,
E-Z MART #560,135848,1201 E Ferguson Rd,,Mt. Pleasant,TX,75455,USA,903-572-4773,33.146463,-94.952645,,,,
E-Z MART #715,147308,6420 N TX-135,,Kilgore,TX,75662,USA,903-986-1839,32.44053,-94.930578,,,,
E-Z MART #730,135926,8988 Hwy 70 W,,Durant,OK,74701,USA,580-924-9047,33.997774,-96.465136,,,,
E-Z MART #269,135711,117 W Main St.,,Bokchito,OK,74726,USA,580-295-3131,34.016655,-96.144745,,,,
E-Z MART #445,135797,600 Houston St,,Kilgore,TX,75662,USA,903-983-1881,32.379313,-94.875046,,,,
E-Z MART #737,149006,4525 FM 349,,Kilgore,TX,75662,USA,903-986-1985,32.405874,-94.817718,,,,
E-Z MART #097,135665,502 W Jackson St.,,Hugo,OK,74743,USA,580-326-7804,34.011597,-95.51732,,,,
E-Z MART #189,135689,1115 E Jackson St.,,Hugo,OK,74743,USA,580-326-8100,34.010876,-95.499993,,,,
E-Z MART #084,135659,102 South Highway 77,,Marietta,OK,73448,USA,580-276-9310,33.937379,-97.126737,,,,
E-Z MART #311,135729,2201 S. Morgan Street,,Granbury,TX,76048,USA,817-573-0762,32.419494,-97.788792,,,,
E-Z MART #319,135731,805 Big Bend Trl.,,Glen rose,TX,76043,USA,254-897-4346,32.240413,-97.753652,,,,
E-Z MART #086,135660,Hwy 12 & 22,,Ravia,OK,73455,USA,580-371-9112,34.241457,-96.750835,,,,
E-Z MART #021,135640,Hwy. 70 West,,Valliant,OK,74764,USA,580-933-7236,34.003414,-95.101846,,,,
E-Z MART #297,135719,700 SE 25th Ave.,,Mineral Wells,TX,76067,USA,940-325-0080,32.80469,-98.088164,,,,
E-Z MART #135,135678,2507 W  Pinecrest Dr.,,Marshall,TX,75670,USA,903-935-3033,32.523494,-94.391746,,,,
E-Z MART #714,135913,1403 US 59 S,,Linden,TX,75563,USA,903-756-3844,33.001789,-94.363385,,,,
E-Z MART #746,148200,2498 E Washington,,Idabel,OK,74745,USA,580-286-7021,33.89542,-94.790316,,,,
E-Z MART #712,135911,708 N. McCoy Blvd.,,New Boston,TX,75570,USA,903-628-2230,33.472383,-94.408709,,,,
E-Z MART #201,135697,615 N Saint Mary St.,,Carthage,TX,75633,USA,903-693-8858,32.164465,-94.340235,,,,
E-Z MART #744,147024,21 North Park Rd,,Broken Bow,OK,74728,USA,580-584-2602,34.027091,-94.739587,,,,
E-Z MART #095,135664,305  E. Dr MLK Drive,,Broken Bow,OK,74728,USA,580-584-9612,34.026572,-94.73434,,,,
E-Z MART #754,169864,901 US-59 N,,Queen City,TX,75572,USA,903-796-1087,33.151729,-94.153974,,,,
E-Z MART #757,153078,9914 US-259 N,,Broken Bow,OK,74728,USA,580-494-6161,34.161396,-94.756651,,,,
E-Z MART #747,148206,10053 US-259 N,,Broken Bow,OK,74728,USA,580-494-6097,34.162892,-94.757845,,,,
E-Z MART #755,171048,102 Redwater Road,,Wake Village,TX,75501,USA,(903) 838-9410,33.421144,-94.124459,,,,
E-Z MART #007,135636,E Arkansas Ave & S Pine St.,,Vivian,LA,71082,USA,318-375-5593,32.8714,-93.987326,,,,
store name and number,147050,602 Falvey,,Texarkana,TX,75503,USA,,33.413114,-94.091375,,,,
E-Z MART #187,135687,1603 North Robison Road,,Texarkana,TX,75501,USA,903-838-9562,33.432561,-94.080317,,,,
E-Z MART #045,135645,1005 Main St.,,Horatio,AR,71842,USA,870-832-3608,33.939541,-94.347363,,,,
E-Z MART #620,135877,711 Hickory St,,Texarkana,AR,71854,USA,870-774-6293,33.430436,-94.036415,,,,
E-Z MART #750,167142,1038 N Constitution Ave,,Ashdown,AR,71822,USA,870-898-2170,33.681042,-94.135442,,,,
E-Z MART #088,135661,4733 East St.,,Texarkana,AR,71854,USA,870-779-1088,33.377188,-93.987766,,,,
E-Z MART #698,147149,3401 E 9th St,,Texarkana,AR,71854,USA,870-772-4812,33.430653,-94.002696,,,,
