store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
WALNUT OFFICE,,515 GRAND AVE ,,WALNUT ,CA,91789,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
TORRANCE OFFICE,,21842 HAWTHORNE BLVD ,,TORRANCE ,CA,90503,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
TEMPLE CITY OFFICE,,9601 LAS TUNAS DR ,,TEMPLE CITY ,CA,91780,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SAN MATEO OFFICE,,277 SOUTH B ST ,,SAN MATEO ,CA,94401,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SAN MARINO OFFICE,,2398 HUNTINGTON DR ,,SAN MARINO ,CA,91108,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SAN JOSE SARATOGA OFFICE,,1420 EL PASEO DE SARATOGA ,,SAN JOSE ,CA,95130,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SAN GABRIEL OFFICE,,227 W VALLEY BLVD. ,,SAN GABRIEL ,CA,91776,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SAN FRANCISCO CHINATOWN,,933 GRANT AVE ,,SAN FRANCISCO ,CA,94108,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
ROWLAND HEIGHTS OFFICE,,18250 COLIMA ROAD ,,ROWLAND HGTS ,CA,91748,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
SANTA MONICA OFFICE,,1453 3RD ST STE 250 ,,PROM SANTA MONICA ,CA,90401,United States,,,,"Lobby : Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday -, Sunday -,  Drive_Thru : Monday -, Tuesday -, Wednesday -, Thursday -, Friday -, Saturday -, Sunday -",,,
