store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
007 - Timewise Food Store / Shell,,1336 Crosstimbers I-45 ,,Houston ,TX,77022,United States,713-699-9086,,,,,,
008 - Timewise Food Store / Exxon,,11236 Highway 105 ,,Montgomery ,TX,77356,United States,936-588-3300,,,,,,
020 - Timewise Food Store / Exxon,,6305 Highway 90-A ,,Sugar Land ,TX,77479,United States,281-565-1051,,,,,,
028 - Timewise Food Store / Shell,,11290 Fondren ,,Houston ,TX,77071,United States,713-270-4543,,,,,,
030 - Timewise Food Store / Shell,,1001 FM 1764 ,,LaMarque ,TX,77568,United States,409-986-6881,,,,,,
031 - Timewise Food Store / Mobil,,9530 Westheimer ,,Houston ,TX,77063,United States,713-266-8629,,,,,,
032 - Timewise Food Store / Shell,,6155 Southwest Frwy ,,Houston ,TX,77057,United States,713-660-0502,,,,,,
033 - Timewise Food Store / Mobil,,1274 FM 2759 ,,Richmond ,TX,77469,United States,281-343-0350,,,,,,
034 - Timewise Food Store / Valero,,402 Highway 146 ,,Texas City ,TX,77590,United States,409-945-0959,,,,,,
038 - Timewise Food Store / Shell,,1484 Hwy 6 South ,,Sugar Land ,TX,77479,United States,281-265-5545,,,,,,
040 - Timewise Food Store / Exxon,,1000 W. FM 1097 ,,Willis ,TX,77318,United States,936-856-2600,,,,,,
041 - Timewise Food Store / Shell,,90 Hollow Tree Lane ,,Houston ,TX,77090,United States,281-397-0950,,,,,,
042 - Timewise Food Store / Shell,,17902 FM 2920 ,,Tomball ,TX,77375,United States,281-351-1071,,,,,,
043 - Timewise Food Store / Shell,,11355 FM 2920 ,,Tomball ,TX,77375,United States,281-516-0309,,,,,,
044 - Timewise Food Store / Shell,,17255 FM Road 1093 ,,Houston ,TX,77082,United States,281-277-6333,,,,,,
045 - Timewise Food Store / Shell,,1402 Eldridge Pkwy ,,Houston ,TX,77077,United States,281-759-1255,,,,,,
046 - Timewise Food Store / Shell,,9955 State Hwy 6 ,,Missouri City ,TX,77545,United States,281-431-0104,,,,,,
047 - Timewise Food Store / Shell,,20607 Westheimer Pkwy ,,Katy ,TX,77450,United States,281-398-2175,,,,,,
048 - Timewise Food Store / Shell,,955 U.S. Hwy 90 A ,,East Bernard ,TX,77435,United States,979-335-6373,,,,,,
050 - Timewise Food Store / Exxon,,2025 FM 359 ,,Richmond ,TX,77469,United States,281-344-9944,,,,,,
051 - Timewise Food Store / Shell,,6944 Cypresswood Drive ,,Spring ,TX,77379,United States,281-376-3421,,,,,,
052 - Timewise Food Store / Shell,,12600 FM 1764 ,,Santa Fe ,TX,77510,United States,409-925-4048,,,,,,
053 - Timewise Food Store / Shell,,2001 Genoa-Red Bluff Road ,,Pasadena ,TX,77505,United States,281-998-2718,,,,,,
054 - Timewise Food Store / Mobil,,3002 East Main Street ,,Madisonville ,TX,77864,United States,936-348-9640,,,,,,
055 - Timewise Food Store / Shell,,14106 W. Lake Houston Pkwy ,,Houston ,TX,77044,United States,281-454-4664,,,,,,
057 - Timewise Food Store / Shell,,20626 FM 1093 ,,Katy ,TX,77450,United States,281-492-7432,,,,,,
058 - Timewise Food Store / Exxon,,20022 FM 2920 ,,Hockley ,TX,77447,United States,281-351-6460,,,,,,
059 - Timewise Food Store / Shell,,11000 E. Davis ,,Conroe ,TX,77301,United States,936-441-3195,,,,,,
060 - Timewise Food Store / Shell,,709 N. LaGrange ,,Flatonia ,TX,78941,United States,361-865-9399,,,,,,
061 - Timewise Food Store / Exxon,,25200 I10 West # 1 ,,San Antonio ,TX,78257,United States,210-698-0909,,,,,,
062 - Timewise Food Store / Valero,,2416 North Main ,,Junction ,TX,76849,United States,325-446-8740,,,,,,
063 - Timewise Food Store / Mobil,,8852 Killam Industrial Blvd ,,Laredo ,TX,78045,United States,956-717-8552,,,,,,
064 - Timewise Food Store / Exxon,,15900 N. Interstate 35 ,,Austin ,Texas,78728,United States,512-989-6366,,,,,,
066 - Timewise Food Store / Exxon,,4225 Sienna Parkway Suite 100 ,,Missouri City ,TX,77459,United States,281-778-6963,,,,,,
068 - Timewise Food Store / Exxon,,4420 Zapata Highway Suite 100 ,,Laredo ,TX,78046,United States,956-722-1340,,,,,,
069 - Timewise Food Store / Exxon,,3000 College Park Drive ,,Conroe ,Texas,77384,United States,936-321-6050,,,,,,
070 - Timewise Food Store / Exxon,,13259 Westheimer Eldridge ,,Houston ,TX,77077,United States,281-759-7101,,,,,,
072 - Timewise Food Store / Exxon,,2539 Bissonnet Kirby ,,Houston ,TX,77005,United States,713-529-0577,,,,,,
073 - Timewise Food Store / Exxon,,1002 Montrose W. ,,Dallas Houston ,TX,77019,United States,713-523-0516,,,,,,
074 - Timewise Food Store / Exxon,,11101 S. Sam Houston Pkwy ,,Houston ,TX,77089,United States,281-464-9611,,,,,,
075 - Timewise Food Store / Mobil,,9805 South Main Loop 610 ,,Houston ,TX,77025,United States,713-668-3400,,,,,,
076 - Timewise Food Store / Exxon,,9303 Katy Freeway Echo Lane ,,Houston ,TX,77024,United States,713-461-6541,,,,,,
077 - Timewise Food Store / Exxon,,19707 I-45 North ,,Spring ,TX,77388,United States,281-350-5466,,,,,,
078 - Timewise Food Store / Mobil,,1200 League Line Road IH45 ,,Conroe ,TX,77303,United States,936-890-2550,,,,,,
079 - Timewise Food Store / Mobil,,20120 US Hwy. 59 FM1485 ,,New Caney ,TX,77357,United States,281-399-3222,,,,,,
086 - Timewise Food Store / Shell,,9510 Wurzbach Road ,,San Antonio ,TX,78240,United States,210-593-0742,,,,,,
089 - Timewise Food Store / Shell,,13363 Blanco Road ,,San Antonio ,TX,78216,United States,210-492-0514,,,,,,
099 - Timewise Food Store / Shell,,5815 South Pan Am Exp. ,,San Antonio ,TX,78211,United States,210-923-1249,,,,,,
107 - Timewise Food Store / Shell,,25645 Westheimer Pkwy ,,Katy ,TX,77450,United States,281-395-1190,,,,,,
112 - Timewise Food Store / Shell,,8107 NW Loop 1604 Shanefield ,,San Antonio ,TX,78254,United States,210-688-9283,,,,,,
113 - Timewise Food Store / Shell,,2128 Sidney Baker ,,Kerrville ,TX,78028,United States,830-896-3522,,,,,,
114 - Timewise Food Store / Shell,,1909 Kelly Lane ,,Pflugerville ,Texas,78660,United States,512-251-2515,,,,,,
115 - Timewise Food Store / Exxon,,2909 Rayford Rd Suite B ,,Spring ,TX,,United States,832-813-0711,,,,,,
116 - Timewise Food Store / Shell,,12902 Telge & Jarvis ,,Cypress ,TX,77429,United States,281-373-0113,,,,,,
117 - Timewise Food Store / Shell,,511 Lockwood Drive ,,Navigation ,,,United States,713-928-3196,,,,,,
118 - Timewise Food Store / Exxon,,9003 FM 723 ,,Richmond ,TX,77406,United States,281-232-3823,,,,,,
120 - Timewise Food Store / Exxon,,3350 County Road 59 Hwy 288 ,,Pearland ,TX,77578,United States,281-489-1457,,,,,,
121 - Timewise Food Store / Exxon,,4007 FM 1463 Corbitt Rd ,,Katy ,TX,77494,United States,281-665-2206,,,,,,
122 - Timewise Food Store / Exxon,,26150 Katy Freeway FM 1463 ,,Katy ,TX,77494,United States,281-371-3776,,,,,,
124 - Timewise Food Store / Mobil,,8495 South Sam Houston Pkwy E ,,Houston ,Texas,77089,United States,713-987-9304,,,,,,
125 - Timewise Food Store / Exxon,,18335 Gulf Freeway ,,Webster ,TX,77598,United States,281-218-6005,,,,,,
126 - Timewise Food Store / Shell,,3249 Riley Fuzzel Rd ,,Spring ,TX,77386,United States,281-907-0014,,,,,,
130 - Timewise Food Store / Exxon,,800 Louis Henna Blvd ,,Round Rock ,Texas,,United States,512-255-2944,,,,,,
200 - Timewise Food Store / Shell,,1750 Williams Trace Blvd ,,Sugar Land ,TX,77479,United States,281-494-7589,,,,,,
201 - Timewise Food Store / Shell,,8435 FM 1960 ,,Humble ,TX,77338,United States,281-446-3406,,,,,,
203 - Timewise Food Store / Shell,,13290 Northwest Fwy ,,Houston ,TX,77080,United States,713-460-3427,,,,,,
204 - Timewise Food Store / Shell,,10500 GOSLING ROAD ,,The Woodlands ,TX,77381,United States,281-364-8908,,,,,,
205 - Timewise Food Store / Shell,,104 S. Gulf Freeway West Main ,,League City ,TX,77573,United States,281-316-5969,,,,,,
206 - Timewise Food Store / Shell,,535 FM 1960 ,,Houston ,TX,77073,United States,281-821-9510,,,,,,
207 - Timewise Food Store / Shell,,3318 NORTH PARK ,,Kingwood ,TX,77339,United States,281-360-6828,,,,,,
208 - Timewise Food Store / Shell,,7501 FM 1960 EAST ,,Humble ,TX,77346,United States,281-812-4136,,,,,,
209 - Timewise Food Store / Shell,,5910 WEST LOOP SOUTH ,,Bellaire ,TX,77401,United States,713-666-6326,,,,,,
212 - Timewise Food Store / Shell,,28055 I-45 NORTH ,,The Woodlands ,TX,77380,United States,281-364-8847,,,,,,
214 - Timewise Food Store / Shell,,18040 US HIGHWAY 59 ,,Humble ,TX,77338,United States,281-540-1092,,,,,,
216 - Timewise Food Store / Shell,,2202 EAST MAIN STREET ,,LEAGUE CITY ,TX,77573,United States,281-316-2245,,,,,,
217 - Timewise Food Store / Shell,,3936 KIRBY DRIVE ,,Houston ,TX,77098,United States,713-529-9536,,,,,,
218 - Timewise Food Store / Shell,,1003 FM 1960 EAST BYPASS ,,Humble ,TX,77338,United States,281-446-4761,,,,,,
219 - Timewise Food Store / Shell,,5103 FM 1960 WEST ,,Houston ,TX,77069,United States,281-583-0119,,,,,,
221 - Timewise Food Store / Shell,,105 FM 517 W ,,DICKINSON ,TX,77539,United States,281-309-9988,,,,,,
223 - Timewise Food Store / Shell,,13102 MURPHY ROAD ,,STAFFORD ,TX,77477,United States,281-565-6495,,,,,,
224 - Timewise Food Store / Shell,,20111 US HIGHWAY 59 ,,NEW CANEY ,TX,77357,United States,281-399-0153,,,,,,
225 - Timewise Food Store / Shell,,14002 MEMORIAL DRIVE ,,Houston ,TX,77079,United States,281-497-3191,,,,,,
226 - Timewise Food Store / Shell,,2995 DULLES AVENUE ,,MISSOURI CITY ,TX,77459,United States,281-208-9786,,,,,,
227 - Timewise Food Store / Shell,,24549 LOOP 494 ,,KINGWOOD ,TX,77339,United States,281-358-6590,,,,,,
