store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
#33 Market Basket,287,798 HWY 26 N,,Lake Arthur,LA,70549,US,337-774-3309,30.0932952,-92.6722164,7am - 9pm,,,
#30 Market Basket,284,518 E Russell,,Welsh,LA,70591,US,337-734-2126,30.2322864,-92.8156507,7am - 9pm,,,
#31 Market Basket,285,707 1st Ave,,Kinder,LA,70648,US,337-738-5685,30.4819504,-92.8511149,7am - 10pm,,,
#37 Market Basket,290,112 N Thompson,,Iowa,LA,70647,US,337-582-3304,30.2378953,-93.0136276,7am - 10pm,,,
#05 Market Basket,267,929 3rd Ave,,Lake Charles,LA,70601,US,337-436-0529,30.2256206,-93.1960418,7am - 9pm,,,
#27 Market Basket,282,362 Sam Houston Jones,,Moss Bluff,LA,70611,US,337-855-7739,30.3006538,-93.2005862,7am - 10pm,,,
#25 Market Basket,280,2380 Ryan St,,Lake Charles,LA,70601,US,337-477-4962,30.2094592,-93.2186589,7am - 10pm,,,
#40 Market Basket,292,1404 N 6th St,,Leesville,LA,71446,US,337-238-0346,31.1552013,-93.2650413,6am - 10pm,,,
#36 Market Basket,289,4950 Lake St,,Lake Charles,LA,70605,US,337-474-9806,30.166832,-93.2323154,7am - 10pm,,,
#18 Market Basket,277,4431 Nelson Rd,,Lake Charles,LA,70605,US,337-477-4868,30.1768065,-93.2491037,6am - 10pm,,,
#39 Market Basket,291,2013 Sampson St,,Westlake,LA,70669,US,337-433-1546,30.2571303,-93.2581661,7am - 10pm,,,
#41 Market Basket,293,2227 Maplewood Dr,,Sulphur,LA,70663,US,337-625-7578,30.22709,-93.3518895,6am - 10pm,,,
#32 Market Basket,286,505 E 4th St,,DeQuincy,LA,70633,US,337-786-2161,30.4508382,-93.4317212,7am - 10pm,,,
#07 Market Basket,269,175 San Antonio St,,Many,LA,71449,US,318-256-9256,31.5664237,-93.4906408,All Week 7am - 9pm,,,
#26 Market Basket,281,1717 Hwy 90 W,,Vinton,LA,70668,US,337-589-6025,30.2159169,-93.5365095,7am - 10pm,,,
#09 Market Basket,271,2540 S Obrie St,,Zwolle,LA,71486,US,318-645-6191,31.6332791,-93.6434576,All Week 7am - 9pm,,,
#08 Market Basket,270,12054 Texas HWY,,Many,LA,71449,US,318-256-0928,31.4942626,-93.656633,All Week 7am - 9pm,,,
#10 Market Basket,272,327 Washington Ave,,Mansfield,LA,71052,US,318-872-3404,32.0353075,-93.7107881,All Week 7am - 9pm,,,
#04 Market Basket,266,3709 N HWY 87,,Orange,TX,77632,US,409-886-8261,30.1241332,-93.7476191,7am - 10pm,,,
#03 Market Basket,265,2005 Texas Ave,,Bridge City,TX,77611,US,409-735-3022,30.0390302,-93.8274049,"6:00AM - 10:00PM Mon - Sat<br class="""" /> 7:00 AM to 10:00 PM Sunday",,,
#42 Market Basket,294,11916 HWY 62 N,,Mauriceville,TX,77632,US,409-745-3151,30.2060527,-93.8734514,7am - 10pm,,,
#01 Market Basket,263,6001 39th St,,Groves,TX,77619,US,409-962-8571,29.9450733,-93.92209839999998,6am - 10pm,,,
#17 Market Basket,276,864 Magnolia,,Port Neches,TX,77651,US,409-727-1429,29.9794926,-93.9619346,6am - 10pm,,,
Market Basket Corporate Office,7138,2420 Nederland Ave,,Nederland,TX,77627,US,(409) 727-3104,29.9655486,-93.9978035,,,,
#02 Market Basket,264,212 27th St,,Nederland,TX,77627,US,409-727-2771,29.96536,-94.0001493,6:30am - 11pm,,,
#15 Market Basket,275,5897 W Port Arthur Rd,,Port Arthur,TX,77640,US,409-736-2843,29.8933462,-94.0046065,6:30am - 9pm,,,
#46 Market Basket,296,800 N Main,,Vidor,TX,77662,US,409-769-6416,30.1329892,-94.0159615,Daily 7am - 10pm,,,
Cash Saver,268,655 Lavaca,,Beaumont,TX,77705,US,409-835-0626,30.046608,-94.087117,6am - 10pm,,,
#14 Mercado de Familia,274,1650 College St,,Beaumont,TX,77701,US,409-835-2564,30.0715482,-94.1070307,7am - 10pm,,,
#20 Market Basket,278,2255 N 11th St,,Beaumont,TX,77703,US,409-892-8832,30.1003042,-94.1303736,7am - 10pm,,,
#347 Convenience Store,288,3915 Phelan Blvd,,Beaumont,TX,77707,,409-833-4349,30.08399,-94.143705,,,,
#47 Market Basket,297,3955 Phelan Blvd,,Beaumont,TX,77707,US,409-833-1498,30.0841969,-94.1442713,6am - 10pmSUN 7am - 10pm,,,
#43 Market Basket,295,5960 HWY 105,,Beaumont,TX,77708,US,409-892-1056,30.134063,-94.170327,7am - 11pm,,,
#21 Market Basket,279,8350 Phelan Blvd,,Beaumont,TX,77706,US,409-866-7878,30.0766049,-94.1891558,7am - 10pm,,,
#28 Market Basket,283,421 S Main,,Lumberton,TX,77657,US,409-755-1977,30.249389,-94.1966754,7am - 10pm,,,
#11 Market Basket,273,1328 HWY 124,,Winnie,TX,77665,US,409-296-2191,29.7813925,-94.3796469,7am - 10pm,,,
