store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Watsonville,,655 Main St ,,Watsonville ,CA,95076,United States,831-761-4324,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM",,,
Yorba Linda,,20655 Yorba Linda Blvd. Suite C ,,Yorba Linda ,CA,92886,United States,714-693-1642,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM",,,
Walnut Creek,,1555 Mount Diablo Boulevard ,,Walnut Creek ,CA,94596,United States,925-945-0470,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM",,,
East Bay Middle Market,,200 Pringle Ave Ste 500 ,,Walnut Creek ,CA,94596,United States,925 947-2419,,,,,,
Yuba City,,998 Tharp Road ,,Yuba City ,CA,95993,United States,530-671-7891,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM",,,
Yucca Valley,,57500 Twenty-nine Palms Highway ,,Yucca Valley ,CA,92284,United States,760-365-2321,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM, Drive Up M-Th 9:00AM - 5:00PM, Drive Up Fri 9:00AM - 6:00PM, Drive Up Sat 9:00AM - 1:00PM",,,
Westminster,,15377 Brookhurst Street ,,Westminster ,CA,92683,United States,714-531-9440,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM",,,
Warner Center,,5855 Topanga Canyon Blvd 1st Fl ,,Woodland Hills ,CA,91367,United States,818-595-2060,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM, Sat 9:00AM - 1:00PM",,,
Mammoth Lakes,,437 Old Mammoth Road ,,Mammoth Lakes ,CA,93546,United States,760-934-2546,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM",,,
Wasco,,1049 7Th St ,,Wasco ,CA,93280,United States,661-758-5382,,,"M-Th 9:00AM - 5:00PM, Fri 9:00AM - 6:00PM",,,
