store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Winnetka,,19725 Vanowen St. ,,Winnetka ,CA,91306,United States,"(818) 716-5704, (818) 716-6749",,,Monday - Sunday: 7:00am - 11:00pm,,,
Van Nuys,,13715 Vanowen St ,,Van Nuys ,CA,91405,United States,"(818) 786-4703, (818) 786-4243",,,Monday - Sunday: 7am - 10pm,,,
Van Nuys,,16107 Victory Blvd. ,,Van Nuys ,CA,91406,United States,"(818) 781-9007, (818) 781-3799",,,Monday - Sunday: 7:00am - 11pm,,,
Valley Glen,,13051 Victory Blvd. ,,Valley Glen ,CA,91606,United States,"(818) 760-7021, (818) 760-7522",,,Monday - Sunday: 7:00am - 11pm,,,
Tulare,,1111 N. Cherry St. ,,Tulare ,CA,93274,United States,(559) 366-1410,,,Monday - Sunday: 7:00am - 10:00pm,,,
Whittier,,"8510 Painter Ave Suite L"" ",,Whittier ,CA,90602,United States,(562) 758-6464,,,Monday - Sunday: 7:00am - 11:00pm,,,
Sylmar,,13820 Foothill Blvd. ,,Sylmar ,CA,91342,United States,"(818) 362-7577, (818) 364-5908",,,Monday - Sunday: 7:00am - 11pm,,,
Victorville,,12351 Mariposa Rd ,,Victorville ,CA,92395,United States,"(760) 243-1246, (760) 243-0807",,,Monday - Sunday: 7am - 10:00pm,,,
Santa Maria,,1482 South Broadway ,,Santa Maria ,CA,93454,United States,"(805) 925-2905, (805) 739-9073",,,Monday - Sunday: 7:00am - 11pm,,,
Santa Maria,,1875 N. Broadway Blvd. ,,Santa Maria ,CA,93454,United States,"(805) 349-9490, (805) 348-3147",,,Monday - Sunday: 7:00am - 11pm,,,
San Fernando,,757 S. Workman St. ,,San Fernando ,CA,91340,United States,"(818) 365-8603, (818) 361-1154",,,Monday - Sunday: 7:00am - 11pm,,,
Porterville,,305 E. Olive Ave ,,Porterville ,CA,93257,United States,"(559) 306-1325, (559) 781-3856",,,Monday - Sunday: 7:00am - 10:00pm,,,
Simi Valley,,1357 East Los Angeles Ave ,,Simi Valley ,Ca,93065,United States,"(805) 520-6468, (805) 520-6079",,,Monday - Sunday: 7:00am - 11:00pm,,,
Panorama City,,9134 Van Nuys Blvd ,,Panorama City ,CA,91402,United States,"(818) 894-4949, (818) 893-5353",,,Monday - Sunday: 7:00am - 10:00pm,,,
Palmdale,,440 E. Palmdale Blvd. ,,Palmdale ,CA,93550,United States,"(661) 266-1398, (661) 266-0938",,,Monday - Sunday: 7:00am - 10:00pm,,,
Visalia,,3112 N. Dinuba Blvd. ,,Visalia ,CA,93291,United States,(559) 802-1933,,,Monday - Sunday: 7:00am - 10:00pm,,,
Palmdale,,1803 E. Palmdale Blvd. ,,Palmdale ,CA,93550,United States,"(661) 273-1120, (661) 575-2310",,,Monday - Sunday: 7am - 10:00pm,,,
Pacoima,,10175 N. San Fernando Rd. ,,Pacoima ,CA,91331,United States,"(818) 897-9700, (818) 897-9706",,,Monday - Sunday: 7:00am - 10:00pm,,,
Oxnard,,2690 North Vineyard Avenue ,,Oxnard ,Ca,93036,United States,"(805) 983-3403, (805) 983-3480",,,Monday - Sunday: 7am - 11pm,,,
North Hollywood,,10859 Oxnard St. ,,North Hollywood ,CA,91606,United States,"(818) 509-2932, (818) 509-5806",,,Monday - Sunday: 7:00am - 10:00pm,,,
Oxnard,,1050 South A Street ,,Oxnard ,CA,93030,United States,"(805) 240-1400, (805) 240-1406",,,Monday - Sunday: 7am - 11pm,,,
National City,,901 Euclid Ave ,,National City ,CA,91950,United States,"(619) 472-1683, (619) 472-5425",,,Monday - Sunday: 6:30am - 11:00pm,,,
Northridge,,8453 Reseda Blvd. ,,Northridge ,CA,91324,United States,"(818) 576-1280, (818) 576-1390",,,Monday - Sunday: 7:00am - 11:00pm,,,
Valencia,,23449 Lyons Ave ,,Valencia ,CA,91355,United States,"(661) 260-1110, (661) 260-2311",,,Monday - Sunday: 6:30am - 10:00pm,,,
Lancaster,,1801 West Ave. I ,,Lancaster ,CA,93534,United States,"(661) 951-0233, (661) 951-0993",,,Monday - Sunday: 7am - 10pm,,,
North Hills,,9136 Sepulveda Blvd. ,,North Hills ,CA,91343,United States,"(818) 892-0923, (818) 892-2055",,,Monday - Sunday: 7:00am - 11:00pm,,,
