store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Deep Cove Pharmacy,550956,4322 Gallant Avenue,,North Vancouver,BC,V7G 1K8,Canada,(604) 985-3539,49.326894,-122.951342,,,,
11TH AVENUE GUARDIAN DRUGS,566584,1410 11TH AVE,,CALGARY,AB,T3C 0M8,Canada,(587) 356-4191,51.043446,-114.094132,,,,
Lakewood Guardian Pharmacy,539908,2075 Loch Lomond Road,,Saint John,NB,E2N 1A1,Canada,(506) 693-7979,45.314233,-65.964978,,,,
NORTHSIDE DISPENSARY,550361,414 13 ST N,,LETHBRIDGE,AB,T1H 2S2,Canada,(403) 942-0044,49.704978,-112.824316,,,,
Prince Edward Guardian Pharmacy,551125,100 Prince Edward Street,,Saint John,NB,E2L 4M5,Canada,(506) 657-9200,45.277164,-66.054687,,,,
Young's Pharmacy & Home Care,508285,47 Main Street S,,Georgetown,ON,L7G 3G2,Canada,(905) 877-2711,43.650128,-79.926817,,,,
Tsawwassen Pharmacy,544048,"104, 1077 - 56 Street",,Delta,BC,V4L 2A2,Canada,(604) 943-9341,49.004054,-123.068674,,,,
BEAUMONT CENTRE PHARMACY,564230,5003 50 AVE,,BEAUMONT,AB,T4X 1E7,Canada,(780) 929-9299,53.352178,-113.415795,,,,
Bossons Pharmacy,516598,35 Front Street West,,Strathroy,ON,N7G 1X5,Canada,(519) 245-3810,42.958022,-81.625485,,,,
Life Care Pharmacy,565154,23 C VICTORIA RD N,,GUELPH,ON,N1E 5G6,Canada,(519) 823-5355,43.557525,-80.23164,,,,
Matheson Guardian Pharmacy,551531,14 - 801 Matheson Blvd West,,Mississauga,ON,L5V 2N6,Canada,(905) 502-1616,43.606242,-79.691437,,,,
Chelmsford Pharmacy,558565,46 Main Street East,,Chelmsford,ON,P0M 1L0,Canada,(705) 855-2371,46.583178,-81.195802,,,,
BONAVISTA PHARMACY,566188,360 QUEENSTON RD,,HAMILTON,ON,L8K 1H8,Canada,(289) 389-3131,43.233281,-79.788319,,,,
PHARMACY FOR LIFE,565561,554 MAIN ST,,HARTLAND,NB,E7P 2N5,Canada,(506) 375-8177,46.305425,-67.530521,,,,
St. Mary's Pharmacy,553140,150 Cliffe Street,,Fredericton,NB,E3A 0A1,Canada,(506) 206-7700,45.972073,-66.632263,,,,
Oxford Medical Pharmacy,500692,205 Oxford Street East,,London,ON,N6A 5G6,Canada,(519) 433-3666,42.994951,-81.25408,,,,
Shane's Guardian Pharmacy,502402,4926 49 Street,,Redwater,AB,T0A 2W0,Canada,(780) 942-3615,53.951244,-113.108737,,,,
Stirling Pharmacy,516442,9D Tuftsville Road,,Stirling,ON,K0K 3E0,Canada,(613) 395-2110,44.297398,-77.542191,,,,
Maple Guardian Drugs,543925,402 Maple Avenue,,MEDICINE HAT,AB,T1A 0J3,Canada,(403) 580-8948,50.037703,-110.678135,,,,
Kennetcook Pharmacy,535230,6202 Highway 354,,Kennetcook,NS,B0N 1P0,Canada,(902) 362-2211,45.176941,-63.722252,,,,
Wray's Pharmacy,504652,33 Victoria Street W,,Alliston,ON,L9R 1V5,Canada,(705) 435-6011,44.153656,-79.870362,,,,
ARBORG PHARMACY,563273,275 MAIN ST,,ARBORG,MB,R0C 0A0,Canada,(204) 376-5153,50.907528,-97.218423,,,,
Valley Pharmacy,564758,10 Millennium Drive,,Quispamsis,NB,E2E 4B1,Canada,(506) 849-7030,45.417816,-65.943793,,,,
Murphy's Cornwall Pharmacy,539076,401 Trans Canada Highway,,Cornwall,PE,C0A 1H0,Canada,(902) 566-2292,46.230829,-63.215085,,,,
Hogan Guardian Pharmacy,560259,4177 PETROLIA LINE,,PETROLIA,ON,N0N 1R0,Canada,(519) 882-1840,42.881781,-82.148132,,,,
MacDonnell Pharmacy,515823,10024 Grenville St,,St. Peter's,NS,B0E 3B0,Canada,(902) 535-3196,45.656942,-60.872559,,,,
