store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Kyoto Pharmacy,,420 East 3rd Street,,Los Angeles,CA,90013,United States,(213) 253-5999,34.046902,-118.242087,,,,
Chinatown Pharmacy,,709 North Hill Street #21,,Los Angeles,CA,90012,United States,(213) 687-9999,34.061521,-118.240960,,,,
Columbus Pharmacy,,861 North Broadway,,Los Angeles,CA,90012,United States,(213) 622-2777,34.063403,-118.237804,"Store Hours : Mon - Sat: 9:00am - 5:30pm,Sun: 9:00am - 1:30pm Pharmacy Hours : Mon - Sat: 9:00am - 5:30pm,Sun: 9:00am - 1:30p",,,
Total Remedy and Prescription Center,,1234 Wilshire BoulevardSuite 106,,Los Angeles,CA,90017,United States,(213) 481-1130,34.054202,-118.265851,"Store Hours : Mon - Fri: 9:00am - 6:00pm,Sat-Sun: Closed, Pharmacy Hours : Mon - Fri: 9:00am - 6:00pm,Sat-Sun: Closed",,,
2010 Pharmacy,,"201 South Alvarado, Suite 611",,Los Angeles,CA,90057,United States,(213) 483-5910,34.064296,-118.272247,,,,
Botica Del Sol,,2331 East Cesar Chavez Avenue,,Los Angeles,CA,90033,United States,(323) 260-7531,34.046979,-118.207938,"Store Hours : Mon-Fri: 9:00am - 8:00pm,Sat-Sun: 9:00am - 5:00pm, Pharmacy Hours : Mon-Fri: 9:00am - 8:00pm,Sat-Sun: 9:00am - 5:00pm",,,
USC Medical Plaza Pharmacy,,"1510 San Pablo Street, Suite 144",,Los Angeles,CA,90033,United States,(323) 442-5770,34.062493,-118.203090,"Store Hours : Mon - Fri: 8:30am - 6:00pm,Sat: 9:00am - 1:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 8:30am - 6:00pm,Sat: 9:00am - 1:00pm,Sun: Closed",,,
Lorena Pharmacy,,3400 Whittier Boulevard,,Los Angeles,CA,90023,United States,(323) 268-3384,34.027241,-118.200861,"Store Hours : Mon - Fri: 8:00am - 9:00pm,Sat: 9:00am - 9:00pm,Sun: 9:00am - 6:00pm, Pharmacy Hours : Mon - Fri: 8:00am - 9:00pm,Sat: 9:00am - 9:00pm,Sun: 9:00am - 6:00pm",,,
USC Pharmacy,,3601 Trousdale Parkway,,Los Angeles,CA,90089,United States,(213) 740-2738,34.020230,-118.285750,"Store Hours : Mon - Thurs: 9:00am - 7:00pm,Fri: 9:00am - 6:00pm,Sat - Sun: Closed, Pharmacy Hours : Mon - Thurs: 9:00am - 7:00pm,Fri: 9:00am - 6:00pm,Sat - Sun: Closed",,,
Kingsley Pharmacy,,"3663 West 6th Street, Suite 102",,Los Angeles,CA,90020,United States,(213) 383-8877,34.063829,-118.301998,"Store Hours : Mon - Fri: 8:30am - 5:30pm, Sat: 8:30am - 1:30pm,Sun: Closed Pharmacy Hours : Mon - Fri: 8:30am - 5:30pm, Sat: 8:30am - 1:30pm,Sun: Close",,,
Marco's Farmacia,,4762 East Whittier Boulevard,,Los Angeles,CA,90022,United States,(323) 269-7958,34.021804,-118.165374,"Store Hours : Mon - Fri: 10:00am - 6:00pm,Sat: 10:00am - 1:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 10:00am - 6:00pm,Sat: 10:00am - 1:00pm,Sun: Closed",,,
Atlantic Pharmacy,,5119 East Beverly Boulevard,,Los Angeles,CA,90022,United States,(323) 264-5060,34.033127,-118.154643,,,,
Vine Discount Pharmacy and Medical Supply,,1253 North Vine Street,,Los Angeles,CA,90038,United States,(323) 957-9446,34.094004,-118.327673,"Store Hours : Mon-Fri: 9:00am - 6:00pm, Sat: Closed,Sun: Closed, Pharmacy Hours : Mon-Fri: 9:00am - 6:00pm, Sat: Closed,Sun: Closed",,,
Haig Pharmacy,,1106 South Glendale Avenue,,Glendale,CA,91205,United States,(818) 500-0800,34.133244,-118.251989,"Store Hours : Mon - Fri: 9:00am - 6:00pm,Sat: 9:00am - 2:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 9:00am - 6:00pm,Sat: 9:00am - 2:00pm,Sun: Closed",,,
Jeff Goodman Special Care Pharmacy,,"1625 Schrader Boulevard, 1st Floor",,Los Angeles,CA,90028-6213,United States,(323) 993-7513,34.100659,-118.332763,,,,
986 Pharmacy,,701 South Atlantic Boulevard Suite 168,,Monterey Park,CA,91754,United States,(626) 782-7800,34.053925,-118.136557,,,,
Payless Pharmacy,,"1118 South Garfield Avenue, Suite 101",,Alhambra,CA,91801,United States,(626) 457-8878,34.082044,-118.122783,,,,
Alhambra Professional Pharmacy,,"330 South Garfield Avenue, Suite 104",,Alhambra,CA,91801,United States,(626) 458-8909,34.091469,-118.123642,"Store Hours : Mon - Fri: 9:30am - 6:30pm,Sat: 9:30am - 3:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 9:30am - 6:30pm,Sat: 9:30am - 3:00pm,Sun: Closed",,,
Arden Medical Pharmacy,,435 West Arden Avenue Suite 110,,Glendale,CA,91203,United States,(818) 247-1842,34.158687,-118.262921,"Store Hours : Mon-Fri 9:00am - 6:00pm,Sat: Closed,Sun: Closed, Pharmacy Hours : Mon-Fri 9:00am - 6:00pm,Sat: Closed,Sun: Closed",,,
Fairmont Pharmacy,,50 Bellefontaine Street Suite 103,,Pasadena,CA,91105,United States,(626) 793-1188,34.131348,-118.151760,,,,
Hepps Prescription Pharmacy,,240 South La Cienega Boulevard Suite 100,,Beverly Hills,CA,90211,United States,(310) 652-0550,34.063953,-118.375855,,,,
Yasmin's Pharmacy,,99 North La Cienega Boulevard,,Beverly Hills,CA,90211,United States,(310) 358-0200,34.067455,-118.376563,,,,
Century Beverly Hills Pharmacy,,412 South San Vicente Boulevard,,Los Angeles,CA,90048-4108,United States,(310) 360-1015,34.071052,-118.376205,"Store Hours : Mon - Thurs: 9:30am - 6:00pm,Fri: 9:30am - 4:00pm,Sat-Sun: Closed, Pharmacy Hours : Mon - Thurs: 9:30am - 6:00pm,Fri: 9:30am - 4:00pm,Sat-Sun: Closed",,,
Mexicare Pharmacy,,3200 West 26th Street,,Chicago,IL,60623,United States,(773) 890-1800,41.844683,-87.705446,"Store Hours : Mon-Fri 9:00am - 7:00pm,Sat: 10:00am - 6:00pm,Sun: 10:00am - 4:00pm, Pharmacy Hours : Mon-Fri 9:00am - 7:00pm,Sat: 10:00am - 6:00pm,Sun: 10:00am - 4:00pm",,,
47th Street Pharmacy,,1837 West 47th Street,,Chicago,IL,60609,United States,(773) 847-6160,41.808297,-87.671289,,,,
"Armitage Pharmacy, Inc.",,3650 West Armitage Avenue Suite 100,,Chicago,IL,60647,United States,(773) 486-8800,41.917027,-87.718929,,,,
Katsaros Pharmacy,,1521 East 53rd Street,,Chicago,IL,60615,United States,(773) 288-8700,41.799529,-87.587508,,,,
Drug Center Pharmacy,,4613 North Sheridan Road,,Chicago,IL,60640,United States,(773) 681-0080,41.965857,-87.654750,,,,
Pharmacy One Plus,,4753-55 North Kedzie,,Chicago,IL,60625,United States,(773) 267-9275,41.968275,-87.708104,,,,
Segreti Pharmacy,,6144 West Roosevelt Road,,Oak Park,IL,60304,United States,(708) 383-6757,41.865439,-87.778216,,,,
Sears Pharmacy,,1003 Madison Street,,Oak Park,IL,60302-4499,United States,(708) 386-6304,41.879648,-87.800003,,,,
Max Care Pharmacy,,2810 West Devon Avenue,,Chicago,IL,60659,United States,(773) 508-9999,41.997566,-87.700168,,,,
Wilshire Le Doux Medical Pharmacy,,"8536 Wilshire Boulevard, Suite 101",,Beverly Hills,CA,90211,United States,(310) 657-4090,34.065273,-118.377733,"Store Hours : Mon - Fri: 8:30am - 6:30pm,Sat: 9:00am - 1:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 8:30am - 6:30pm,Sat: 9:00am - 1:00pm,Sun: Closed",,,
Eddie's Pharmacy,,8408 Beverly Boulevard,,Los Angeles,CA,90048,United States,(310) 358-2400,34.081700,-118.376890,,,,
Century Pico Pharmacy,,8722 West Pico Boulevard,,Los Angeles,CA,90035,United States,(310) 657-6999,34.054450,-118.382055,"Store Hours : Mon - Fri: 9:00am - 7:00pm,Sat: Closed,Sun: 10:00am - 4:00pm, Pharmacy Hours : Mon - Fri: 9:00am - 7:00pm,Sat: Closed,Sun: 10:00am - 4:00pm",,,
The Prescription Shop,,1215 West Whittier Boulevard,,Montebello,CA,90640,United States,(323) 728-8127,34.010953,-118.113586,,,,
Olympic Boulevard Pharmacy,,"8950 West Olympic Boulevard, Suite 106",,Beverly Hills,CA,90211,United States,(310) 274-8080,34.059069,-118.387217,"Store Hours : Mon - Fri: 9:00am - 7:00pm,Sat: 9:00am - 5:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 9:00am - 7:00pm,Sat: 9:00am - 5:00pm,Sun: Closed",,,
Payless Pharmacy III,,3109 Del Mar Avenue,,Rosemead,CA,91770,United States,(626) 288-2878,34.064633,-118.099663,,,,
Freeman Medical Pharmacy,,"301 North Prairie Avenue, Suite 110",,Inglewood,CA,90301,United States,(310) 672-7000,33.965709,-118.344432,"Store Hours : Mon - Fri: 9:00am - 6:00pm, Sat & Sun: Closed Pharmacy Hours : Mon - Fri: 9:00am - 6:00pm, Sat & Sun: Close",,,
Alex Pharmacy,,140 West Valley Boulevard Suite 105,,San Gabriel,CA,91776,United States,(626) 571-1188,34.077666,-118.100871,,,,
Roxbury Pharmacy,,9101 Olympic Blvd.,,Beverly Hills,CA,90212,United States,(310) 277-6266,34.059633,-118.389980,,,,
Dong Tam Pharmacy,,3163 San Gabriel Boulevard Suite 103,,Rosemead,CA,91770,United States,(626) 572-2929,34.066004,-118.090821,,,,
Montebello Professional Pharmacy,,"265 East Beverly Boulevard, Suite B",,Montebello,CA,90640,United States,(323) 722-1999,34.014707,-118.095179,"Store Hours : Mon - Fri: 9:30am - 7:00pm,Sat: 10:00am - 1:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 9:30am - 7:00pm,Sat: 10:00am - 1:00pm,Sun: Closed",,,
Texas RxSolutions and Compounding Pharmacy #2,,7505 Fannin Street Suite 140,,Houston,TX,77054,United States,(713) 790-1228,29.692142,-95.400861,,,,
Southside Pharmacy,,"7700 Main Street, Suite 100",,Houston,TX,77030,United States,(713) 660-8890,29.696819,-95.412992,"Store Hours : Mon - Fri: 8:00am - 9:00pm,Sat: 9:00am - 3:00pm,Sun: Closed, Pharmacy Hours : Mon - Fri: 8:00am - 9:00pm,Sat: 9:00am - 3:00pm,Sun: Closed",,,
