store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Tantallon Walk-In Clinic,,"5110 St. Margaret's Bay Road, Suite 202",,Upper Tantallon,NS,,Canada,902-826-7200,44.6862873,-63.87504819999998,"Monday - Friday: 9am - 8pm, Saturday: 10am - 2pm, Sunday: CLOSED, Holidays: CLOSED",,,
New Minas Walk-In Medical Clinic,,"20 Silver Fox Avenue, Suite 201",,New Minas,NS,,Canada,902-365-3883,45.0693425,-64.4389923,"Monday - Friday: 8:30am - 12pm, 1pm - 4pm, Saturday - Sunday: CLOSED",,,
Sunday Walk-In Clinic,,185 Bentinck St.,,Sydney,NS,,Canada,902-539-0078,46.1358570,-60.192863099999954,"Weekdays - Saturdays: Closed, Sundays: 11:00am - 2:00pm",,,
Brookside Mall Walk-In Clinic,,435 Brookside Drive,,Fredericton,NB,,Canada,,45.9927188,-66.65253989999997,Monday - Friday: 7:30am - 1:30pm,,,
Dr. Manon LeRoux,,"565 Elmwood Drive, Suite 203",,Moncton,NB,,Canada,506-855-6266,46.12225129999999,-64.77123879999999,"Monday - Friday: 6pm - 9pm, Weekends: 12pm - 5pm, Holidays: 6pm - 9pm",,,
Providence Walk-In Clinic,,"565 Elmwood Drive, Suite 203",,Moncton,NB,,Canada,506-383-4331,46.12225129999999,-64.77123879999999,"Monday - Friday: 6pm - full, Weekends - Holidays: 12pm - full",,,
West Side Medical Clinic,,"107 Catherwood Street, Suite 201",,Saint John,NB,,Canada,506-693-2273,45.25465459999999,-66.09685890000003,Monday - Friday: 12pm - 2:45pm,,,
Downtown Walk-In Clinic,,220 Water Street,,Charlottetown,PE,,Canada,902-367-4444,46.2349484,-63.1202442,,,,
Community Care Walk-In Clinic Inc.,,"159 Cobequid Rd., Suite 201",,Lower Sackville,NS,,Canada,902-865-5800,44.7573143,-63.660296500000015,"Monday - Thursday: 9am - 1pm - 5pm - 9pm, Friday:  9am - 1pm - 5pm - 8pm, Saturday: 9am - 3pm, Sundays - Holidays: 1pm - 5pm",,,
The Family Focus Medical Clinic,,"667 Sackville Drive, Suite 207",,Lower Sackville,NS,,Canada,902-869-2038,44.770343,-63.688672800000006,"Monday - Friday: 8:30am - 9pm, Weekends - Holidays: 11am - 5pm",,,
