store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Metro Medical Pharmacy,,351 Christie Street,,Toronto,ON, M6G 3C2,Canada,416-530-1055,,,"Monday 9:00 am - 7:00 pm, Tuesday 9:00 am - 7:00 pm, Wednesday 9:00 am - 7:00 pm, Thursday 9:00 am - 7:00 pm, Friday 9:00 am - 7:00 pm, Saturday 10:00 am - 4:00 pm, Sundays Closed",,,
First Medical Pharmacy,,"2425 Tecumseh Rd. E., Unit 100",,Windsor,ON, N8W 1E6,Canada,(519) 252-3700,,,"Monday 8:30 am - 7:00 pm, Tuesday 8:30 am - 7:00 pm, Wednesday 8:30 am - 7:00 pm, Thursday 8:30 am - 7:00 pm, Friday 8:30 am - 7:00 pm, Saturday 9:00 am - 4:00 pm, Sunday 10:00 am - 2:00 pm",,,
Medical Pharmacy,,340 College Street,,Toronto,ON, M5T 3A9,Canada,(416) 922-4145,,,"Monday 9:00 am - 6:30 pm, Tuesday 9:00 am - 6:30 pm, Wednesday 9:00 am - 6:30 pm, Thursday 9:00 am - 6:30 pm, Friday 9:00 am - 6:30 pm, Saturday 9:00 am - 1:30 pm, Sunday Closed",,,
TMC Pharmacy,,13278 Tecumseh Rd E. Unit 100,,Tecumseh,ON, N8N 3T6,Canada,(519) 979-1114,,,"Monday: 8:00 am - 8:00 pm, Tuesday: 8:00 am - 8:00 pm, Wednesday: 8:00 am - 8:00 pm, Thursday: 8:00 am - 8:00 pm, Friday: 8:00 am - 8:00 pm, Saturday: 9:00 am - 5:00 pm, Sunday: 9:00 am - 3:00 pm",,,
Windsor Medical Pharmacy,,"2224 Walker Road, Suite 170",,Windsor,ON, N8W 3P6,Canada,(519) 258-9744,,,"Monday 8:30 am - 5:00 pm, Tuesday 8:30 am - 5:00 pm, Wednesday 8:30 am - 5:00 pm, Thursday 8:30 am - 5:00 pm, Friday 8:30 am - 5:00 pm, Saturday Closed, Sunday Closed",,,
Medical Pharmacy,,320 Byron Street South,,Whitby,ON,  L1N 4P8,Canada,(905) 668-9393,,,"Monday: 9:00 am - 6:00 pm, Tuesday: 9:00 am - 6:00 pm, Wednesday: 9:00 am - 6:00 pm, Thursday: 9:00 am - 6:00 pm, Friday: 9:00 am - 2:00 pm, Saturday: Closed, Sunday: Closed",,,
Medical Pharmacy,,"729 Devonshire Avenue, Unit 4",,Woodstock,ON, N4S 5R3,Canada,(519) 421-7340,,,"Monday 9:00 am - 5:30 pm, Tuesday 9:00 am - 5:30 pm, Wednesday 9:00 am - 5:30 pm, Thursday 9:00 am - 5:30 pm, Friday 9:00 am - 5:30 pm, Saturday Closed, Sunday Closed",,,
Medical Pharmacy,,"30 Fulton Way, Unit 5 & 6",,Richmond Hill,ON, L4B 1E6,Canada,(905) 784-4500,,,"Monday 9:00 am - 7:00 pm, Tuesday 9:00 am - 7:00 pm, Wednesday 9:00 am - 7:00 pm, Thursday 9:00 am - 7:00 pm, Friday 9:00 am - 7:00 pm, Saturday 9:00 am - 4:00 pm, Sunday Closed",,,
Medical Pharmacy,,"1333 Neilson Rd., Suite 110",,Scarborough,ON,  M1B 4Y9,Canada,(416) 282-5705,,,"Monday 7:00 am - 8:00 pm, Tuesday 7:00 am - 8:00 pm, Wednesday 7:00 am - 8:00 pm, Thursday 7:00 am - 8:00 pm, Friday 7:00 am - 6:00 pm, Saturday 8:00 am - 1:00 pm, Sunday 9:00 am - 1:00 pm",,,
Medical Pharmacy,,"318 Ontario St., Unit 5B",,St. Catharines,ON, L2R 5L8,Canada,(905) 682-9343,,,"Monday 9:00 am - 8:00 pm, Tuesday 9:00 am - 8:00 pm, Wednesday 9:00 am - 8:00 pm, Thursday 9:00 am - 8:00 pm, Friday 9:00 am - 8:00 pm, Saturday 9:00 am - 4:00 pm, Sunday Closed",,,
Durham Pharmacy,,462 Paxton Street,,Port Perry,ON, L9L 1L9,Canada,(905) 985-8484,,,"Monday 9:00 am - 8:00 pm, Tuesday 9:00 am - 8:00 pm, Wednesday 9:00 am - 8:00 pm, Thursday 9:00 am - 8:00 pm, Friday 9:00 am - 6:00 pm, Saturday 9:00 am - 1:00 pm, Sunday 9:00 am - 1:00 pm, Statutory Holidays* 9:00 am - 1:00 pm",,,
