store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Kinney Drugs,,10923 US Rt. 11 ,,Adams ,NY,13605,United States,(315) 232-4562,,,"Weekday: 8:00 am - 9:00 pm, Weekend: 8:00 am - 8:00 pm / 9:00 am - 6:00 pm, Pharmacy hours Weekday: 8:00 am - 8:30 pm, Weekend: 8:30 am - 6:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,7998 State Rt. 31 ,,Bridgeport ,NY,13030,United States,(315) 633-0073,,,"Weekday: 7:00 am - 9:00 pm, Weekend: 7:00 am - 9:00 pm / 8:00 am - 7:00 pm, Pharmacy hours Weekday: 8:30 am - 8:30 pm, Weekend: 8:30 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,401 State Street ,,Carthage ,NY,13619,United States,(315) 493-0150,,,"Weekday: 8:00 am - 9:00 pm, Weekend: 9:00 am - 9:00 pm / 9:00 am - 6:00 pm, Pharmacy hours Weekday: 9:00 am - 9:00 pm, Weekend: 9:00 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,41 Albany Street ,,Cazenovia ,NY,13035,United States,(315) 655-3451,,,"Weekday: 7:00 am - 8:00 pm, Weekend: 7:00 am - 8:00 pm / 9:00 am - 6:00 pm, Pharmacy hours Weekday: 8:00 am - 8:00 pm, Weekend: 8:00 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,4202 W. Genesee Street ,,Camillus ,NY,13219,United States,(315) 487-0326,,,"Weekday: 7:00 am - 9:00 pm, Weekend: 7:00 am - 9:00 pm / 9:00 am - 6:00 pm, Pharmacy hours Weekday: 8:30 am - 9:00 pm, Weekend: 8:30 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,2 Preston Street ,,Camden ,NY,13316,United States,(315) 245-1224,,,"Weekday: 8:30 am - 9:00 pm, Weekend: 9:00 am - 7:00 pm / 9:00 am - 5:00 pm, Pharmacy hours Weekday: 8:30 am - 9:00 pm, Weekend: 9:00 am - 7:00 pm / 9:00 am 5:00 pm",,,
Kinney Drugs,,868 State Rt. 11 ,,Champlain ,NY,12919,United States,(518) 298-5343,,,"Weekday: 7:30-9, Weekend: 7:30-9 / 9-6, Pharmacy hours Weekday: 8:30-9, Weekend: 8:30-7 / 9-5",,,
Kinney Drugs,,540 Genesee Street ,,Chittenango ,NY,13037,United States,(315) 687-6110,,,"Weekday: 7:00 am - 9:00 pm, Weekend: 7:00 am - 9:00 pm  / 8:00 am - 6:00 pm, Pharmacy hours Weekday: 9:00 am - 9:00 pm, Weekend: 9:00 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,40 State Highway 310 ,,Canton ,NY,13617,United States,(315) 386-4563,,,"Weekday: 7:00 am - 9:00 pm, Weekend: 7:00 am - 9:00 pm / 9:00 am - 6:00 pm, Pharmacy hours Weekday: 8:30 am - 9:00 pm, Weekend: 8:30 am - 7:00 pm / 9:00 am - 5:00 pm",,,
Kinney Drugs,,9543 US Rt. 11 Suite 1 ,,Brewerton ,NY,13029,United States,(315) 676-3676,,,"Weekday: 7:00 am - 9:00 pm, Weekend: 7:00 am - 9:00 pm / 7:00 am - 9:00 pm, Pharmacy hours Weekday: 9:00 am - 9:00 pm, Weekend: 9:00 am - 7:00 pm / 9:00 am - 5:00 pm",,,
