store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Benzer Pharmacy,10,13020 Livingston Rd. Ste. 8,,Naples,Florida,34105,United States,(239) 330-7792,,,9:00am-6:00pm M-F 9:00am-1:00pm Sat,,,0
Benzer Pharmacy,11,3795 Tamiami Trail E,,Naples,Florida,34112,United States,(239) 774-2200,,,9:00-6:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,5,13733 N U.S. Highway 441,,Lady Lake,Florida,32159,United States,(352) 391-5533,,,8:00-5:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,7,725 County Rd. 466,,Lady Lake,Florida,32159,United States,(352) 633-2105,,,9:00-5:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,49,6056 Van Dyke Rd,,Lutz,Florida,33558,United States,(813) 968-9100,,,9:00-5:30 M-F,,,0
Benzer Pharmacy,46,6132 Merrill Rd Ste 12,,Jacksonville,Florida,32277,United States,(904) 683-7059,,,8:30-5:30 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,66,110 E. Main Street Suite A,,Immokalee,Florida,34142,United States,(239) 658-6123,,,Mon-wed 9:00am-7:00pm Thu 9:00am-8:00pm Fri 9:00am-7:00pm Sat 9:00am-5:00pm,,,0
Benzer Pharmacy,4,80 Ponce De Leon Blvd.,,Brooksville,Florida,34601,United States,(352) 796-4975,,,8:00-6:00 M-F 8:00-1:00 Sat,,,0
Benzer Pharmacy,43,105 S Moon Ave,,Brandon,Florida,33511,United States,(813) 689-7800,,,9:00-5:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,72,"16744 Cagan Crossing Blvd, Suite 207 A",,Clermont,Florida,34714,United States,(352) 989-5913,,,9:00-6:00 M-F 10:00-2:00 Sat,,,0
Benzer Pharmacy,61,2104 59th Street West,,Bradenton,Florida,34209,United States,(941) 462-1423,,,9:00-5:00 M-F,,,0
Benzer Pharmacy,32,"4860 Rucker Rd, Suite #1",,Moneta,Virginia,24121,United States,(540) 297-8640,,,9:00-6:00 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,1,12071 Indian Rocks Rd.,,Largo,Florida,33774,United States,(727) 724-4171,,,9:00-5:30 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,42,1320 North Galloway Ave. Ste. 102,,Mesquite,Texas,75149,United States,(972) 285-1761,,,9:00-5:30 M-F,,,0
Benzer Pharmacy,71,219 Dewey Avenue,,Poteau,Oklahoma,74953,United States,(918) 647-2113,,,9:00-5:30 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,54,295 New Shackle Island Rd,,Hendersonville,Tennessee,37075,United States,(615) 826-1183,,,9:00-6:00 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,39,2309 W Woolbright Rd Ste4,,Boynton Beach,Florida,33426,United States,(561) 336-3281,,,​9​:00- ​6​:00  M-F,,,0
Benzer Pharmacy,29,11304 Hawthorne Dr. Suite 120,,Mint Hill,North Carolina,28227,United States,(704) 573-6899,,,8:30-5:30 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,28,6018 The Plaza,,Charlotte,North Carolina,28215,United States,(704) 531-5232,,,9:00-6:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,30,7701 Sharon Lakes Rd Ste H,,Charlotte,North Carolina,28210,United States,(980) 201-9240,,,9:00-6:00 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,58,3035 S. Maryland Pkwy Suite 120,,Las Vegas,Nevada,89109,United States,(702) 891-0365,,,9:00-5:00 M-F,,,0
Benzer Pharmacy,70,6300 Commerce Dr,,Westland,Michigan,48185,United States,(734) 728-4030,,,9:00-6:00 M-F 10:00-2:00 Sat,,,0
Benzer Pharmacy,33,25014 Littlemack Ave,,St. Clair Shores,Michigan,48080,United States,(586) 359-6517,,,9:00-6:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,44,1250 NW 7th St. Unit 101-102.,,Miami,Florida,33125,United States,(786) 615-8627,,,8:30-5:30 M-F,,,0
Benzer Pharmacy,64,"2022 N CR 470, Unit B",,Lake Panasoffkee,Florida,33538,United States,(352) 444-2055,,,10:00-6:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,23,G-3333 Beecher Rd,,Flint,Michigan,48532,United States,(810) 230-9900,,,9:00-7:00 M-F 10:00-3:00 Sat,,,0
Rx Care Pharmacy,85,2918 Saginaw St,,Flint,Michigan,48505,United States,(810) 234-5500,,,9:00-6:00 M-F 10:00-1:00 Sat,,,0
Bio-Script Pharmacy,67,15348 Fort St,,Southgate,Michigan,48195,United States,(734) 324-4000,,,M-F 9:00-6:00 Sat 10:00-2:00,,,0
Benzer Pharmacy,17,202 South Ave. Suite A,,Vivian,Louisiana,71082,United States,(318) 375-3784,,,8:30-5:30 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,56,2525 Canal St,,New Orleans,Louisiana,70119,United States,(504) 323-6523,,,9:00-5:00 M-F,,,0
Rx Care Pharmacy,84,305 N Leroy St Ste A,,Fenton,Michigan,48430,United States,(810) 354-8500,,,9:00-6:00 M-F 9:00-12:00 Sat,,,0
Rx Care Pharmacy,22,6240 Michigan Ave.,,Detroit,Michigan,48210,United States,(313) 899-4120,,,9:00-6:00 M-F  10:00-2:00 Sat,,,0
Rx Care Pharmacy,68,16311 Grand River Ave,,Detroit,Michigan,48227,United States,(313) 838-1100,,,9:00-6:00 M-F 10:00-2:00 Sat,,,0
Benzer Pharmacy,18,2951 E. Texas Street Suite E,,Bossier City,Louisiana,71111,United States,(318) 742-4414,,,9:00-5:00 M-F  10:00-1:00 Sat,,,0
Benzer Pharmacy,69,101 North Walnut Street,,Colfax,Iowa,50054,United States,(515) 674-3503,,,M-F 9:00-6:00 Sat 9:00-12:00,,,0
Benzer Pharmacy,55,1031 Village Park Drive Suite 104,,Greensboro,Georgia,30642,United States,(706) 999-9792,,,9:00-5:00 M-F,,,0
Blue Water Pharmacy,21,1524 10th St.,,Port Huron,Michigan,48060,United States,(810) 982-3100,,,9:00-6:00 M-F 10:00-2:00 Sat,,,0
Benzer Pharmacy,48,2653 Bruce B Downs Blvd. Suite 115,,Wesley Chapel,Florida,33544,United States,(813) 991-9200,,,9:00-5:30 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,60,32733 Eiland Blvd Ste 103,,Wesley Chapel,Florida,33545,United States,(813) 388-2908,,,9:00-5:00 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,15,2812 W. MLK jr. Blvd.,,Tampa,Florida,33607,United States,(813) 443-4796,,,8:30-5:30 M-F  9:00-1:00 Sat,,,0
Benzer Pharmacy,50,14306-D North Dale Mabry Hwy,,Tampa,Florida,33618,United States,(813) 963-6800,,,9:00-5:00 M-F,,,0
Benzer Pharmacy,63,5908 Breckenridge Pkwy,,Tampa,Florida,33610,United States,(813) 644-7277,,,8:30-5:30 M-F 9:00-12:00 Sat,,,0
Benzer Pharmacy,12,5431 N. State Road 7,,Tamarac,Florida,33319,United States,(954) 485-4949,,,9:00-5:30 M-F,,,0
Benzer Pharmacy,13,1960 North Federal Hwy,,Pompano Beach,Florida,33062,United States,(954) 946-7904,,,9:00-6:00 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,57,60 NE 1st St,,Pompano Beach,Florida,33060,United States,(954) 943-3111,,,8:30-6:00 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,77,34490 Cortez Blvd,,Ridge Manor,Florida,33523,United States,(352) 437-6851,,,M-F 8:30-5:30,,,0
Benzer Pharmacy,51,6280 66th St North,,Pinellas Park,Florida,33781,United States,(727) 544-4203,,,9:00-6:00 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,14,1270 Malabar Rd. SE Ste 2,,Palm Bay,Florida,32907,United States,(321) 952-0656,,,9:00-6:00 M-F 9:00-1:00 Sat,,,0
Benzer Pharmacy,86,1409 NE 26th St.,,Wilton Manors,Florida,33305,United States,(954) 566-6151,,,9:00-6:00 M-F 9:00-2:00 Sat,,,0
Benzer Pharmacy,9,1426 S. Pine Ave,,Ocala,Florida,34471,United States,(352) 622-3454,,,9:00-5:30 M-F 10:00-1:00 Sat,,,0
Benzer Pharmacy,6,717 West Lancaster Rd.,,Orlando,Florida,32809,United States,(407) 855-4770,,,8:00-5:30 M-F 8:30-11:30 Sat,,,0
