store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
pharmaprix - alma,,1050 Avenue Du Pond S,,Alma,QC,G8B 2V8,Canada,418-668-3047,,,"Monday 09:00 AM - 06:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 09:00 AM - 09:00 PM, Sunday 09:00 AM - 09:00 PM",,,
pharmaprix - newman,,8371 Newman,,Montreal,QC,H8N 1Y4,Canada,514-595-8550,,,"Monday 08:00 AM - 10:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 09:00 AM - 10:00 PM, Sunday 09:00 AM - 10:00 PM",,,
pharmaprix - van horne,,4815 Van Horne,,Montreal,QC,H3W 1J2,Canada,514-739-1758,,,"Monday 08:00 AM - 10:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 09:00 AM - 10:00 PM, Sunday 09:00 AM - 10:00 PM",,,
pharmaprix - carrefour angrignon,,"7077 Newman Blvd, Suite #8",,Montreal,QC,H8N 1X1,Canada,514-366-0624,,,"Monday 09:00 AM - 06:00 PM, Tuesday 09:00 AM - 09:00 PM, Wednesday 09:00 AM - 09:00 PM, Thursday 09:00 AM - 09:00 PM, Friday 09:00 AM - 09:00 PM, Saturday 09:00 AM - 06:00 PM, Sunday 09:00 AM - 06:00 PM",,,
pharmaprix - mont-royal st.,,1 Ave. Mont-Royal Est,,Montreal,QC,H2T 1N4,Canada,514-284-1865,,,"Monday 08:00 AM - 11:00 PM, Tuesday 08:00 AM - 11:00 PM, Wednesday 08:00 AM - 11:00 PM, Thursday 08:00 AM - 11:00 PM, Friday 08:00 AM - 11:00 PM, Saturday 08:00 AM - 11:00 PM, Sunday 08:00 AM - 11:00 PM",,,
pharmaprix - ontario,,3845 Ontario Est,,Montreal,QC,H1W 1S5,Canada,514-524-7727,,,"Monday 09:00 AM - 10:00 PM, Tuesday 09:00 AM - 10:00 PM, Wednesday 09:00 AM - 10:00 PM, Thursday 09:00 AM - 10:00 PM, Friday 09:00 AM - 10:00 PM, Saturday 09:00 AM - 10:00 PM, Sunday 09:00 AM - 10:00 PM",,,
pharmaprix - ahuntsic,,10305 Boul. St Laurent,,Montreal,QC,H3L 2P1,Canada,514-389-1551,,,"Monday 09:00 AM - 10:00 PM, Tuesday 09:00 AM - 10:00 PM, Wednesday 09:00 AM - 10:00 PM, Thursday 09:00 AM - 10:00 PM, Friday 09:00 AM - 10:00 PM, Saturday 09:00 AM - 10:00 PM, Sunday 09:00 AM - 10:00 PM",,,
pharmaprix - lachine,,1125 Provost,,Montreal,QC,H8S 1N4,Canada,514-637-4441,,,"Monday 09:00 AM - 09:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 09:00 AM - 09:00 PM, Sunday 09:00 AM - 09:00 PM",,,
pharmaprix - queen mary & snowdon,,"4999 Chemin Queen Mary, Arr. Cdn / Ndg",,Montreal,QC,H3W 1X4,Canada,514-737-5454,,,"Monday 08:00 AM - 10:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 08:00 AM - 10:00 PM, Sunday 08:00 AM - 10:00 PM",,,
pharmaprix - cote-des-neiges/van horne,,"6180 Chemin De La Cote-Des-Neiges, Arr. Cdn / Ndg",,Montreal,QC,H3S 1Z7,Canada,514-739-8884,,,"Monday 08:00 AM - 10:00 PM, Tuesday 08:00 AM - 10:00 PM, Wednesday 08:00 AM - 10:00 PM, Thursday 08:00 AM - 10:00 PM, Friday 08:00 AM - 10:00 PM, Saturday 08:00 AM - 10:00 PM, Sunday 08:00 AM - 10:00 PM",,,
