store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
185th And Aurora,062,18420 Aurora Ave. N,,Shoreline,WA,98133,United States,(206) 542-2678,47.762493,-122.345781,"Store Hours : Week 07:00:00-22:00:00, Saturday 08:00:00-21:00:00, Sunday 09:00:00-19:00:00, Pharmacy Hours : Week 09:00:00-21:00:00, Saturday 09:00:00-18:00:00, Sunday 10:00:00-18:00:00, ",,,
3rd and Union,037,1404 Third Ave.,,Seattle,WA,98101,United States,(206) 624-1366,47.609231,-122.336886,"Store Hours : Week 06:00:00-21:00:00, Saturday 09:00:00-17:00:00, Sunday 09:00:00-18:00:00, Pharmacy Hours : Week 08:30:00-18:30:00, Saturday 09:00:00-17:00:00, Sunday -, ",,,
4th and Jackson,072,400 South Jackson Street,,Seattle,WA,98104,United States,(206) 467-1550,47.599477,-122.328472,"Store Hours : Week 06:00:00-21:00:00, Saturday 08:00:00-19:00:00, Sunday 07:00:00-23:00:00, Pharmacy Hours : Week 09:00:00-21:00:00, Saturday 09:00:00-18:00:00, Sunday 10:00:00-18:00:00, ",,,
4th and Madison,061,910 Fourth Ave.,,Seattle,WA,98164,United States,(206) 624-2211,47.606016,-122.332394,"Store Hours : Week 06:00:00-20:00:00, Saturday 08:00:00-19:00:00, Sunday 10:00:00-18:00:00, Pharmacy Hours : Week 08:30:00-18:30:00, Saturday -, Sunday -, ",,,
Admiral Way,056,2345-42nd Ave. SW,,Seattle,WA,98116,United States,(206) 933-1468,47.582003,-122.385349,"Store Hours : Week 07:00:00-22:00:00, Saturday 08:00:00-20:00:00, Sunday 09:00:00-20:00:00, Pharmacy Hours : Week 09:00:00-21:00:00, Saturday 09:00:00-18:00:00, Sunday 10:00:00-18:00:00, ",,,
Alderwood,015,2518 196th St. SW,,Lynnwood,WA,98036,United States,(425) 673-7068,47.820767,-122.267667,"Store Hours : Week 07:00:00-22:00:00, Saturday 08:00:00-21:00:00, Sunday 08:00:00-21:00:00, Pharmacy Hours : Week 09:00:00-21:00:00, Saturday 09:00:00-19:00:00, Sunday 09:00:00-19:00:00, ",,,
Auburn,019,3902 A St. SE,,Auburn,WA,98002,United States,(253) 939-8562,47.272949,-122.227772,"Store Hours : Week 07:00:00-21:00:00, Saturday 08:00:00-20:00:00, Sunday 09:00:00-19:00:00, Pharmacy Hours : Week 08:00:00-21:00:00, Saturday 09:00:00-18:00:00, Sunday 10:00:00-18:00:00, ",,,
Ballard Commons,071,5625 22nd Ave. N.W.,,Seattle,WA,98107,United States,(206) 783-0688,47.669682,-122.384768,"Store Hours : Week 07:00:00-00:00:00, Saturday 07:00:00-00:00:00, Sunday 07:00:00-23:00:00, Pharmacy Hours : Week 08:00:00-22:00:00, Saturday 09:00:00-18:00:00, Sunday 10:00:00-18:00:00, ",,,
Bellevue Village,040,10116 NE 8th St.,,Bellevue,WA,98004,United States,(425) 454-3111,47.618219,-122.205545,"Store Hours : Week 07:00:00-23:00:00, Saturday 08:00:00-23:00:00, Sunday 08:00:00-23:00:00, Pharmacy Hours : Week 08:00:00-22:00:00, Saturday 08:00:00-19:00:00, Sunday 08:00:00-19:00:00, ",,,
Boren and Madison,010,1101 Madison St.,,Seattle,WA,98104,United States,(206) 340-1066,47.609484,-122.324256,"Store Hours : Week 06:00:00-21:00:00, Saturday 08:00:00-19:00:00, Sunday 09:00:00-18:00:00, Pharmacy Hours : Week 09:00:00-19:00:00, Saturday 09:00:00-17:00:00, Sunday -, ",,,
