store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Chicoutimi-Nord,,"2173, boul. Tadoussac",,Chicoutimi,Québec,G7G 4X2,Canada,418-549-1538,,,9:00 - 20:00,,,
Beauport,,"1072, boul. des Chutes",,Québec,Québec,G1E 2G1,Canada,418-667-3101,,,8:30 - 21:30,,,
Chute-aux-Outardes,,"169, Vallilée",,Chute-aux-Outardes,Québec,G0H 1C0,Canada,418-567-2332,,,9:30 - 18:00,,,
Clermont,,"76, rue des Érables",,Clermont,Québec,G4A 1G2,Canada,418-439-3950,,,8:30 - 21:00,,,
Coaticook,,"65, rue Wellington",,Coaticook,Québec,J1A 2H6,Canada,819-849-9881,,,8:30 - 21:00,,,
Contrecoeur,,"4913, rte Marie-Victorin",,Contrecoeur,Québec,J0L 1C0,Canada,450-587-2062,,,9:00 - 21:00,,,
De l'Hôpital (Gatineau),,"139, boul. de l'Hôpital",,Gatineau,Québec,J8T 8A3,Canada,819-568-5876,,,9:00 - 20:00,,,
Delson,,"40, boul. Marie-Victorin",,Delson,Québec,J5B 1A9,Canada,450-638-5555,,,9:00 - 21:00,,,
Deux-Montagnes,,"809, Chemin d'Oka",,Deux-Montagnes,Québec,J7R 1L8,Canada,450-491-3838,,,8:00 - 20:00,,,
Disraeli,,"240, rue St-Joseph Est",,Disraéli,Québec,G0N 1E0,Canada,418-449-3436,,,9:00 - 21:00,,,
Donnacona,,"325, rue de l’Église",,Donnacona,Québec,G3M 2A2,Canada,418-285-3344,,,8:30 - 21:00,,,
Carrefour Charlesbourg,,"8500, boul. H-Bourassa",,Québec,Québec,G1G 5X1,Canada,418-623-1504,,,8:30 - 21:00,,,
Beloeil,,"665, boul. Sir-Wilfrid-Laurier",,Beloeil,Québec,J3G 4J1,Canada,450-464-0400,,,8:00 - 21:00,,,
Berthierville,,"550, rue Frontenac",,Berthierville,Québec,J0K 1A0,Canada,450-836-3703,,,9:00 - 21:00,,,
Blainville,,"9, boul. de la Seigneurie Est",,Blainville,Québec,J7C 4G6,Canada,450-434-4333,,,8:30 - 21:00,,,
Boischatel,,"5110, avenue Royale",,Boischatel,Québec,G0A 1H0,Canada,418-822-0111,,,9:00 - 21:00,,,
Bourg-Royal,,1289 boul Louis XIV.,,Québec,Québec,G2L 1M1,Canada,418-623-0961,,,9:00 - 21:00,,,
Bromont,,"89, boul. de Bromont",,Bromont,Québec,J2L 2K5,Canada,450-534-3434,,,9:00 - 21:00,,,
Campanile,,"3730, rue du Campanile",,Québec,Québec,G1X 4G6,Canada,418-658-1337,,,8:00 - 21:30,,,
Gréber,,"1150, Boul. St-René Ouest",,Gatineau,Québec,J8T 6H1,Canada,819-246-5722,,,9:00 - 21:00,,,
Cartier,,"1019, rue Cartier",,Québec,Québec,G1R 2S3,Canada,418-524-0230,,,9:00 - 21:00,,,
Centre-Ville,,"605, rue  St-Joseph Est",,Québec,Québec,G1K 3C1,Canada,418-529-5741,,,8:00 - 21:00,,,
Chambly,,"1101, boul. Brassard - local 106",,Chambly,Québec,J3L 5R4,Canada,450-658-6639,,,8:00 - 21:00,,,
Charlesbourg 3e ave,,"5000, 3e avenue Ouest",,Québec,Québec,G1H 7J1,Canada,418-623-3522,,,9:00 - 21:00,,,
Charny,,"8032, avenue des Églises",,Charny,Québec,G6X 1X7,Canada,418-832-4631,,,9:00 - 21:00,,,
Carleton,,"674, boul. Perron",,Carleton,Québec,G0C 1J0,Canada,418-364-3352,,,9:00 - 21:00,,,
Carrefour Alma,,"705, avenue du Pont Nord",,Alma,Québec,G8B 6T5,Canada,418-662-3401,,,9:00 - 21:00,,,
Griffintown,,"229, Rue Peel",,Montreal,Québec,H3C 2G6,Canada,514-673-4863,,,9:00 - 21:00,,,
Halles Ste-Foy,,"2510, chemin Quatre-Bourgeois",,Québec,Québec,G1V 4R2,Canada,418-653-9222,,,8:30 - 21:00,,,
Havre St-Pierre,,"1280, Rue de la Digue",,Havre St-Pierre,Québec,G0G 1P0,Canada,418-538-3123,,,9:00 - 21:00,,,
Hemmingford,,"535, rue Frontière",,Hemmingford,Québec,J0L 1H0,Canada,450-247-3555,,,9:00 - 19:00,,,
Hudson,,"465, rue Main",,Hudson,Québec,J0P 1H0,Canada,450-458-4686,,,8:00 - 21:00,,,
Iberville,,725 boulevard d'Iberville,,Saint-Jean-sur-Richelieu,Québec,J2X 4S7,Canada,450-347-9009,,,8:00 - 21:00,,,
Acton Vale,,"958, rue St-André",,Acton Vale,Québec,J0H 1A0,Canada,450-546-2744,,,8:30 - 21:00,,,
Laurier Québec,,"2700, boul. Laurier",,Québec,Québec,G1V 2L8,Canada,418-656-1712,,,9:00 - 21:00,,,
Châteauguay,,"288, Boulevard d'Anjou - local 130",,Châteauguay,Québec,J6K 1C6,Canada,450-691-1700,,,8:00 - 21:00,,,
Châteauguay (Principale),,"103, rue Principale",,Châteauguay,Québec,J6K 1G2,Canada,450-691-3636,,,9:00 - 21:00,,,
Chêneville,,"36, rue Principale",,Chêneville,Québec,J0V 1E0,Canada,819-428-4441,,,9:00 - 17:00,,,
Chicoutimi,,"1324, boul. Talbot",,Chicoutimi,Québec,G7H 4B8,Canada,418-549-1516,,,8:30 - 21:00,,,
Drummondville,,"3745, rue Georges-Couture",,Drummondville,Québec,J2B 7P4,Canada,819-477-4111,,,8:00 - 21:00,,,
Jonquière,,"3739, boul. du Royaume",,Jonquière,Québec,G7X 1Y9,Canada,418-547-4706,,,8:30 - 21:00,,,
Jonquière (St-Jean Baptiste),,"2235, rue St-Jean Baptiste",,Jonquière,Québec,G8A 1V9,Canada,418-695-1803,,,9:00 - 21:00,,,
La Baie (C-achat),,"2100, rue Bagot",,Ville La Baie,Québec,G7B 3Z3,Canada,418-544-7336,,,9:00 - 21:00,,,
Amos (1re avenue Est),,"82, 1re avenue Est",,Amos,Québec,J9T 4B2,Canada,819-727-1234,,,9:00 - 21:00,,,
Amos (4e Rue Ouest),,"641, 4e Rue Ouest",,Amos,Québec,J9T 2S1,Canada,819-732-7677,,,8:30 - 17:00,,,
Amqui,,"30, boul. St-Benoît Est - local 70",,Amqui,Québec,G5J 2B7,Canada,418-629-4411,,,8:30 - 21:00,,,
Anjou,,"7170 , rue Bombardier",,Anjou,Québec,H1J 2Z9,Canada,514-355-5556,,,9:00 - 21:00,,,
Anjou (Boul. Des Roseraies),,"7200, Boul. des Roseraies",,Anjou,Quebec,H1M 2T5,Canada,514-355-2373,,,9:00 - 21:00,,,
Atwater,,"151, avenue Atwater",,Montréal,Québec,H3J 2J4,Canada,514-935-5637,,,8:00 - 21:00,,,
La Baie (C-ville),,"435, rue Albert",,Ville La Baie,Québec,G7B 3L5,Canada,418-544-8266,,,9:00 - 21:00,,,
Laval,,"1160, boul. de l'Avenir",,Laval,Québec,H7N 6L2,Canada,450-682-8187,,,8:00 - 21:00,,,
Laval (boul. Concorde),,"270, boul. de la Concorde Est",,Laval,Québec,H7G 2E6,Canada,450-669-2617,,,8:00 - 21:00,,,
Laval (Chomedey),,"3290, 100e avenue",,Laval,Québec,H7T 0J7,Canada,450-973-8998,,,10:00 - 20:00,,,
Laval (Est),,"8038, Avenue Marcel‐Villeneuve",,Laval,Québec,H7A 4H5,Canada,450-936-3999,,,9:00 - 21:00,,,
Lebourgneuf,,"777, boul. Lebourgneuf - local 100",,Québec,Québec,G2J 1C3,Canada,418-622-8030,,,8:30 - 21:00,,,
Les Escoumins,,"273, route 138",,Les Escoumins,Québec,G0T 1K0,Canada,418-233-2567,,,9:00 - 20:00,,,
Les Saules,,"2780, boul. Masson, local 110",,Québec,Québec,G1P 1J6,Canada,418-871-8601,,,8:30 - 21:00,,,
