store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,107 E. Main St.,,Elk Point,SD,57025,United States,(605) 356-3336,42.686206,-96.68474,Pharmacy Hours: Mon-Sat: 8am to 6pm | Sun: Closed,,,
,,145 N. Miles Street,,Appleton,MN,56208,United States,(320) 289-1252,45.2013335,-96.0189277,Pharmacy Hours: Mon-Fri: 9:00am - 5:30pm | Sat: 9:00am - 1:00pm | Sun: Closed,,,
,,146 NW Second Street,,Ortonville,MN,56278,United States,(320) 839-3825,45.3058196,-96.4460303,Pharmacy Hours: Mon-Fri: 9:00am - 6:00pm | Sat: 9:00am - 2:00pm | Sun: Closed,,,
,,318 Studdart Ave.,,Graceville,MN,56240,United States,(320) 748-7112,45.5679742,-96.4347829,Pharmacy Hours: Mon-Fri: 9:00am - 5:30pm | Sat: 9:00am - 1:00pm | Sun: Closed,,,
,,710 Main Street,,Wilmot,SD,57279,United States,(605) 938-4643,45.4097044,-96.8576984,Pharmacy Hours: Mon-Fri: 9am - 5pm | Sat: 9am - 1pm | Sun: Closed,,,
,,326  Main Street,,Lakefield,MN,56150,United States,(507) 662-5817,43.6780915,-95.1715484,Pharmacy Hours: Mon-Fri: 8:30am to 5:30pm | Sat-Sun: Closed,,,
,,7 W. Second St.,,Kingsley,IA,51028,United States,(712) 378-2700,42.5882067,-95.9673907,Pharmacy Hours: Mon-Fri: 8:30am to 5:30pm | Sat: 9am to 12pm | Sun: Closed,,,
,,720 E 1st St,,Tea,SD,57064,United States,(605) 368-9001,43.4464621,-96.8275138,Pharmacy Hours: Mon-Fri: 9am to 6pm | Sat: 9am to 2pm | Sun: Closed,,,
,,402 S 2nd Ave,,Rock Rapids,IA,51246,United States,(712) 472-4220,43.430801,-96.169935,Pharmacy Hours: Mon-Fri: 9:00am - 6:00pm,,,
,,106 N Boone,,Rock Rapids,IA,51246,United States,(712) 472-4044,43.431921,-96.169355,Pharmacy Hours: Mon-Fri: 9am to 7pm | Sat: 9am to 3pm | Sun: Closed,,,
,,213 Calumet Ave SE,,De Smet,SD,57231,United States,(605) 854-9033,44.386047,-97.549303,Pharmacy Hours: Mon-Fri: 8:30am to 5:30pm | Sat: 9am to 1pm | Sun: Closed,,,
,,715 E 5th St,,Canton,SD,57013,United States,(605) 987-4284,43.300883,-96.583959,Pharmacy Hours: Mon-Fri: 8:30am to 6pm | Sat: 9am to 1pm | Sun: Closed,,,
,,319 Main Ave. N.,,Lake Preston,SD,57249,United States,(605) 847-4114,44.3638171,-97.37733,Pharmacy Hours: Mon-Fri: 8:30am - 5:30pm | Sat: Closed | Sun: Closed,,,
,,500 W. 41st St.,,Sioux Falls,SD,57105,United States,(605) 367-2000,43.514869,-96.731252,Store Hours: Mon-Sun: 8am to 9pm,,,
,,2700 W. 12th St.,,Sioux Falls,SD,57104,United States,(605) 367-2000,43.543914,-96.761145,Store Hours: Mon-Sun: 8am to 9pm,,,
,,5500 W. 41st St.,,Sioux Falls,SD,57106,United States,(605) 367-2000,43.514808,-96.793285,Store Hours: Mon-Sun: 8am to 9pm,,,
,,4409 E. 26th St.,,Sioux Falls,SD,57103,United States,(605) 367-2000,43.529375,-96.672683,Store Hours: Mon-Sun: 8am to 9pm,,,
,,115 N. Splitrock Blvd,,Brandon,SD,57005,United States,(605) 367-2000,43.594913,-96.572344,Store Hours: Mon-Sun: 8am to 9pm,,,
,,910 22nd Ave S,,Brookings,SD,57006,United States,(605) 692-6688,44.295624,-96.768282,Store Hours: Mon-Sat: 8am to 9pm | Sun: 8am to 7pm,,,
,,202 S Kniss Ave,,Luverne,MN,56156,United States,(507) 283-9549,43.653258,-96.212904,Store Hours: Mon-Fri: 8am to 7pm | Sat: 9am to 5pm | Sun: 9am to 1pm,,,
,,610 Park St,,Sheldon,IA,51201,United States,(712) 324-4331,43.18631,-95.848031,Pharmacy Hours: Mon: 8am to 9pm | Tues-Fri: 8am to 6pm | Sat: 8am to 3pm | Sun: Closed,,,
,,1002 N. Highway 77,,Dell Rapids,SD,57022,United States,(605) 428-5440,43.823368,-96.713104,Pharmacy Hours: Mon: 9am to 7pm | Tues-Fri: 9am to 6pm | Sat: 9am to 3pm | Sun: Closed,,,
