store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Riverchase Galleria,,2000 Riverchase Galleria ,,Birmingham ,AL,35244,United States,205-402-6522,,,,,,
Colonial Brookwood Village,,716 Brookwood Village ,,Birmingham ,AL,35209,United States,205-871-2240,,,,,,
Factory Store - Wiregrass Commons,,900 Commons Drive ,,Dothan ,AL,36303,United States,334-678-7747,,,,,,
Factory Store - Regency Square Mall,,301 Cox Creek Parkway ,,Florence ,AL,35630,United States,256-760-0756,,,,,,
Factory Store - Tanger Outlet Center Foley,,2601 South Mckenzie ,,Foley ,AL,36535,United States,251-971-2834,,,,,,
Colonial Mall Bel Aire,,3449 Bel Air Mall ,,Mobile ,AL,36606,United States,251-476-3732,,,,,,
Factory Store - Quintard Mall,,700 Quintard Drive ,,Oxford ,AL,36203,United States,256-831-6171,,,,,,
Dimond Center Mall,,800 E. Dimond Blvd ,,Anchorage ,AK,99515,United States,907-222-5242,,,,,,
Factory Store - Aurora Mall,,14200 E Alameda Avenue ,,Aurora ,CO,80012,United States,303-344-5177,,,,,,
Town Center at Aurora,,14200 E Alameda ,,Aurora ,CO,80012,United States,303-344-5177,,,,,,
Flatiron Crossing,,1 West Flat Iron Circle ,,Broomfield ,CO,80021,United States,720-887-9797,,,,,,
Castle Rock,,5050 Factory Shops Blvd ,,Castle Rock ,CO,80108,United States,720-733-6795,,,,,,
Factory Store - The Citadel,,750 Citadel Drive ,,Colorado Springs ,CO,80909,United States,719-622-9871,,,,,,
Factory Store - Chapel Hills Mall,,1710 Briargate Boulevard ,,Colorado Springs ,CO,80920,United States,719-598-8363,,,,,,
Factory Store - Colorado Mills,,14500 Colfax Avenue ,,Lakewood ,CO,80401,United States,303-590-1835,,,,,,
Park Meadows,,8505 Park Meadows Center Drive ,,Littleton ,CO,80124,United States,303-708-9015,,,,,,
The Shops at Centerra,,5971 Sky Pond Drive ,,Loveland ,CO,80538,United States,970-667-2088,,,,,,
