store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Florence Mall,2058604070,301 Cox Creek Pkwy,Ste 1306,Florence,AL,35630,US,256-764-0666,34.83611,-87.6309,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 1:00 PM-5:30 PM",,,
The Shoppes at Bel Air,960062704,3216  Bel Air Mall,Ste C15,Mobile,AL,36606,US,251-473-3736,30.6723402749954,-88.1230086681944,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 12:00 PM-5:30 PM",,,
Bridge St Town Centre,2058604067,365 The Bridge St,Ste 117,Huntsville,AL,35806,US,256-327-5458,34.714398733623,-86.673139095445,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-10:00 PM, SAT 10:00 AM-10:00 PM, SUN 12:00 PM-7:00 PM",,,
Riverchase Galleria,960062699,2000 Riverchase Galleria,Ste 290,Hoover,AL,35244,US,205-987-3725,33.38009,-86.80686,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 12:00 PM-6:00 PM",,,
Parkway Place Mall,960062701,2801 Memorial Pkwy SW,Ste 281,Huntsville,AL,35801,US,256-518-9855,34.70711,-86.58914,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 12:00 PM-6:00 PM",,,
East Chase Center,960062703,6840 Eastchase Pkwy,Ste A120,Montgomery,AL,36117,US,334-356-2205,32.3574660527877,-86.1694856514433,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 1:00 PM-6:00 PM",,,
University Mall,960062700,1701 McFarland Blvd E,Ste 165,Tuscaloosa,AL,35404,US,205-562-0280,33.1953234788673,-87.525926035331,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 1:00 PM-5:30 PM",,,
Park Place,987481766,5870 E Broadway Blvd,Ste 209,Tucson,AZ,85711,US,520-514-9575,32.22151,-110.86712,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Arizona Mills,266958499,5000 S Arizona Mills Circle,Ste 621 SA,Tempe,AZ,85282,US,480-839-1248,33.38485,-111.96697,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Tempe Marketplace,960062995,2000 E Rio Salado Pkwy,Ste 1237,Tempe,AZ,85281,US,480-966-3007,33.42935,-111.90045,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Santan Village,960062996,2200 E Williams Field Rd,Ste 109,Gilbert,AZ,85295,US,480-917-3040,33.30688,-111.74336959596,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Scottsdale Fashion Square,988318585,7014 E  Camelback Rd,Ste 2093,Scottsdale,AZ,85251,US,480-947-4782,33.5023143474222,-111.928940431955,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Scottsdale Quarter,1362415462,15147 N Scottsdale Rd,Ste 175,Scottsdale,AZ,85254,US,480-607-6531,33.6239975,-111.925549130435,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 12:00 PM-6:00 PM",,,
Flagstaff Mall,960062999,4650 N US Highway 89,Ste C14,Flagstaff,AZ,86004,US,928-522-9190,35.2231929,-111.5817908,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
The Tucson Mall,960062998,4500 N Oracle Rd,Ste 460,Tucson,AZ,85705,US,520-293-6565,32.2888944594595,-110.978143378378,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 12:00 PM-6:00 PM",,,
Chandler Fashion Center,960062994,3111 W Chandler Blvd,Ste 2182,Chandler,AZ,85226,US,480-726-3906,33.3057113513513,-111.896554864865,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Prescott Gateway,960063000,3250 Gateway Blvd,Ste 266,Prescott,AZ,86303,US,928-778-4955,34.5468241748068,-112.411371279855,"MON 10:00 AM-8:00 PM, TUE 10:00 AM-8:00 PM, WED 10:00 AM-8:00 PM, THU 10:00 AM-8:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
Arrowhead Towne Center,960062997,7700 W Arrowhead Towne Ctr,Ste 2184,Glendale,AZ,85308,US,623-334-4777,33.63964,-112.2246,"MON 10:00 AM-9:00 PM, TUE 10:00 AM-9:00 PM, WED 10:00 AM-9:00 PM, THU 10:00 AM-9:00 PM, FRI 10:00 AM-9:00 PM, SAT 10:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM",,,
