store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Pinnacle Hills Promenade,,2203 S. 45th Street ,,Rogers ,AR,72758,United States,479 936-7949,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 12:00 pm - 06:00 pm",,,0
Rehoboth Outlet,,36502 Seaside Outlet Drive Suite 1230 ,,Rehoboth ,DE,19971,United States,302-864-9016,,,"Sunday: 10:00 am - 07:00 pm, Monday: 09:00 am - 07:00 pm, Tuesday: 09:00 am - 07:00 pm, Wednesday: 09:00 am - 07:00 pm, Thursday: 09:00 am - 07:00 pm, Friday: 09:00 am - 09:00 pm, Saturday: 09:00 am - 09:00 pm",,,0
Park Plaza,,6000 West Markham St. ,,Little Rock ,AR,72205,United States,501 603-0800,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 12:00 pm - 06:00 pm",,,0
Christiana Mall,,740 Christiana Mall Space 1150 ,,Newark ,DE,19702,United States,302-273-6310,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 11:00 am - 06:00 pm",,,0
Westfield Trumbull,,5065 Main St ,,Trumbull ,CT,06611,United States,203 372-2700,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 11:00 am - 06:00 pm",,,0
Boise Towne Square,,350 N Milwaukee St ,,Boise ,ID,83704,United States,208 321-8200,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 11:00 am - 07:00 pm",,,0
The Shoppes at Buckland Hills,,194 Buckland Hills Dr. ,,Manchester ,CT,06040,United States,860-648-1607,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 11:00 am - 06:30 pm",,,0
Jordan Creek Town Center,,101 Jordan Creek Parkway ,,West Des Moines ,IA,50266,United States,515 225-6177,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 11:00 am - 06:00 pm",,,0
The Mall at Turtle Creek,,3000 East Highland Drive ,,Jonesboro ,AR,72401,United States,870 268-8581,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 12:30 pm - 06:00 pm",,,0
Westfarms,,112 Westfarms Mall Space H124 ,,Farmington ,CT,06032,United States,860-313-4055,,,"Monday: 10:00 am - 09:30 pm, Tuesday: 10:00 am - 09:30 pm, Wednesday: 10:00 am - 09:30 pm, Thursday: 10:00 am - 09:30 pm, Friday: 10:00 am - 09:30 pm, Saturday: 10:00 am - 09:30 pm, Sunday: 11:00 am - 06:00 pm",,,0
Towne East Square,,7700 East Kellogg Dr ,,Wichita ,KS,67207,United States,316 684-3700,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 09:00 pm, Saturday: 10:00 am - 09:00 pm, Sunday: 12:00 pm - 06:00 pm",,,0
NorthPark Mall,,320 West Kimberly Road ,,Davenport ,IA,52806,United States,563 391-4694,,,"Monday: 10:00 am - 09:00 pm, Tuesday: 10:00 am - 09:00 pm, Wednesday: 10:00 am - 09:00 pm, Thursday: 10:00 am - 09:00 pm, Friday: 10:00 am - 10:00 pm, Saturday: 10:00 am - 09:30 pm, Sunday: 12:00 pm - 06:00 pm",,,0
