store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Chatters Hair Salon Lansdowne Place,,"#244, 645 Lansdowne St. W.",,Peterborough,ON,K9J 7Y5,Canada,705-745-7419,,,Mon - Fri: 9:30am - 9:00pm Sat: 9:30am - 6:00pm Sun: 11:00am - 5:00pm Labour Day: Closed Thanksgiving Day: Closed Rememberance Day: 11:00am - 5:00pm Christmas Eve: 8:00am - 5:00pm Christmas Day: Closed Boxing Day: 8:00am - 6:00pm New Year's Eve: 9:30am - 5:00pm New Year's Day: 11:00am - 6:00pm Family Day: 9:30am - 9:00pm Good Friday: Closed Easter Sunday: Closed Victoria Day: Closed Canada Day: Closed Heritage Day: 11:00am - 6:00p,,,
Chatters Hair Salon Kenaston,,"Unit 1, 1589 Kenaston Blvd.",,Winnipeg,MB,R3P 2N3,Canada,204-487-7807,,,Mon - Fri: 9:00am - 9:00pm Sat: 9:00am - 6:00pm Sun: 11:00am - 6:00pm Labour Day: Closed Thanksgiving Day: 11:00am - 6:00pm Rememberance Day: 1:00pm - 9:00pm Christmas Eve: 9:00am - 5:00pm Christmas Day: Closed Boxing Day: 8:00am - 6:00pm New Year's Eve: 9:00am - 5:00pm New Year's Day: Closed Family Day: 9:00am - 9:00pm Good Friday: Closed Easter Sunday: Closed Easter Monday: Closed Victoria Day: 11:00am - 6:00pm Canada Day: Closed Heritage Day: 9:00am - 9:00p,,,
Chatters Hair Salon Kingsway Garden Mall,,"624, 109th St.& Princess Elizabeth Ave.",,Edmonton,AB,T5G 3A6,Canada,780-477-3088,,,Mon - Fri: 10:00am - 9:00pm Sat: 9:30am - 6:00pm Sun: 11:00am - 5:00p,,,
Chatters Hair Salon Grandview Corners,,"Unit 80, 16041 - 24th Ave.",,Surrey,BC,V3S 9H7,Canada,778-294-4410,,,Mon - Tues: 9:00am - 6:00pm Wed - Fri: 9:00am - 9:00pm Sat: 9:00am - 6:00pm Sun: 11:00am - 6:00pm Labour Day: 11:00am - 5:00pm Thanksgiving Day: 11:00am - 5:00pm Rememberance Day: 11:00am - 5:00pm Christmas Eve: 9:00am - 5:00pm Christmas Day: Closed Boxing Day: 9:00am - 5:00pm New Year's Eve: 9:00am - 5:00pm New Year's Day: Closed BC Day: 11:00am - 5:00pm Good Friday: 11:00am - 5:00pm Easter Sunday: Closed Easter Monday: 11:00am - 5:00pm Victoria Day: 11:00am - 5:00pm Canada Day: 11:00am - 5:00pm Heritage Day: 11:00am - 5:00p,,,
Chatters Hair Salon Kelsey Drive,,1 Kiwanis Street Unit 1A,,St.John's,NL,A1B 0A2,Canada,709-576-0660,,,Mon - Fri: 9:30am - 9:00pm Sat: 9:30am - 6:00pm Sun: 11:00am - 5:00pm Labour Day: Closed Thanksgiving Day: Closed Rememberance Day: Closed Christmas Eve: 9:30am - 2:00pm Christmas Day: Closed Boxing Day: Closed New Year's Eve: 9:30am - 2:00pm New Year's Day: Closed Family Day: 9:30am - 9:00pm Good Friday: Closed Easter Sunday: Closed Easter Monday: 9:30am - 9:00pm Victoria Day: Canada Canada Day: Canada Heritage Day: 9:30am - 9:00p,,,
Chatters Hair Salon Grande Prairie Westgate,,"#114, 11517 Westgate Drive",,Grande Prairie,AB,T8V 3B1,Canada,780-532-9224,,,Mon - Fri: 9:30am - 9:00pm Sat: 9:30am - 6:00pm Sun: 12:00pm - 5:00pm Labour Day: 11:00am - 6:00pm Thanksgiving Day: 11:00am - 6:00pm Rememberance Day: 11:00am - 6:00pm Christmas Eve: 10:00am - 4:00pm Christmas Day: Closed Boxing Day: 9:30am - 6:00pm New Year's Eve: 10:00am - 4:00pm New Year's Day: Closed Family Day: 11:00am - 6:00pm Good Friday: 11:00am - 6:00pm Easter Sunday: Closed Easter Monday: 11:00am - 6:00pm Victoria Day: 11:00am - 6:00pm Canada Day: 11:00am - 6:00pm Heritage Day: 11:00am - 6:00p,,,
Chatters Hair Salon Empress Street,,"Unit 1, 675 Empress Street",,Winnipeg,MB,R3G 3P7,Canada,204-772-4247,,,Mon - Fri: 10:00am - 9:00pm Sat: 9:00am - 6:00pm Sun: 11:00am - 5:00pm Labour Day: Closed Thanksgiving Day: 11:00am - 5:00pm Rememberance Day: 1:00pm - 9:00pm Christmas Eve: 11:00am - 5:00pm Christmas Day: Closed Boxing Day: 9:00am - 9:00pm New Year's Eve: 11:00am - 5:00pm New Year's Day: Closed Family Day: 11:00am - 5:00pm Good Friday: Closed Easter Sunday: Closed Easter Monday: 11:00am - 5:00pm Victoria Day: Closed Canada Day: Closed Heritage Day: 11:00am - 5:00p,,,
Chatters Hair Salon Hillside Shopping Ctr.,,"#38, 1644 Hillside Avenue",,Victoria,BC,V8T 2C5,Canada,250-592-1444,,,Mon - Tue: 9:30am - 5:30pm Wed - Fri: 9:30am - 9:00pm Sat: 9:30am - 5:30pm Sun: 11:00am - 5:30pm Labour Day: 11:00am - 5:00pm Thanksgiving Day: 11:00am - 5:00pm Rememberance Day: 11:00am - 9:00pm Christmas Eve: 9:30am - 5:00pm Christmas Day: Closed Boxing Day: 9:00am - 5:30pm New Year's Eve: 9:30am - 5:00pm New Year's Day: 11:00am - 5:00pm BC Day: 11:00am - 5:00pm Good Friday: 11:00am - 5:00pm Easter Sunday: 11:00am - 5:00pm Easter Monday: 11:00am - 5:30pm Victoria Day: 11:00am - 5:00pm Canada Day: 11:00am - 5:00pm Heritage Day: 11:00am - 5:00p,,,
Chatters Hair Salon Emerald Hills,,"#373, 5000 Emerald Drive",,Sherwood Park,AB,T8H 0P5,Canada,780-417-0054,,,Mon - Fri: 9:00am - 9:00pm Sat: 9:00am - 6:00pm Sun: 11:00am - 5:00pm Labour Day: 11-5 Thanksgiving Day: 11-5 Rememberance Day: 11-5 Christmas Eve: 9:00am - 3:00pm Christmas Day: Closed Boxing Day: 11-5 New Year's Eve: 9:00am - 3:00pm New Year's Day: 9:00am - 3:00pm Family Day: 11-5 Good Friday: 11-5 Easter Sunday: 11:00am - 5:00pm Easter Monday: 9:00am - 9:00pm Victoria Day: 11-5 Canada Day: 11-5 Heritage Day: 11-,,,
Chatters Hair Salon Deerfoot Meadows,,"# 852, 8180 - 11th Street SE",,Calgary,AB,T2H 3B5,Canada,403-253-5511,,,Mon - Thur: 9:00am - 9:00pm Fri: 9:00am - 8:00pm Sat: 9:00am - 6:00pm Sun: 11:00am - 5:00pm Labour Day: 11:00am - 5:00pm Thanksgiving Day: 11:00am - 5:00pm Rememberance Day: 11:00am - 5:00pm Christmas Eve: 9:00am - 4:00pm Christmas Day: Closed Boxing Day: 9:00am - 6:00pm New Year's Eve: 9:00am - 4:00pm New Year's Day: Closed Family Day: 11:00am - 5:00pm Good Friday: 11:00am - 5:00pm Easter Sunday: Closed Easter Monday: 11:00am - 5:00pm Victoria Day: 11:00am - 5:00pm Canada Day: 11:00am - 5:00pm Heritage Day: 11:00am - 5:00p,,,
