store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,27548 Ynez Road Ste I-1 ,,Temecula ,CA,92591,United States,(951) 699-7492,,,"Monday 11:00 AM - 6:00 PM, Tuesday 11:00 AM - 6:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 11:00 AM - 6:00 PM, Saturday 11:00 AM - 6:00 PM, Sunday 11:00 AM - 5:00 PM",,,
,,2085 Montiel Road Suite 105 ,,San Marcos ,CA,92069,United States,(760) 739-0672,,,"Monday 10:00 AM to 6:00 PM, Tuesday 10:00 AM to 7:00 PM, Wednesday 10:00 AM to 7:00 PM, Thursday 10:00 AM to 7:00 PM, Friday 10:00 AM to 7:00 PM, Saturday 10:00 AM to 6:00 PM, Sunday 10:00 AM to 5:00 PM",,,
,,840 West El Camino Real (corner of Hollenbeck) ,,Sunnyvale ,CA,94087,United States,(408) 900-8202,,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 12:00 PM - 5:00 PM",,,
,,102 E. Barstow ,,Fresno ,CA,93710,United States,(559) 435-3342,,,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 7:00 PM, Wednesday 10:00 AM - 7:00 PM, Thursday 10:00 AM - 7:00 PM, Friday 10:00 AM - 7:00 PM, Saturday 10:00 AM - 7:00 PM, Sunday 10:00 AM - 5:00 PM",,,
,,840 Ernest W. Barrett Pkwy NW ,,Kennesaw ,GA,30144,United States,(770) 426-8800,,,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 12:00 PM - 6:00 PM",,,
,,2761 East Bidwell St. # 400 ,,Folsom ,CA,95630,United States,(916) 984-6266,,,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 7:00 PM, Wednesday 10:00 AM - 7:00 PM, Thursday 10:00 AM - 7:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 11:00 PM - 6:00 PM",,,
,,6644 Lonetree Blvd # 300 ,,Rocklin ,CA,95765,United States,(916) 315-8199,,,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 7:00 PM, Wednesday 10:00 AM - 7:00 PM, Thursday 10:00 AM - 7:00 PM, Friday 10:00 AM - 7:00 PM, Saturday 10:00 AM - 6:00 PM, Sunday 10:00 AM - 4:00 PM",,,
,,351 Magnolia Ave. Suite 101 ,,Corona ,CA,92879,United States,(951) 272-4020,,,"Monday 10:00 AM to 7:00 PM, Tuesday 10:00 AM to 7:00 PM, Wednesday 10:00 AM to 7:00 PM, Thursday 10:00 AM to 7:00 PM, Friday 10:00 AM to 7:00 PM, Saturday 10:00 AM to 7:00 PM, Sunday 11:00 PM to 5:00 PM",,,
,,939 South 25th East ,,Ammon ,ID,83406,United States,(208) 523-4900,,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 6:00 PM, Sunday 12:00 AM - 12:00 AM",,,
,,7849 W. Emerald St. ,,Boise ,ID,83704,United States,(208) 917-7789,,,"Monday 11:00 AM - 8:00 PM, Tuesday 11:00 AM - 8:00 PM, Wednesday 11:00 AM - 8:00 PM, Thursday 11:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 12:00 AM - 12:00 AM",,,
