store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,Fern Park 335 E. State Road 436 ,,Fern Park ,FL,32730,United States,407-260-5531,,,"Monday-Friday  9:00-8:00, Saturday 10:00-7:00, Sunday  11:00-5:00",,,
,,Ventura 4705 Telephone Road ,,Ventura ,CA,93003,United States,805-289-1550,,,"Monday-Friday  9:00-8:00, Saturday  10:00-8:00, Sunday  11:00-6:00",,,
,,Littleton 8680A Park Meadows Center Dr. ,,Littleton ,CO,80124,United States,303-768-8484,,,"Monday-Friday  9:00-8:00, Saturday  10:00-8:00, Sunday  11:00-6:00",,,
,,Walnut Creek 1929 Mt. Diablo Blvd. ,,Walnut Creek ,CA,94596,United States,925-944-1495,,,"Monday-Friday  9:00-7:00, Saturday  9:00-6:00, Sunday  11:00-5:00",,,
,,Hamden 2335 Dixwell Avenue ,,Hamden ,CT,06514,United States,203-287-0900,,,"Monday-Saturday 10:00-8:00, Sunday 11:00-6:00",,,
,,West Los Angeles 8888 Venice Blvd. ,,Los Angeles ,CA,90034,United States,310-559-9630,,,"Monday-Friday  9:00-7:00, Saturday  9:00-6:00, Sunday  11:00-5:00",,,
,,San Marcos 702 Center Dr. ,,San Marcos ,CA,92069,United States,760-504-0292,,,"Monday-Saturday 9:00-8:00, Sunday  11:00-6:00",,,
,,Upland 125 N. Mountain Ave ,,Upland ,CA,91786,United States,909-985-9945,,,"Monday-Friday 9:00-7:00, Saturday 10:00-7:00, Sunday 11:00-5:00",,,
,,San Leandro 1144 Montague Ave. ,,San Leandro ,CA,94577,United States,510-483-9750,,,"Monday-Saturday  10:00-7:00, Sunday  11:00-6:00",,,
,,San Diego Hazard Center 7510 Hazard Center Drive ,,San Diego ,CA,92108,United States,619-297-8494,,,"Monday-Friday 9:00-9:00, Saturday 10:00-8:00, Sunday 11:00-6:00",,,
,,San Bernardino 898 E. Harriman Place ,,San Bernardino ,CA,92408,United States,909-890-1222,,,"Monday-Friday 10:00-8:00, Saturday 10:00-7:00, Sunday 11:00-6:00",,,
,,San Jose 1099 S. Bascom Ave. ,,San Jose ,CA,95128,United States,408-998-0794,,,"Monday-Friday 9:00-8:00, Saturday 10:00-7:00, Sunday 11:00-5:00",,,
,,Roseville 1850 Douglas Blvd. ,,Roseville ,CA,95661,United States,916-774-4304,,,"Monday-Friday  9:00-8:00, Saturday  10:00-8:00, Sunday  11:00-6:00",,,
,,Pasadena 3848 E. Foothill Blvd. ,,Pasadena ,CA,91107,United States,626-356-3848,,,"Monday-Friday  9:00-8:00, Saturday  9:00-7:00, Sunday  11:00-5:00",,,
,,Northridge 17072 Devonshire St. ,,Northridge ,CA,91325,United States,818-366-4105,,,"Monday-Friday  9:00-8:00, Saturday  10:00-7:00, Sunday  11:00-6:00",,,
,,Bellevue 11027 N.E. 4th St. ,,Bellevue ,WA,98004,United States,425-462-8076,,,"Monday-Friday  9:00-8:00, Saturday  9:00-6:00, Sunday  11:00-6:00",,,
,,Murrieta Village Walk Plaza (corner of Village Walk Place and Kalmia St.) 24420 Village Walk Place ,,Murrieta ,CA,92562,United States,951-461-1352,,,"Monday-Friday 10:00-8:00, Saturday 10:00-7:00, Sunday 11:00-6:00",,,
,,Alexandria 7009A Manchester Blvd. ,,Alexandria ,VA,22310,United States,703-719-0202,,,"Monday-Saturday 10:00-9:00, Sunday 11:00-5:00",,,
,,McAllen 1316 E. Expressway 83 ,,McAllen ,TX,78503,United States,956-618-0225,,,"Monday-Saturday 10:00-9:00, Sunday 11:00-6:00",,,
,,The Woodlands 19075 Interstate 45 S ,,Shenandoah ,TX,77385,United States,936-271-3585,,,"Monday-Friday  9:00-8:00, Saturday  10:00-8:00, Sunday  11:00-6:00",,,
,,San Antonio 327 NW Loop 410 ,,San Antonio ,TX,78216,United States,210-340-0504,,,"Monday-Saturday 9:00-8:00, Sunday 11:00-6:00",,,
