store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Dayton,,101 E. Alex-Bell Road,,Dayton,OH,45459,US,(937) 436-3320,39.643961,-84.153538,"Sunday 12:00pm - 5:00pm, Monday 10:00am - 8:00pm, Tuesday 10:00am - 8:00pm, Wednesday 10:00am - 8:00pm, Thursday 10:00am - 8:00pm, Friday 10:00am - 8:00pm, Saturday 10:00am - 6:00pm",,,
Sylvania,,5577 Monroe St.,,Sylvania,OH,43560,US,(419) 885-3959,41.70378792893523,-83.67128120635988,"Sunday 12:00pm - 5:00pm, Monday 10:00am - 6:00pm, Tuesday 10:00am - 6:00pm, Wednesday 10:00am - 6:00pm, Thursday 10:00am - 8:00pm, Friday 10:00am - 8:00pm, Saturday 10:00am - 6:00pm",,,
Newton,,1296 Centre St.,,Newton Center,MA,02459,US,(617) 969-2722,42.329082,-71.194504,"Sunday 10:00am - 5:00pm, Monday 9:30am - 6:00pm, Tuesday 9:30am - 6:00pm, Wednesday 9:30am - 6:00pm, Thursday 9:30am - 7:00pm, Friday 9:30am - 7:00pm, Saturday 9:30am - 6:00pm",,,
Andover,,32 Park Street,,Andover,MA,01810,US,(978) 474-0555,42.656956,-71.139392,"Sunday 11:00am - 5:00pm, Monday 9:30am - 5:30pm, Tuesday 9:30am - 5:30pm, Wednesday 9:30am - 5:30pm, Thursday 9:30am - 8:00pm, Friday 9:30am - 5:30pm, Saturday 9:30am - 5:30pm",,,
Beverly,,4 Enon St.,,Beverly,MA,01915,US,(978) 927-1972,42.583406,-70.884591,"Sunday 10:00am - 4:00pm, Monday 9:30am - 5:30pm, Tuesday 9:30am - 5:30pm, Wednesday 9:30am - 5:30pm, Thursday 9:30am - 5:30pm, Friday 9:30am - 5:30pm, Saturday 9:30am - 5:30pm",,,
Needham,,53 Chestnut Street,,Needham,MA,02492,US,(781) 444-8650,42.279168,-71.237327,"Sunday 12:00pm - 5:00pm, Monday 9:30am - 5:30pm, Tuesday 9:30am - 5:30pm, Wednesday 9:30am - 5:30pm, Thursday 9:30am - 5:30pm, Friday 9:30am - 5:30pm, Saturday 9:30am - 5:30pm",,,
The Toy Chest,,975 Farmington Avenue,,West Hartford,CT,06107,US,(860) 233-5559,41.761205,-72.743635,"Sunday 12:00pm - 4:00pm, Monday 9:30am - 6:00pm, Tuesday 9:30am - 6:00pm, Wednesday 9:30am - 6:00pm, Thursday 9:30am - 8:00pm, Friday 9:30am - 8:00pm, Saturday 9:30am - 5:30pm",,,
Sudbury,,515 Boston Post Rd.,,Sudbury,MA,01776,US,(978) 443-9526,42.359281,-71.429501,"Sunday 11:00am - 4:00pm, Monday 9:00am - 6:00pm, Tuesday 9:00am - 6:00pm, Wednesday 9:00am - 6:00pm, Thursday 9:00am - 7:00pm, Friday 9:00am - 7:00pm, Saturday 9:00am - 6:00pm",,,
Ft. Collins,,2720 Council Tree Avenue,,Ft. Collins,CO,80525,US,(970) 282-6501,40.52568,-105.025994,"Sunday 12:00pm - 5:00pm, Monday 10:00am - 7:00pm, Tuesday 10:00am - 7:00pm, Wednesday 10:00am - 7:00pm, Thursday 10:00am - 7:00pm, Friday 10:00am - 7:00pm, Saturday 10:00am - 7:00pm",,,
Upper Montclair,,596 Valley Road,,Upper Montclair,NJ,07043,US,(973) 746-4020,40.840989,-74.2081,"Sunday 11:00am - 5:00pm, Monday 10:00am - 6:30pm, Tuesday 10:00am - 6:30pm, Wednesday 10:00am - 6:30pm, Thursday 10:00am - 8:00pm, Friday 10:00am - 6:30pm, Saturday 10:00am - 6:30pm",,,
Acton,,250 Great Road,,Acton,MA,01720,US,(978) 263-4009,42.494415,-71.416985,"Sunday 11:00am - 4:00pm, Monday 9:30am - 6:00pm, Tuesday 9:30am - 6:00pm, Wednesday 9:30am - 6:00pm, Thursday 9:30am - 7:00pm, Friday 9:30am - 7:00pm, Saturday 9:30am - 5:30pm",,,
