store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
SCS,,"Shopping City Süd , Unit G103",,Vösendorf,,2334,Austria,,,,"Montag:09:30-19:00, Dienstag:09:30-19:00, Mittwoch:09:30-19:00, Donnerstag:09:30-21:00, Freitag:09:30-19:00, Samstag:09:00-18:00",,,
WIEN DONAU ZENTRUM,,"Wagramer Straße 81, #928B",,Vienna,,1220,Austria,+43-(0)1890 9064,,,"Mon-Fri:9:00-20:00, Sat:9:00-18:00",,,
WIJNEGEM,,"Space 526, Turnhoutsebaan 5",,Wijnegem,,2110,Belgium,+32-(0)03 353 7831,,,"Mon-Thu:10:00-20:00, Fri:10:00-21:00, Sat:10:00-20:00",,,
CHINOOK CENTRE,,"6455 Macleod Trail SW, Unit 0203",,Calgary ,AB,0K8 T2H,Canada,(403) 252-5346,,,"Mon-Sat:9:30am-9:00pm, Sun:11:00am-7:00pm",,,
SOUTHGATE CENTRE,,5015-111 ST NW SPACE #424,,EDMONTON ,AB,4M6 T6H,Canada,780-437-4567,,,"MON -FRI: 10:00am - 9:00pm, SAT: 9:30am - 6:00pm, SUN: 11:00am - 5:00pm",,,
GUILDFORD TOWN CENTRE,,10355 152 Street,,Surrey ,BC,7C1 V3R,Canada,(604) 587-6804,,,"Mon-Fri: 10:00am - 9:00pm, Sat: 10:00am - 9:00pm, Sun: 10:00am-6:00pm",,,
OAKRIDGE CENTRE,,"650 WEST 41st AVE, SPACE 175",,VANCOUVER ,BC,2M9 V5Z,Canada,(604) 261-7747,,,"Monday Tuesday Saturday:9:30am-7:00 pm, Wednesday Thursday Friday:9:30am-9:00pm, Sunday:11:00am-6:00pm",,,
POLO PARK,,"1485 PORTAGE AVE., UNIT 0210A",,WINNIPEG ,MB,0W4 R3G,Canada,204-774-1801,,,"Mon-Fri: 10:00 AM - 9:00 PM, Sat: 9:30 AM- 6:00 PM, Sun: 11:00 AM - 6:00 PM",,,
FAIRVIEW MALL,,1800 SHEPPARD AVE EAST,,TORONTO ,ON,5A7 M2J,Canada,(416) 491-6039,,,"Monday-Friday:10:00am-9:00pm, Saturday:9:30am-9:00pm, Sunday:11:00am-7:00pm",,,
SHERWAY GARDENS,,25 THE WEST MALL - #1066,,TORONTO ,ON,1B8 M9C,Canada,(416) 695-2433,,,"Monday - Friday:10:00am -9:00 pm, Saturday:9:30am - 9:00pm, Sunday:11:00 am - 6:00pm",,,
YORKDALE SHOPPING CENTRE,,"1 YORKDALE ROAD, UNIT 84",,TORONTO ,ON,3A1 M6A,Canada,416-781-9572,,,"Mon - Fri: 10:00am - 9:00pm, Sat: 9:30am - 9:00pm, Sun: 11:00am - 7:00pm",,,
CARREFOUR LAVAL,,3035 BOULEVARD LE CARREFOUR,,LAVAL ,QC,1C8 H7T,Canada,450-978-0994,,,"Mon-Fri:10:00AM-9:00PM, Sat:9:00AM-5:00PM, Sun:10:00AM-5:00PM",,,
FAIRVIEW POINTE CLAIRE,,6801 TRANS-CANADA HWY,,POINTE CLAIRE ,QC,5J2 H9R,Canada,514-697-2332,,,"Mon-Fri:10:00AM-9:00PM, Sat:9:00AM-5:00PM, Sun:10:00AM-5:00PM",,,
DISNEYTOWN SHANGHAI,,WEST SHEN DI ROAD,,SHANGHAI,,201205,China,+86 21 5033 3308,,,,,,
COPENHAGEN,,VIMMELSKAFTET 37,,COPENHAGEN,,1161,Denmark,+45 (0) 521 591 57,,,"Mon-Thu 10:00-18:00, Fr: 10:00am - 19:00, Sat:10:00am - 18:00, Sun:11:00am - 17:00",,,
BORDEAUX SAINTE-CATHERINE,,Rue Guiraude,,Bordeaux,,33000,France,+33(0)557 8349 80,,,"Lundi-samedi:10h00-20h00, Dimanche:11H00-19h00",,,
CLERMONT-FERRAND,,2 rue Giscard de La Tour Fondue,,Clermont-Ferrand,,63000,France,+33 (0) 473 16 96 11,,,Lundi-samedi:10h00-19h00,,,
DISNEYLAND PARIS,,Chessy 77700,,Chessy,,77700,France,+33 (0)161 103 319,,,Monday - Sunday: 9:00 - 23:00,,,
LILLE,,Centre Commercial Euralille,,Lille,,59800,France,+33 (0)328 049 821,,,Lun-Sam: 10:00-20:00,,,
LYON LA PART-DIEU,,17 Rue du Docteur Bouchut,,Lyon,,69003,France,+33 (0)478 823 379,,,Lundi-Samedi : de 9h30-20h00,,,
PARIS LES HALLES,,"1, Passage de la Canopée",,PARIS,,75001,France,+(0)33 1 49 27 94 25,,,"Lundi-samedi : 10h00-20h00, Dimanche :  11h00-19h00",,,
SO OUEST,,Centre Commercial So Ouest,,Levallois-Perret,,92300,France,+33 (0) 155 460 685,,,Lun-Sam: 10:00-21:00,,,
BERLIN,,TAUENTZIENSTRAßE 20,,Berlin,,10789,Germany,+49-(0)30-210 162 22,,,"Mo-Do:10:00-20:00, Fr:10:00-21:00, Sa:10:00-20:00",,,
ESSEN,,Limbeckerstraße 25,,Essen,,45127,Germany,+49-(0)201-269 892 70,,,Mo–Sa:10:00–20:00,,,
FRANKFURT,,MyZeil Einkaufszentrum,,Frankfurt,,60313,Germany,+49-(0)69-209 776 99,,,"Mo-Mi:10:00-20:00, Do-Sa:10:00-21:00",,,
