store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,400 Pine St,,Seattle,Washington,98101,United States,(206) 682-1325,,,Mon: 10:00 am - 8:00 pm Tue: 10:00 am - 8:00 pm Wed: 10:00 am - 8:00 pm Thu: 10:00 am - 8:00 pm Fri: 10:00 am - 8:00 pm Sat: 10:00 am - 8:00 pm Sun: 11:00 am - 6:00 p,,,
,,129 Bellevue Sq,,Bellevue,Washington,98004,United States,(425) 454-1556,,,Mon: 9:30 am - 9:30 pm Tue: 9:30 am - 9:30 pm Wed: 9:30 am - 9:30 pm Thu: 9:30 am - 9:30 pm Fri: 9:30 am - 9:30 pm Sat: 9:30 am - 9:30 pm Sun: 11:00 am - 7:00 p,,,
,,14006 Riverside Dr,,Sherman Oaks,California,91423,United States,(818) 906-9665,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 8:00 pm Sat: 10:00 am - 8:00 pm Sun: 11:00 am - 6:00 p,,,
,,395 Santa Monica Pl,,Santa Monica,California,90401,United States,(310) 395-1526,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 9:00 pm Sun: 11:00 am - 8:00 p,,,
,,845 Market St,,San Francisco,California,94103,United States,(415) 278-0438,,,Mon: 10:00 am - 8:30 pm Tue: 10:00 am - 8:30 pm Wed: 10:00 am - 8:30 pm Thu: 10:00 am - 8:30 pm Fri: 10:00 am - 8:30 pm Sat: 10:00 am - 8:30 pm Sun: 10:00 am - 7:00 p,,,
,,401 Newport Center Dr,,Newport Beach,California,92660,United States,(949) 219-9953,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 7:00 pm Sun: 11:00 am - 6:00 p,,,
,,3251 20th Ave,,San Francisco,California,94132,United States,(415) 682-8234,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 9:00 pm Sun: 11:00 am - 6:00 p,,,
,,6600 Topanga Canyon Blvd,,Los Angeles,California,91303,United States,(818) 346-1720,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 9:00 p,,,
,,690 W Dekalb Pike,,King of Prussia,Pennsylvania,19406,United States,(610) 337-1860,,,Mon: 11:00 am - 6:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 9:00 pm Sun: 11:00 am - 6:00 p,,,
,,"309 Rosedale Ctr, Ste 120",,St Paul,Minnesota,55113,United States,(651) 633-9887,,,Mon: 10:00 am - 9:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 9:00 pm Sun: 11:00 am - 6:00 p,,,
,,1595 Highway 36 W,,Roseville,Minnesota,55113,United States,(651) 633-9887,,,"Hours may fluctuate. For detailed hours of operation, please contact the store directly",,,
,,"1 Garden State Plz, Ste 1130",,Paramus,New Jersey,07652,United States,(201) 843-3139,,,Mon: 10:00 am - 9:30 pm Tue: 10:00 am - 9:30 pm Wed: 10:00 am - 9:30 pm Thu: 10:00 am - 9:30 pm Fri: 10:00 am - 9:30 pm Sat: 10:00 am - 9:30 p,,,
,,3710 Us-9,,Freehold,New Jersey,07728,United States,(732) 625-1900,,,Mon: 11:00 am - 6:00 pm Tue: 10:00 am - 9:00 pm Wed: 10:00 am - 9:00 pm Thu: 10:00 am - 9:00 pm Fri: 10:00 am - 9:00 pm Sat: 10:00 am - 7:00 p,,,
,,1 Garden St,,Dumont,New Jersey,07628,United States,(201) 387-0176,,,"Hours may fluctuate. For detailed hours of operation, please contact the store directly",,,
,,216 North Garden,,Bloomington,Minnesota,55425,United States,(952) 854-5804,,,Mon: 10:00 am - 9:30 pm Tue: 10:00 am - 9:30 pm Wed: 10:00 am - 9:30 pm Thu: 10:00 am - 9:30 pm Fri: 10:00 am - 9:30 pm Sat: 10:00 am - 9:30 pm Sun: 11:00 am - 7:00 p,,,
