store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,317 Amherst Street,,Nashua,NH,03063,United States,(603) 889-0000,,,"Monday 10am  6pm, Tuesday CLOSED, Wednesday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  3pm",,,
,,1 Worcester Road,,Framingham,MA,01701,United States,(508) 370-0006,,,"Monday - Friday 9:30am  6pm, Saturday 9am  6pm, Sunday 9:30am  5pm",,,
,,11634 Fountains Drive,,Maple Grove,MN,55369,United States,(763) 494-5547,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  4pm",,,
,,25 Boylston Street,,Chestnut Hill,MA,02467,United States,(617) 566-7647,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  5pm",,,
,,95 Washington Street,,Canton,MA,02021,United States,(781) 821-1900,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  5pm",,,
,,544 Turnpike Street,,North Andover,MA,01845,United States,(978) 655-7120,,,"Monday 10am  6pm, Tuesday CLOSED, Wednesday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  3pm",,,
,,2090 Celebration Drive,,Grand Rapids,MI,49525,United States,(616) 364-6363,,,"Monday - Friday 10am  6:30pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,231C Highland Avenue,,Seekonk,MA,02771,United States,(508) 336-2626,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  4pm",,,
,,92 Derby Street,,Hingham,MA,02043,United States,(781) 740-2306,,,"Monday - Saturday 9am  6pm, Sunday 10am  5pm",,,
,,300 Andover Street,,Peabody,MA,01960,United States,(978) 532-1400,,,"Monday - Friday 9:30am  6pm, Saturday 9am  6pm, Sunday 10am  5pm",,,
,,70 Worcester Providence Tpke,,Millbury,MA,01527,United States,(508) 865-7647,,,"Monday - Friday 9:30am  6pm, Saturday 9am  6pm, Sunday 10am  5pm",,,
,,157 Bedford Street,,Burlington,MA,01803,United States,(781) 221-9939,,,"Monday - Friday 10am  6pm, Saturday 9am  6pm, Sunday 10am  5pm",,,
,,Waugh Chapel Towne Centre,,Crofton,MD,21054,United States,(410) 451-0303,,,"Monday - Friday 9:30am  7pm, Saturday 9am  6pm, Sunday 10am  5pm",,,
,,209 Western Ave,,South Portland,ME,04106,United States,(207) 774-5437,,,"Monday 10am  6pm, Tuesday CLOSED, Wednesday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  3pm",,,
,,4920 NE Roswell Rd #21,,Sandy Springs,GA,30342,United States,(404) 205-5778,,,,,,
,,2625 State Road 7,,Wellington,FL,33414,United States,(561) 795-7647,,,"Monday CLOSED, Tuesday - Friday 10am  7pm, Saturday 10am  6pm, Sunday 12pm  5pm",,,
,,"15600 NE 8th St, Suite F-4",,Bellevue,WA,98008,United States,(425) 429-2570,,,"Monday - Saturday 10am  9pm, Sunday 11am  6pm",,,
,,10659B Braddock Road,,Fairfax,VA,22032,United States,(703) 278-8115,,,"Monday - Friday 10am  7pm, Saturday 10am  6pm, Sunday 10am  5pm",,,
,,1201 Lake Woodlands Drive,,The Woodlands,TX,77380,United States,(281) 419-4222,,,"Monday - Saturday 10am  6pm, Sunday 12pm  5pm",,,
,,15890 Southwest Freeway,,Sugar Land,TX,77478,United States,(281) 491-7647,,,"Monday - Friday 10am  6pm, Saturday 9am  6pm, Sunday 11am  5pm",,,
,,100 W. Southlake Blvd.,,Southlake,TX,76092,United States,(817) 329-3333,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  5pm",,,
,,2711 La Frontera Boulevard,,Round Rock,TX,78681,United States,(512) 244-9696,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  5pm",,,
,,4720 Highway 121,,Plano,TX,75024,United States,(972) 370-2000,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  5pm",,,
,,2811 Business Center Drive,,Pearland,TX,77584,United States,(713) 436-8181,,,"Monday - Friday 10am  6:30pm, Saturday 9am  5pm, Sunday 12pm  4pm",,,
,,6501 South Fry Road,,Katy,TX,77494,United States,(281) 574-1555,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,14096 Memorial Drive,,Houston,TX,77079,United States,(281) 496-2070,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,"10919 Louetta Road, Ste 100",,Houston,TX,77070,United States,(281) 257-8158,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,2522 Rice Boulevard,,Houston,TX,77005,United States,(713) 807-7199,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,6713 Hillcrest Avenue,,Dallas,TX,75205,United States,(214) 265-0220,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  5pm",,,
,,"9500 IH-35 South, Ste E-200",,Austin,TX,78748,United States,(512) 292-9300,,,"Monday - Friday 10am  6pm, Saturday 9:30am  6pm, Sunday 11am  4pm",,,
,,790 Jordan Road,,Franklin,TN,37067,United States,(615) 771-3633,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 12pm  5pm",,,
,,"5175 Sunset Boulevard, Ste 2",,Lexington,SC,29072,United States,(803) 520-7259,,,"Monday - Tuesday 10am  6pm, Wednesday 10am  7pm, Thursday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  3pm",,,
,,1507 C Woodruff Road,,Greenville,SC,29607,United States,(864) 329-1251,,,"Monday - Tuesday 10am  6pm, Wednesday 10am  7pm, Thursday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,"6070 Garners Ferry Road, Ste B",,Columbia,SC,29209,United States,(803) 764-0219,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,182 Hillside Road,,Cranston,RI,02920,United States,(401) 275-2323,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 12pm  5pm",,,
,,219 Exton Square Parkway,,Exton,PA,19341,United States,(610) 524-9100,,,"Monday - Friday 10am  7pm, Saturday 10am  8pm, Sunday 11am  6pm",,,
,,2229 NW 138th Street,,Oklahoma City,OK,73134,United States,(405) 302-0656,,,"Monday - Friday 10am  6pm, Saturday 9am  6pm, Sunday 11am  5pm",,,
,,1301 S I-35 Service Road,,Moore,OK,73160,United States,(405) 378-2366,,,"Monday - Friday 10am  6pm, Saturday 9am  6pm, Sunday 11am  5pm",,,
,,21609 Center Ridge Road,,Rocky River,OH,44116,United States,(440) 333-2226,,,"Monday - Friday 10am  7pm, Saturday 9am  5:30pm, Sunday 10am  4pm",,,
,,89 First Street,,Hudson,OH,44236,United States,(330) 653-3353,,,"Monday 10am  7pm, Tuesday CLOSED, Wednesday - Friday 10am  7pm, Saturday 10am  5:30pm, Sunday 10am  4pm",,,
,,35514 Detroit Road,,Avon,OH,44011,United States,(440) 934-2001,,,"Monday - Tuesday 10am  6pm, Wednesday - Friday 10am  7pm, Saturday 9am  6pm, Sunday 10am  4pm",,,
,,8625 Lindholm Drive,,Huntersville,NC,28078,United States,(704) 987-0940,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,4317-C Park Road,,Charlotte,NC,28209,United States,(704) 522-1112,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  4pm",,,
,,1289 Route 9,,Wappingers Falls,NY,12590,United States,(845) 632-3144,,,"Monday CLOSED, Tuesday - Friday 10am  5:30pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,2080 Western Avenue,,Guilderland,NY,12084,United States,(518) 250-4320,,,"Monday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,1966 Jericho Turnpike,,East Northport,NY,11731,United States,(631) 486-7477,,,"Monday - Tuesday 10am  6pm, Wednesday 10am  7pm, Thursday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  4pm",,,
,,22 Clifton Country Road,,Clifton Park,NY,12065,United States,(518) 373-0023,,,"Monday - Tuesday 10am  6pm, Wednesday 10am  7pm, Thursday - Friday 10am  6pm, Saturday 9am  5pm, Sunday 10am  4pm",,,
,,5663 East Circle Drive,,Cicero,NY,13039,United States,(315) 452-5437,,,"Monday - Friday 10:30am  7pm, Saturday 9am  5pm, Sunday 11am  4pm",,,
,,395 Mount Hope Ave,,Rockaway,NJ,07866,United States,(973) 361-3600,,,"Monday - Saturday 10am  6pm, Sunday 11am  5pm",,,
