store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
VESTAVIA COMMONS,,1031 Montgomery Hwy Unit 119,,VESTAVIA,AL,35216,United States,(205) 978-7766,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 1:00 PM - 6:00 PM ",,,
SUNCREST TOWNE CENTRE,,356 Suncrest Towne Centre,,MORGANTOWN,WV,26505,United States,(304) 777-4499,,,,,,
JEFFERSON CENTRE,,1882 N Jefferson St Ste 300,,LEWISBURG,WV,24901,United States,(304) 645-3994,,,"Monday-Friday 10:00 AM - 7:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
EISENHOWER COMMONS,,1410 N Eisenhower Dr,,BECKLEY,WV,25801,United States,(304) 253-1323,,,"Monday-Friday 10:00 AM - 7:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
GLADY FORK COMMONS,,167 Courthouse Rd,,PRINCETON,WV,24740,United States,(304) 431-2887,,,"Monday-Friday 10:00 AM - 7:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
PATRIOT CENTER,,7402 Highway 69 S Ste C,,TUSCALOOSA,AL,35405,United States,(205) 462-3431,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 8:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
BRIDGEPORT PLAZA SHOPPING CTR,,1216 W Main St,,BRIDGEPORT,WV,26330,United States,(304) 842-5533,,,,,,
PLANTATION CENTER,,80 Stone Mountain Ln,,ELKINS,WV,26241,United States,(304) 637-7800,,,,,,
WEST BEND MALL,,433 W Paradise Dr,,WEST BEND,WI,53095,United States,(262) 338-6058,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 10:00 AM - 4:00 PM ",,,
VALLEY MALL,,2401 S 1St St Ste 124,,YAKIMA,WA,98903,United States,(509) 249-9926,,,"Monday 9:00 AM - 7:00 PM , Tuesday 9:00 AM - 7:00 PM , Wednesday 9:00 AM - 7:00 PM , Thursday 9:00 AM - 7:00 PM , Friday 9:00 AM - 7:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 5:00 PM ",,,
ORCHARDS SHOPPING CENTER,,420 S 72Nd Ave,,YAKIMA,WA,98908,United States,(509) 965-0443,,,"Monday 8:00 AM - 9:00 PM , Tuesday 8:00 AM - 9:00 PM , Wednesday 8:00 AM - 9:00 PM , Thursday 8:00 AM - 9:00 PM , Friday 8:00 AM - 9:00 PM , Saturday 8:00 AM - 7:00 PM , Sunday 10:00 AM - 5:00 PM ",,,
GATEWAY CENTER,,110 N Fair Ave Ste 103,,YAKIMA,WA,98901,United States,(509) 248-4991,,,"Monday 8:00 AM - 9:00 PM , Tuesday 8:00 AM - 9:00 PM , Wednesday 8:00 AM - 9:00 PM , Thursday 8:00 AM - 9:00 PM , Friday 8:00 AM - 9:00 PM , Saturday 8:00 AM - 7:00 PM , Sunday 10:00 AM - 5:00 PM ",,,
PARKWAY CROSSING EAST SHOP CTR,,14005 Crossing Place,,Woodbridge,VA,22192,United States,,,,,,,
WARWICK MARKETPLACE,,1000 Bald Hill Rd,,WARWICK,RI,02886,United States,(401) 822-0352,,,"Monday-Friday 9:00 AM - 9:00 PM , Saturday 8:00 AM - 6:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
SHAWS PLAZA,,320 Warwick Ave,,WARWICK,RI,02888,United States,(401) 467-4155,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
TEMPORARY SUPERCUTS SALON,,6213 Fox Branch Court,,MIDLOTHIAN,VA,23112,United States,,,,,,,
PRINCE WILLIAM GATEWAY,,9755 Liberia Ave Ste 105,,MANASSAS,VA,20110,United States,,,,"Monday-Friday 9:00 AM - 7:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 10:00 AM - 5:00 PM ",,,
WICHITA FALLS,,3909 Kemp Blvd,,WICHITA FALLS,TX,76308,United States,(940) 692-8851,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
VALLEY CROSSING SHOPPING CTR,,515 E Expressway 83 Ste B,,WESLACO,TX,78596,United States,(956) 968-3344,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 8:00 PM , Sunday 11:00 AM - 6:00 PM ",,,
SUPERCUTS,,177 College Park Dr,,WEATHERFORD,TX,76086,United States,(817) 599-8052,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
WAXAHACHIE TOWN CENTER,,1440 N Highway 77,,WAXAHACHIE,TX,75165,United States,(972) 937-5708,,,"Monday-Friday 10:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
SUPERCUTS,,901 N Loop 340,,WACO,TX,76705,United States,,,,,,,
SUNSET PLAZA,,1601 N Valley Mills Dr,,WACO,TX,76710,United States,(254) 751-1010,,,"Monday-Friday 10:00 AM - 8:00 PM , Saturday 10:00 AM - 7:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
MIDWAY POINT,,1515 Hewitt Dr Ste E,,WACO,TX,76712,United States,(254) 732-0422,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
VICTORIA CROSSING,,7002 Ne Zac Lentaz # I,,VICTORIA,TX,77904,United States,(361) 578-2323,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 8:00 PM , Sunday 11:00 AM - 6:00 PM ",,,
TYLER RETAIL CENTER,,6731 S Broadway,,TYLER,TX,75701,United States,(903) 509-4242,,,"Monday-Friday 10:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
THE CENTRE AT NAVARRO,,5214 N Navarro St,,VICTORIA,TX,77904,United States,(361) 572-9222,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 8:00 PM , Sunday 11:00 AM - 6:00 PM ",,,
H.E.B. SHOPPING CENTER,,1505 E Rio Grande St Ste 110,,VICTORIA,TX,77901,United States,(361) 572-9944,,,"Monday-Friday 10:00 AM - 8:00 PM , Saturday 9:00 AM - 8:00 PM , Sunday 11:00 AM - 6:00 PM ",,,
WALMART CENTER,,6607 W Adams Ave Ste D,,TEMPLE,TX,76502,United States,(254) 598-2506,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
GREEN ACRES SHOPPING CENTER,,1725 Troup Hwy,,TYLER,TX,75701,United States,(903) 597-8441,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 6:00 PM , Sunday 12:00 PM - 5:00 PM ",,,
TOMBALL PARKWAY SHOPPING CTR,,27676 State Highway 249,,TOMBALL,TX,77375,United States,(281) 357-0091,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 6:00 PM ",,,
INDIAN SPRINGS CENTER,,10807 Kuykendahl Rd Ste 404,,THE WOODLANDS,TX,77382,United States,(281) 292-5788,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 6:00 PM ",,,
THE WOODLANDS,,309 Sawdust Rd Ste C,,THE WOODLANDS,TX,77380,United States,(281) 367-5878,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 6:00 PM ",,,
MARKET PLACE SHOPPING CENTER,,3056 S 31St St,,TEMPLE,TX,76502,United States,(254) 773-0113,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 11:00 AM - 5:00 PM ",,,
SUPERCUTS,,2900 W Washington St Ste 72,,Stephenville,TX,76401,United States,,,,,,,
THE EXCHANGE AT TELFAIR,,13425 University Blvd Ste 400,,SUGAR LAND,TX,77479,United States,(281) 494-0748,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 6:00 PM ",,,
FIRST COLONY COMMONS,,15205 Southwest Fwy,,SUGAR LAND,TX,77478,United States,(281) 491-0220,,,"Monday-Friday 9:00 AM - 8:00 PM , Saturday 9:00 AM - 7:00 PM , Sunday 10:00 AM - 6:00 PM ",,,
