store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1105 Wellington Rd,,London,ON,N6E 1V4,Canada,(519) 680-0129,,,"Monday to Friday: 9.30 am  9pm, Saturday: 9.30 am  9pm, Sunday: 12 am  5pm",,,
,,435 Stone Rd W,,Guelph,ON,N1G 2X6,Canada,(519) 829-2620,,,"Monday to Friday: 9.30 am  9pm, Saturday: 9.30 am  7pm, Sunday: 11 am  5pm",,,
,,3100 Howard Ave,,Windsor,ON,N8X 3Y8,Canada,(519) 969-3007,,,"Monday to Friday: 10 am  9pm, Saturday: 10 am  9pm, Sunday: 10 am  6pm",,,
,,1400 Ottawa St S,,Kitchener,ON,N2E 4E2,Canada,(519) 570-1755,,,"Monday to Friday: 10 am  9pm, Saturday: 9.30 am  6pm, Sunday: 11 am  5pm",,,
,,7077 Newman Blvd,,Lasalle,QC,,Canada,(514) 363-7181,,,"Monday  Tuesday: 9.30 am  6pm, Wednesday  Friday: 9.30 am  9 pm, Saturday-Sunday: 9.30 am  5pm",,,
,,100 Donna Dr,,Sudbury,ON,P3B 4K5,Canada,(705) 525-1549,,,"Monday to Friday: 9.30 am  9pm, Saturday: 9.30 am  6pm, Sunday: 11 am  5pm",,,
,,355 Hespeler Rd,,Cambridge,ON,N1R 6B3,Canada,(519) 624-5413,,,"Monday to Friday: 9.30 am  9pm, Saturday: 9.30 am  9pm, Sunday: 11 am  5pm",,,
,,2960 Kingsway Dr,,Kitchener,ON,N2C 1X1,Canada,(519) 748-0592,,,"Monday to Friday: 9.30 am  9pm, Saturday: 9am  6pm, Sunday: 11 am  5pm",,,
,,75 Centennial Pkwy N,,Hamilton,ON,L8E 2P2,Canada,(905) 561-7500,,,"Monday to Friday: 10 am  9pm, Saturday: 9.30 am  6pm, Sunday: 11 am  5pm",,,
,,999 Upper Wentworth St,,Hamilton,ON,L9A 4X5,Canada,(905) 385-5505,,,"Monday to Friday: 9 am  9pm, Saturday: 9am  7pm, Sunday: 9am  6pm",,,
,,1090 Wilson St W,,Ancaster,ON,,Canada,(905) 304-7500,,,"Monday to Friday: 10 am  9 pm, Saturday: 9.30 am  6 pm, Sunday: 11 am  5pm",,,
