store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Crumbs Bake Shop - Oak Park,,1100 Lake Street,,Oak Park,Illinois,60301,United States,708.358.9300,,,,,,
Crumbs Bake Shop - Chicago - West Madison,,303 West Madison,,Chicago,Illinois,60606,United States,312.263.6500,,,,,,
Crumbs Bake Shop - South Clark in Chicago,,42 South Clark Street,,Chicago,Illinois,60603,United States,312.201.6900,,,,,,
Crumbs Bake Shop - River North in Chicago,,346 North Clark Street,,Chicago,Illinois,60654,United States,312.755.0701,,,,,,
Crumbs Bake Shop - Ridgewood,,123 East Ridgewood Ave,,Ridgewood,New Jersey,07450,United States,201-447-5800,,,,,,
Crumbs Bake Shop - Newark,,Newark Airport Terminal C,,Newark,New Jersey,07114,United States,973.242.1010,,,,,,
Crumbs Bake Shop - Hoboken,,409 Washington Ave,,Hoboken,New Jersey,07030,United States,201-420-8900,,,,,,
Crumbs Bake Shop - Lasalle Street - Chicago,,134 N. Lasalle Street,,Chicago,Illinois,60602,United States,312.332.9300,,,,,,
Crumbs Bake Shop - L Street in Washington,,1107 19th Street NW,,Washington,District of Columbia,20036,United States,202.974.0333,,,,,,
Crumbs Bake Shop - LEnfant Plaza in Washington,,470 LEnfant Plaza,,Washington,District of Columbia,20024,United States,202.484.5020,,,,,,
Crumbs Bake Shop - Union Station in Washington,,Train Concourse 40 Massachusetts Avenue NW,,Washington,District of Columbia,20002,United States,202.408.1001,,,,,,
Crumbs Bake Shop - Stamford,,1067 High Ridge Rd,,Stamford,Connecticut,06905,United States,203 322 8100,,,,,,
Crumbs Bake Shop - Westport,,40-44 Post Rd East,,Westport,Connecticut,06880,United States,203-226-1000,,,,,,
Crumbs Bake Shop - 17th Street in Washington,,888 17th St. NW,,Washington,District of Columbia,20006,United States,202.223.3030,,,,,,
Crumbs Bake Shop - New Canaan,,89 Elm St,,New Canaan,Connecticut,06840,United States,203-966-6100,,,,,,
Crumbs Bake Shop - East End in Washington,,604 11th Street NW (F Street),,Washington,District of Columbia,20001,United States,202.737.4001,,,,,,
Crumbs Bake Shop - Clarendon in Arlington,,2839 Clarendon Blvd Market Common,,Arlington,Virginia,22201,United States,703.524.4001,,,,,,
Crumbs Bake Shop - Wall Street in New York,,87 Beaver St (Pearl/Hanover),,New York,New York,10005,United States,212 480 7500,,,,,,
Crumbs Bake Shop - 92nd Street in New York City,,2476 Broadway (92nd St),,New York City,New York,10025,United States,212.362.9700,,,,,,
Crumbs Bake Shop - Upper West Side in New York,,350 Amsterdam Ave (76th),,New York,New York,10024,United States,212 712 9800,,,,,,
Crumbs Bake Shop - 6th Avenue in New York City,,655 6th Avenue (20/21),,New York City,New York,10011,United States,212.243.6300,,,,,,
Crumbs Bake Shop - Woodbury Long Island,,8285 Jericho Turnpike,,Woodbury,New York,11797,United States,516-224-4542,,,,,,
Crumbs Bake Shop - Union Square in New York,,124 University Place (W.13th),,New York,New York,10003,United States,212 206 8011,,,,,,
Crumbs Bake Shop - Upper East Side in New York,,1379 Third Ave (78th),,New York,New York,10075,United States,212 794 9800,,,,,,
Crumbs Bake Shop - Times Square in New York,,261 West 42nd Street,,New York,New York,10036,United States,212.938.0400,,,,,,
Crumbs Bake Shop - Third Ave in New York,,880 Third Ave (53rd),,New York,New York,10022,United States,212-355-6500,,,,,,
Crumbs Bake Shop - The Village in New York,,37 East 8th St (University/Broadway),,New York,New York,10003,United States,212 673 1500,,,,,,
Crumbs Bake Shop - Madison Ave in New York,,501 Madison Ave (52nd),,New York,New York,10022,United States,212 750 0515,,,,,,
Crumbs Bake Shop - Lexington Ave in New York,,1418 Lexington Ave (93rd),,New York,New York,10128,United States,212 360 7200,,,,,,
Crumbs Bake Shop - Park Avenue in New York,,2 Park Avenue (32/33rd),,New York,New York,10016,United States,212.696.9300,,,,,,
Crumbs Bake Shop - Grand Central in New York,,420 Lexington Avenue (43/44th),,New York,New York,10170,United States,212-297-0500,,,,,,
Crumbs Bake Shop - PARK SOUTH in NEW YORK,,254 PARK AVENUE SOUTH,,NEW YORK,New York,10010,United States,212.995.1400,,,,,,
Crumbs Bake Shop - Garment Center in New York,,1385 Broadway (37/38th),,New York,New York,10018,United States,212-764-7100,,,,,,
Crumbs Bake Shop - Columbus Avenue in New York,,775 Columbus Avenue,,New York,New York,10025,United States,212.663.5300,,,,,,
Crumbs Bake Shop - Columbia in New York,,2814 Broadway (109th St),,New York,New York,10025,United States,212.865.4500,,,,,,
Crumbs Bake Shop - Bryant Park in New York,,43 West 42nd St (5/6th Ave),,New York,New York,10036,United States,212 221 1500,,,,,,
Crumbs Bake Shop - Broadway in New York,,1675 Broadway (53rd),,New York,New York,10019,United States,212-399-3100,,,,,,
Crumbs Bake Shop - Greenvale Long Island,,5 Glen Cove Road,,Greenvale,New York,11548,United States,(516) 629-5831,,,,,,
Crumbs Bake Shop - Broad Street in New York,,40 Broad Street,,New York,New York,10004,United States,212.344.4600,,,,,,
