store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Global Self Storage,,1713 Old Trolley Rd,,Summerville,SC,29485,United States,(843) 900-4820,,,"Monday-Tuesday 9:00 am - 6:00 pm, Thursday-Saturday 9:00 am - 6:00 pm, Closed Wednesday, Sunday",,,
Global Self Storage,,14900 Woodlawn Ave,,Dolton,IL,60419,United States,(708) 487-4172,,,"Monday-Friday 9:00 am - 5:30 pm, Closed Saturday & Sunday",,,
Global Self Storage,,1910 W Robb Ave,,Lima,OH,45805,United States,(419) 516-0344,,,"Mon-Sat 8:30 am - 5:30 pm, Closed Sunday",,,
Global Self Storage,,296 N Weber Rd,,Bolingbrook,IL,60440,United States,(630) 410-9917,,,"Monday-Friday 9:00 am - 5:30 pm, Closed Saturday & Sunday",,,
Global Self Storage,,6590 Broadway,,Merrillville,IN,46410,United States,(219) 525-1931,,,"Monday-Friday 9:00 am - 5:30 pm, Closed Saturday & Sunday",,,
Global Self Storage,,2255 Buffalo Road,,Rochester,NY,14624,United States,(602) 842-6728,,,"Monday-Friday 9:30 am - 6:00 pm, Saturday 8:00 am - 4:30 pm, Closed Sunday",,,
Global Self Storage,,21 Aim Boulevard,,Sadsburyville,PA,19369,United States,(484) 712-2121,,,"Monday-Thursday 9:00 am - 5:30 pm, Friday 9:00 am - 5:00 pm, Saturday 9:00 am - 3:00 pm, Closed Sunday",,,
Global Self Storage,,3814 Route 44,,Millbrook,NY,12545,United States,(845) 605-2858,,,"Mon - Fri: 8:00AM-4:00PM, Sat & Sun: By Appointment",,,
Global Self Storage,,13942 E 96th St,,McCordsville,IN,46055,United States,(317) 597-0765,,,"Monday - Friday 9-5:30, Saturday 9-5, Closed Sunday",,,
Global Self Storage,,900 N Gum Street,,Summerville,SC,29483,United States,(843) 900-0551,,,"Sun & Mon: Closed, Tues, Wed & Fri: 9AM-6PM, Thurs & Sat: By Appointment",,,
Global Self Storage,,6 Heritage Park Rd,,Clinton,CT,06413,United States,(860) 552-6894,,,"Mon - Fri: 10:00AM - 2:00PM, Sat & Sun: By Appointment",,,
