store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Hortons Home Lighting,,1617 North Clybourn Ave ,,Chicago ,IL,60614,United States,,41.9115,-87.65,,,,
Hortons Home Lighting,,60 South La Grange Road ,,La Grange ,IL,60525,United States,,41.8133,-87.8701,,,,
Hortons Home Lighting,,15846 South Wolfe Road ,,Orland Park ,IL,60467,United States,,41.6015,-87.8923,,,,
Littman Bros,,845 S Roselle Road ,,Schaumburg ,IL,60193,United States,,42.0116,-88.0796,,,,
Lightopia,,2001 N Sepulveda Boulevard ,,Manhattan Beach ,CA,90266,United States,,33.8928,-118.396,,,,
Win Supply Co  West Covina,,3120 East Garvey Avenue South ,,West Covina ,CA,91791,United States,,34.0712,-117.878,,,,
"Lighting, Inc. (Plumbing & Hardware)",,4025 Richmond Avenue ,,Houston ,TX,77027,United States,,29.7322,-95.443,,,,
"Lighting, Inc.",,4218 Richmond Avenue ,,Houston ,TX,77027,United States,,29.733,-95.4462,,,,
M & M Lighting,,5620 S Rice Avenue ,,Houston ,TX,77081,United States,,29.7205,-95.4688,,,,
Carol's Lighting & Fan Shop,,1710 Humble Place Dr. ,,Humble ,TX,77338,United States,,29.9953,-95.2497,,,,
Carol's Lighting & Fan Shop,,27132 I-45 North Freeway ,,Woodlands ,TX,77385,United States,,30.1624,-95.4501,,,,
"Manhattan Lights, Inc.",,1941 Coney Island Avenue ,,Brooklyn ,NY,11223,United States,,40.6099,-73.9621,,,,
Manhattan Electrical Supply,,1104 Avenue P ,,Brooklyn ,NY,11229,United States,,40.6098,-73.9621,,,,
Manhattan Electrical Supply,,1002 Castleton Avenue ,,Staten Island ,NY,10310,United States,,40.6344,-74.1158,,,,
Linden Electrical Wholesalers,,725 Saint George Avenue ,,Roselle ,NJ,07203,United States,,40.6445,-74.2559,,,,
Capitol Lighting  Paramus,,75 Route 17 ,,Paramus ,NJ,07652,United States,,40.9262,-74.0719,,,,
Cutting Edge Interiors,,1233 West St. Georges Avenue ,,Linden ,NJ,07036,United States,,40.6257,-74.2745,,,,
Illuminations,,251 Sunrise Highway ,,Rockville Centre ,NY,11570,United States,,40.6577,-73.6455,,,,
Capitol Lighting  East Hanover,,365 Route 10 East ,,Hanover ,NJ,07936,United States,,40.8028,-74.3638,,,,
Greenvale Electric Supply,,385 Glen Cove Road ,,Greenvale ,NY,11548,United States,,40.7932,-73.6214,,,,
Krell Lighting,,208 Hawthorne Avenue ,,Park Ridge ,NJ,07656,United States,,41.0375,-74.0324,,,,
Capitol Lighting  Green Brook,,159 Route 22 East ,,Green Brook ,NJ,08812,United States,,40.6024,-74.4771,,,,
Billows Electric,,1900 Washington Avenue Units B & C ,,Philadelphia ,PA,19147,United States,,39.9351,-75.1516,,,,
Billows Electric,,3929 G Street ,,Philadelphia ,PA,19124,United States,,40.0085,-75.1129,,,,
Billows Electric,,506 White Horse Pike ,,Haddon Heights ,NJ,08035,United States,,39.8777,-75.0516,,,,
Billows Electric,,465 Kedron Avenue ,,Folsom ,PA,19033,United States,,39.898,-75.3168,,,,
Billows Electric,,2814 Route 73 N ,,Maple Shade ,NJ,08052,United States,,39.9389,-74.971,,,,
