store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Dupond et Dupont,,1297 Canora Rd. ,,Mont-Royal,Quebec,H3P 2J4,Canada,(514) 739-9998,,,"Monday 6:30 to 19:00, Tuesday 6:30 to 19:00, Wednesday 6:30 to 19:00, Thursday 6:30 to 19:00, Friday 6:30 to 19:00, Saturday 6:30 to 19:00, Sunday 6:30 to 19:00",,,
Plateau Mont-Royal,,860 Avenue du Mont-Royal Est,,Montréal,,QC H2J,Canada,(514) 523-2751,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 19:00, Sunday 7:00 to 19:00",,,
Atwater Market,,3025 St-Ambroise St. ,,Montreal,Quebec,H4C 2C2,Canada,(514) 932-0328,,,"Monday 6:00 to 18:00, Tuesday 6:00 to 18:00, Wednesday 6:00 to 18:00, Thursday 6:00 to 19:00, Friday 6:00 to 20:00, Saturday 6:00 to 17:00, Sunday 6:00 to 17:00",,,
Repentigny,,150 Louvain St. ,,Repentigny,Quebec,J6A 8J7,Canada,(450) 585-3022,,,"Monday 8:00 to 22:00, Tuesday 8:00 to 22:00, Wednesday 8:00 to 22:00, Thursday 8:00 to 22:00, Friday 8:00 to 22:00, Saturday 8:00 to 22:00, Sunday 8:00 to 22:00",,,
Taschereau,,350 Rue Lawrence,,Greenfield Park,Quebec,J4V,Canada,(450) 766-0863,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 19:00, Friday 7:00 to 20:00, Saturday 7:00 to 19:00, Sunday 7:00 to 18:00",,,
University of Ottawa,,120 University,,Ottawa,Ontario,K1N 6N5,Canada,(613) 562-5800,,,"Monday 9:00 to 16:30, Tuesday 9:00 to 16:30, Wednesday 9:00 to 16:30, Thursday 9:00 to 16:30, Friday 9:00 to 16:30, Saturday Close, Sunday Close",,,
Ville St-Laurent - Bois-Franc,,5560 boulevard Henri-Bourassa Ouest,,Saint-Laurent,QC,H4R 0M6,Canada,(514) 336-2377,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Côte-des-Neiges,,5199 Côte-des-Neiges ,,Montréal,Quebec,H3T 1Y1,Canada,(514) 731-3322,,,"Monday 6:30 to 20:00, Tuesday 6:30 to 20:00, Wednesday 6:30 to 20:00, Thursday 6:30 to 20:00, Friday 6:30 to 20:00, Saturday 6:30 to 20:00, Sunday 6:30 to 20:00",,,
Vaudreuil-Dorion,,189 Boulevard Harwood,,Vaudreuil-Dorion,QC,J7V 1Y3,Canada,(450) 455-2827,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 19:00, Friday 7:00 to 20:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Outremont,,1271 Bernard Ave.,,Outremont,Quebec,H2V 1V8,Canada,(514) 270-2559,,,"Monday 7:00 to 19:30, Tuesday 7:00 to 19:30, Wednesday 7:00 to 19:30, Thursday 7:00 to 20:00, Friday 7:00 to 21:00, Saturday 7:00 to 19:30, Sunday 7:00 to 19:30",,,
New Residence Hall,,333 Prince-Arthur W. St ,,Montreal,Quebec,H2X 3P8,Canada,(514) 398-3397,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Monkland - Notre-Dame-de-Grâce,,5500 Monkland Av. ,,Montreal,Quebec,H4A 1C7,Canada,(514) 484-5500,,,"Monday 7:00 to 20:00, Tuesday 7:00 to 20:00, Wednesday 7:00 to 20:00, Thursday 7:00 to 20:00, Friday 7:00 to 20:00, Saturday 7:00 to 20:00, Sunday 7:00 to 18:00",,,
Maisonneuve Market,,4445 Ontario St. East ,,Montreal,Quebec,H1V 3V3,Canada,(514) 259-5929,,,"Monday 7:00 to 18:00, Tuesday 7:00 to 18:00, Wednesday 7:00 to 18:00, Thursday 7:00 to 20:00, Friday 7:00 to 20:00, Saturday 7:00 to 18:00, Sunday 7:00 to 17:00",,,
L'Assomption,,Montée St-Sulpice ,,L'Assomption,Québec,J5W 0M6,Canada,(450) 589-2906,,,"Monday 8:00 to 20:00, Tuesday 8:00 to 20:00, Wednesday 8:00 to 20:00, Thursday 8:00 to 21:00, Friday 8:00 to 21:00, Saturday 8:00 to 20:00, Sunday 8:00 to 20:00",,,
Marché de l'Ouest - Dollard-des-Ormeaux,,11678 De Salaberry blvd  ,,Dollard-des-Ormeaux,Quebec,H9B 2R8,Canada,(514) 685-0380,,,"Monday 7:30 to 18:00, Tuesday 7:30 to 18:00, Wednesday 7:30 to 18:00, Thursday 7:30 to 20:00, Friday 7:30 to 20:00, Saturday 7:30 to 18:00, Sunday 7:30 to 18:00",,,
Kirkland,,3565 Saint-Charles,,Kirkland Montréal,Quebec,H9H 3C4,Canada,(514) 426-0024,,,"Monday 7:30 to 19:00, Tuesday 7:30 to 19:00, Wednesday 7:30 to 19:00, Thursday 7:30 to 20:00, Friday 7:30 to 20:00, Saturday 7:30 to 18:00, Sunday 7:30 to 18:00",,,
Jean-Talon Market,,7075 Casgrain Ave. ,,Montreal,Quebec,H2S 3A3,Canada,(514) 270-3701,,,"Monday 6:00 to 18:30, Tuesday 6:00 to 18:30, Wednesday 6:00 to 18:30, Thursday 6:00 to 19:30, Friday 6:00 to 20:00, Saturday 6:00 to 18:00, Sunday 6:00 to 17:30",,,
Lebourgneuf - Québec,,625 Boulevard Lebourgneuf,,Ville de Québec,QC,G2J 1C3,Canada,(418) 623-9161,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Manufacturing workshop Baie d'Urfé,,19301 Avenue Clark Graham,,Baie d'Urfé,QC,H9X 3P5,Canada,(514) 787-1252,,,"Monday 8:30 to 16:30, Tuesday 8:30 to 16:30, Wednesday 8:30 to 16:30, Thursday 8:30 to 16:30, Friday 8:30 to 16:30, Saturday Close, Sunday Close",,,
Fruiterie Citron que c’est bon!,,790 Montée Masson ,,Mascouche,QC,J7K 3B6,Canada,(450) 474-2911,,,"Monday 8:00 to 21:00, Tuesday 8:00 to 21:00, Wednesday 8:00 to 21:00, Thursday 8:00 to 21:00, Friday 8:00 to 21:00, Saturday 8:00 to 18:00, Sunday 8:00 to 18:00",,,
Central Station,,895 De la Gauchetière St. West  ,,Montreal,Quebec,H3B 4G1,Canada,(514) 393-1247,,,"Monday 6:30 to 19:00, Tuesday 6:30 to 19:00, Wednesday 6:30 to 19:00, Thursday 6:30 to 19:00, Friday 6:30 to 19:00, Saturday 9:00 to 17:00, Sunday 0:00 to 0:00",,,
Redpath Library (McGill University),,3459 McTavish,,Montreal,Quebec,H3A 0C9,Canada,(514) 398-6834,,,"Monday 8:00 to 21:00, Tuesday 8:00 to 21:00, Wednesday 8:00 to 21:00, Thursday 8:00 to 21:00, Friday 8:00 to 18:00, Saturday 10:00 to 18:00, Sunday 10:00 to 18:00",,,
DIX30,,7200 Boulevard du Quartier #25,,Brossard,Québec,J4Y 0B5,Canada,(450) 676-7500,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 16:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Head office & manufacturing workshop in Dorion,,189 Boulevard Harwood,,Vaudreuil-Dorion,QC,J7V 1Y3,Canada,(450) 455-2827,,,"Monday 8:00 to 16:30, Tuesday 8:00 to 16:30, Wednesday 8:00 to 16:30, Thursday 8:00 to 16:30, Friday 8:00 to 16:30, Saturday Close, Sunday Close",,,
Terrebonne,,2021 Gascon Rd.,,Terrebonne,Quebec,J6X 4H2,Canada,(450) 964-9333,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 21:00, Friday 7:00 to 21:00, Saturday 7:00 to 18:00, Sunday 7:00 to 18:00",,,
Laval,,2888 Du Cosmodôme Ave. ,,Laval,Quebec,H7T 2X1,Canada,(450) 682-1800,,,"Monday 8:00 to 19:00, Tuesday 8:00 to 19:00, Wednesday 8:00 to 19:00, Thursday 8:00 to 21:00, Friday 8:00 to 21:00, Saturday 8:00 to 19:00, Sunday 8:00 to 19:00",,,
Masson - Rosemont,,3001 Masson St. ,,Montreal,Quebec,H1Y 1X7,Canada,(514) 374-7010,,,"Monday 6:30 to 19:00, Tuesday 6:30 to 19:00, Wednesday 6:30 to 19:00, Thursday 6:30 to 21:00, Friday 6:30 to 21:00, Saturday 6:30 to 19:00, Sunday 6:30 to 19:00",,,
Longueuil,,2479 De Chambly Rd. ,,Longueuil,Quebec,J4L 1M2,Canada,(450) 468-4406,,,"Monday 7:00 to 19:00, Tuesday 7:00 to 19:00, Wednesday 7:00 to 19:00, Thursday 7:00 to 19:00, Friday 7:00 to 19:00, Saturday 7:00 to 19:00, Sunday 7:00 to 18:00",,,
