store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Philadelphia - Juniata Storage Units,,830 E. Hunting Park Ave. ,,Philadelphia ,PA,19124,United States,215-825-8536,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Germantown Storage Units,,6224 Germantown Ave. ,,Philadelphia ,PA,19144,United States,215-825-8539,,,"M-F 9:00am - 7:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Tacony Storage Units,,6371 Keystone Street ,,Philadelphia ,PA,19135,United States,215-825-8527,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Mountainside Storage Units,,1096 US Highway 22 ,,Mountainside ,NJ,07092,United States,908-264-4045,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Oak Lane Storage Units,,1499 66th Avenue ,,Philadelphia ,PA,19126,United States,215-825-8573,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Temple Storage Units,,1221 N. Broad Street ,,Philadelphia ,PA,19122,United States,215-825-8572,,,"M-F9:00am - 7:00pm, Sat8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Frankford Storage Units,,3300 Frankford Avenue ,,Philadelphia ,PA,19134,United States,267-440-0074,,,"M-F 9:00am - 7:00pm, Sat 8:30am - 5:30pm, Sun10:00am - 5:00pm",,,
Holmdel Storage Units,,2152 Route 35 ,,Holmdel ,NJ,07733,United States,732-474-7618,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Philadelphia - Fox Chase Storage Units,,1333 Rhawn Street ,,Philadelphia ,PA,19111,United States,215-825-8524,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Garfield Storage Units,,182 Belmont Avenue ,,Garfield ,NJ,07026,United States,973-883-9008,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Elizabeth Storage Units,,140 Spring Street (Rt. 1 & 9) ,,Elizabeth ,NJ,07201,United States,908-264-4022,,,"M-F  9:00am - 7:00pm, Sat   8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Metairie - N. Causeway Boulevard Storage Units,,3301 N. Causeway Boulevard ,,Metairie ,LA,70002,United States,504-322-4537,,,"M-F  9:00am \u2013 6:00pm, Sat   8:30am \u2013 5:30pm, Sun 10:00am \u2013 5:00pm",,,
Westchester - Thornwood Storage Units,,950 Broadway ,,Thornwood ,NY,10594,United States,914-885-9255,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Miami - West Miami Storage Units,,7691 NW 12th Street ,,Miami ,FL,33126,United States,305-434-7155,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Palatine Storage Units,,1136 E. NW Highway ,,Palatine ,IL,60074,United States,847-499-8194,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Metairie - Kenner Storage Units,,6400 Riverside Drive ,,Metairie ,LA,70003,United States,504-655-9197,,,"M-F 9:00am - 6:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
Westchester - Yonkers Storage Units,,188 S. Broadway ,,Yonkers ,NY,10705,United States,914-885-9243,,,"M-F 9:00am - 7:00pm, Sat 8:30am - 5:30pm, Sun 10:00am - 5:00pm",,,
