store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1551 West Algonquin Road,,Mount Prospect,IL,60056,United States,847-981-0770,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,5 Old Lancaster Road,,Malvern,PA,19355,United States,610-644-1634,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 8:00 AM-9:00 PM",,,
,,16939 Nacogdoches Road,,San Antonio,TX,78266,United States,210-651-3721,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,7950 Bandera Road,,San Antonio,TX,78250,United States,210-543-8383,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,838 North Loop 1604 East,,San Antonio,TX,78232,United States,210-494-2233,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,198 West Artesia Boulevard,,Long Beach,CA,90805,United States,562-423-0973,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,11303 West Loop 1604 North,,San Antonio,TX,78254,United States,210-372-1404,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,900 West Round Grove Road,,Lewisville,TX,75067,United States,972-315-7805,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,707 Enterprise Drive,,Lewis Center,OH,43035,United States,614-786-1995,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,143 West 61st Street,,Westmont,IL,60559,United States,630-960-2700,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,1245 South Highland Avenue,,Lombard,IL,60148,United States,630-620-7471,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,1750 Busse Road,,Elk Grove Village,IL,60007,United States,847-228-9191,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
,,1019 West Dallas Street,,Houston,TX,77019,United States,713-659-0400,,,"Office Hours Monday-Friday: 9:30 AM-6:00 PM, Saturday: 8:30 AM-5:00 PM, Sunday: 11:00 AM-3:00 PM, Storage Gate Hours Monday-Sunday: 6:00 AM-10:00 PM",,,
