store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Universal Self Storage,,28099 Greenspot Road ,,Highland ,CA,92346,United States,(909) 572-0050,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday Closed Access Hours: Monday 6:00AM -7:00PM Tuesday 6:00AM -7:00PM Wednesday 6:00AM -7:00PM Thursday 6:00AM -7:00PM Friday 6:00AM -7:00PM Saturday 6:00AM -7:00PM Sunday 6:00AM -7:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/highland-ca-storage-units/28099-Greenspot-Road
StorAmerica Self Storage,,12336 Carson St ,,Hawaiian Gardens ,CA,90716,United States,(562) 340-7979,,,"Office Hours: Monday 9:00AM - 6:00PM Tuesday 9:00AM - 6:00PM Wednesday 9:00AM - 6:00PM Thursday 9:00AM - 6:00PM Friday 9:00AM - 6:00PM Saturday 9:00AM - 6:00PM Sunday 9:00AM - 6:00PM Access Hours: Monday 7:00AM - 7:00PM Tuesday 7:00AM - 7:00PM Wednesday 7:00AM - 7:00PM Thursday 7:00AM - 7:00PM Friday 7:00AM - 7:00PM Saturday 7:00AM - 7:00PM Sunday 7:00AM - 7:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/hawaiian-gardens-ca-storage-units/12336-Carson-St
Universal Self Storage,,25980 Barton Road ,,Loma Linda ,CA,92354,United States,(909) 570-0025,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday 9:00AM -6:00PM Access Hours: Monday 6:00AM -7:00PM Tuesday 6:00AM -7:00PM Wednesday 6:00AM -7:00PM Thursday 6:00AM -7:00PM Friday 6:00AM -7:00PM Saturday 6:00AM -7:00PM Sunday 6:00AM -7:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/loma-linda-ca-storage-units/25980-Barton-Road
Crown Valley Self Storage,,27680 Center Drive ,,Mission Viejo ,CA,92692,United States,(949) 682-9951,,,"Office Hours: Monday 9:00AM - 6:00PM Tuesday 9:00AM - 6:00PM Wednesday 9:00AM - 6:00PM Thursday 9:00AM - 6:00PM Friday 9:00AM - 6:00PM Saturday 9:00AM - 6:00PM Sunday Closed Access Hours: Monday 7:00AM - 7:00PM Tuesday 7:00AM - 7:00PM Wednesday 7:00AM - 7:00PM Thursday 7:00AM - 7:00PM Friday 7:00AM - 7:00PM Saturday 7:00AM - 7:00PM Sunday 7:00AM - 7:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/mission-viejo-ca-storage-units/27680-Center-Drive
Mentone Self Storage,,2055 Mentone Blvd. ,,Mentone ,CA,92359,United States,(909) 351-3100,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday Closed Access Hours: Monday 7:00AM -5:45PM Tuesday 7:00AM -5:45PM Wednesday 7:00AM -5:45PM Thursday 7:00AM -5:45PM Friday 7:00AM -5:45PM Saturday 7:00AM -5:45PM Sunday 7:00AM -5:45PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/mentone-ca-storage-units/2055-Mentone-Blvd.
StorAmerica Self Storage,,2250 Central Ave ,,Duarte ,CA,91010,United States,(626) 385-7915,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday Closed Access Hours: Monday 6:00AM -9:00PM Tuesday 6:00AM -9:00PM Wednesday 6:00AM -9:00PM Thursday 6:00AM -9:00PM Friday 6:00AM -9:00PM Saturday 6:00AM -9:00PM Sunday 6:00AM -9:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/duarte-ca-storage-units/2250-Central-Ave
Seacliff Self Storage,,18100 Kovac Lane. ,,Huntington Beach ,CA,92648,United States,(714) 489-5889,,,"Office Hours: Monday 7:00AM - 8:00PM Tuesday 7:00AM - 8:00PM Wednesday 7:00AM - 8:00PM Thursday 7:00AM - 8:00PM Friday 7:00AM - 8:00PM Saturday 7:00AM - 8:00PM Sunday 9:00AM - 6:00PM Access Hours: Monday 7:00AM - 7:45PM Tuesday 7:00AM - 7:45PM Wednesday 7:00AM - 7:45PM Thursday 7:00AM - 7:45PM Friday 7:00AM - 7:45PM Saturday 7:00AM - 7:45PM Sunday 9:00AM - 5:45PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/huntington-beach-ca-storage-units/18100-Kovac-Lane.
Costa Mesa Self Storage,,3180 Red Hill Ave ,,Costa Mesa ,CA,92626,United States,(714) 489-5895,,,"Office Hours: Monday 9:00AM - 6:00PM Tuesday 9:00AM - 6:00PM Wednesday 9:00AM - 6:00PM Thursday 9:00AM - 6:00PM Friday 9:00AM - 6:00PM Saturday 9:00AM - 6:00PM Sunday Closed Access Hours: Monday 6:00AM - 7:45PM Tuesday 6:00AM - 7:45PM Wednesday 6:00AM - 7:45PM Thursday 6:00AM - 7:45PM Friday 6:00AM - 7:45PM Saturday 6:00AM - 7:45PM Sunday 6:00AM - 7:45PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/costa-mesa-ca-storage-units/3180-Red-Hill-Ave
StorAmerica Self Storage,,3830 N Santa Anita Ave ,,El Monte ,CA,91731,United States,(626) 872-5988,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday Closed Access Hours: Monday 7:30AM -7:00PM Tuesday 7:30AM -7:00PM Wednesday 7:30AM -7:00PM Thursday 7:30AM -7:00PM Friday 7:30AM -7:00PM Saturday 7:30AM -7:00PM Sunday 7:30AM -7:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/el-monte-ca-storage-units/3830-N-Santa-Anita-Ave
A-1 Self Storage,,4918 W. First St. ,,Santa Ana ,CA,92703,United States,(714) 278-4643,,,"Office Hours: Monday 9:00AM -6:00PM Tuesday 9:00AM -6:00PM Wednesday 9:00AM -6:00PM Thursday 9:00AM -6:00PM Friday 9:00AM -6:00PM Saturday 9:00AM -6:00PM Sunday Closed Access Hours: Monday 5:00AM -8:00PM Tuesday 5:00AM -8:00PM Wednesday 5:00AM -8:00PM Thursday 5:00AM -8:00PM Friday 5:00AM -8:00PM Saturday 5:00AM -8:00PM Sunday 5:00AM -8:00PM Additional Hours: Our offices and gate access will be closed on Monday, May 29th in observance of Memorial Day",,,https://www.castorage.com/self-storage-locations/california/santa-ana-ca-storage-units/4918-W.-First-St.
