store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
CHELSEA,154,110 7th Avenue,Chelsea,New York,NY,10011,US,(212) 633-2203,40.740343,-73.998768,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 11:00 AM - 6:00 PM",Standard,,
SHOPS AT COLUMBUS CIRCLE,3,10 Columbus Circle,Suite 114,New York,NY,10019,US,(212) 581-1146,40.76876,-73.983205,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 11:00 AM - 8:00 PM",Standard,,
MADISON AVE,65,1175 Madison Avenue,86th And Madison,New York,NY,10028,US,(212) 289-6832,40.781078,-73.95842,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 7:00 PM, Wednesday 10:00 AM - 7:00 PM, Thursday 10:00 AM - 7:00 PM, Friday 10:00 AM - 7:00 PM, Saturday 10:00 AM - 7:00 PM, Sunday 11:00 AM - 6:00 PM",Standard,,
HACKENSACK,72,225 Riverside Square,,Hackensack,NJ,07601,US,(201) 488-3440,40.907443,-74.032371,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday Closed",Standard,,
UPPER MONTCLAIR,480,630 Valley Rd,,Upper Montclair,NJ,07043,US,(973) 783-1799,40.842366,-74.208374,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 11:00 AM - 5:00 PM",Standard,,
WESTFIELD,312,127 Central Avenue,,Westfield,NJ,07090,US,(908) 301-0075,40.651854,-74.346801,"Monday 10:00 AM - 7:00 PM, Tuesday 10:00 AM - 7:00 PM, Wednesday 10:00 AM - 7:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 7:00 PM, Saturday 10:00 AM - 7:00 PM, Sunday 11:00 AM - 5:00 PM",Standard,,
MALL AT SHORT HILLS,815,1200 Morris Turnpike,B-258,Short Hills,NJ,07078,US,(973) 467-3641,40.739637,-74.365637,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday Closed",Standard,,
ROOSEVELT FIELD,223,Roosevelt Field Shopping Ctr,Space 1033,Garden City,NY,11530,US,(516) 742-0342,40.738063,-73.612808,"Monday 10:00 AM - 9:30 PM, Tuesday 10:00 AM - 9:30 PM, Wednesday 10:00 AM - 9:30 PM, Thursday 10:00 AM - 9:30 PM, Friday 10:00 AM - 9:30 PM, Saturday 10:00 AM - 9:30 PM, Sunday 11:00 AM - 7:00 PM",Standard,,
TICES CORNER,454,395 Chestnut Ridge Road,Space #3,Woodcliff Lake,NJ,07677,US,(201) 307-8762,41.040396,-74.075746,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday Closed",Standard,,
THE WESTCHESTER,976,125 Westchester Avenue,Space 1070A,White Plains,NY,10601,US,(914) 644-8360,41.031515,-73.75855,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday 10:00 AM - 8:00 PM, Saturday 10:00 AM - 8:00 PM, Sunday 11:00 AM - 6:00 PM",Standard,,
GROVE AT SHREWSBURY,805,579 Route 35,Space N17,Shrewbury,NJ,07702,US,(732) 747-0128,40.332532,-74.060983,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 6:00 PM, Sunday 12:00 PM - 5:00 PM",Standard,,
WALT WHITMAN,332,160-5 Route 110,Space 1013,Huntington Station,NY,11746,US,(631) 549-4699,40.825986,-73.411995,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 6:00 PM, Sunday 11:00 AM - 7:00 PM",Standard,,
BRIDGEWATER COMMONS,804,400 Commons Way,Ste 147,Bridgewater,NJ,08807,US,(908) 707-9222,40.585841,-74.619495,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 10:00 AM - 6:00 PM",Standard,,
