store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Flamingo Airport,,Plaza Medardo S.v. Thielman Z/n,,Kralendijk,,,Bonaire,(599) 717-5795,12.133278,-68.276864,"Sun 5:00 AM - 11:00 PM,  Mon - Fri 7:00 AM - 11:00 PM,  Sat 7:00 AM - 10:00 PM",,,
Maun Airport,,,,Maun,,,Botswana,(267) 6860039,-19.975582,23.428186,"Sun 12:00 PM - 6:00 PM,  Mon - Fri 8:00 AM - 1:00 PM and 2:00 PM - 5:00 PM,  Sat 8:00 AM - 2:00 PM",,,
Tuzla Airport,,Dubrave Gornje,,Tuzla,,75273,Bosnia,+387 62 803800,44.458611,18.723722,Sun - Sat 8:00 AM - 8:00 PM,,,
Sarajevo Airport,,Butmir,,Sarajevo,,71000,Bosnia,(387) 33-469933,43.825822,18.336567,Sun - Sat 8:00 AM - 9:00 PM,,,
Banja Luka Airport,,Mahovljani,,Banja Luka,,78250,Bosnia,387 51 388 258,44.941389,17.2975,,,,
Sarajevo Dt,,Dzemala Bijedica 185,,Sarajevo,,71000,Bosnia,387 61 224426,43.843256,18.336096,,,,
Banja Luka Dtn,,Krajiskog Korpusa 88,,Banja Luka,,78000,Bosnia,387 51 388 258,44.7785193,17.1956333,,,,
Regina Airport Counter,,4850 Buffalo Trail,,Regina,SK,S4W 1A2,Canada,(1) 306-751-5460,50.433359,-104.65579,"Sun 9:00 AM - 1:30 AM,  Mon - Fri 8:00 AM - 1:30 AM,  Sat 9:00 AM - 1:30 AM",,,
Regina Downtown,,1450 First Avenue,,Regina,SK,S4R 8G5,Canada,(1) 306-757-1653,50.4675032,-104.6010238,Mon - Fri 7:30 AM - 4:30 PM,,,
Gabarone Airport,,,,Gaborone,,,Botswana,(267) 3913093,-24.557428,25.924065,"Sun 7:00 AM - 8:30 PM,  Mon - Fri 6:30 AM - 8:30 PM,  Sat 7:00 AM - 8:30 PM",,,
John G Diefenbaker Airport,,2625 Airport Drive,,Saskatoon,SK,S7L 7L1,Canada,(1) 306-652-3434,52.170052,-106.689789,"Sun 7:30 AM - 12:00 AM,  Mon - Fri 7:00 AM - 12:00 AM,  Sat 7:30 AM - 12:00 AM",,,
Avis - Saskatoon Sk,,602 1st Ave N,,Saskatoon,SK,S7K 1X7,Canada,(1) 306-373-1161,52.168646,-106.683606,Mon - Fri 8:00 AM - 5:00 PM,,,
Leuven Heverlee,,Geldenaaksebaan 484,,Leuven Heverlee,,3001,Belgium,(32) 16-250055,50.845101,4.726134,"Mon - Fri 8:00 AM - 12:00 PM and 1:00 PM - 5:00 PM,  Sat 9:00 AM - 12:00 PM",,,
Kasane,,Kasane Airport,,Kasane,,,Botswana,(267) 6250144,-17.79587,25.153601,Mon - Fri 8:00 AM - 1:00 PM and 2:00 PM - 5:00 PM,,,
Victoria Falls Airport,,,,Victoria Falls,,,Zimbabwe,263 9 296918,-18.096102,25.850181,Sun - Sat 7:30 AM - 5:00 PM,,,
Brussels Railway Station,,Gare Du Midi,,Brussels,,1060,Belgium,(32) 2 5271705,50.835893,4.335694,"Sun 5:00 PM - 9:00 PM,  Mon - Fri 7:30 AM - 10:00 PM,  Sat 8:00 AM - 1:00 PM",,,
