store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1105 S. Il Route 31,,Crystal Lake,IL,60014,US,815-356-3100,42.211557,-88.286548,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:30, Sun: closed-closed",,,
,,10604 Illinois 47,,Huntley,IL,60142,US,847-669-5151,42.1753696,-88.4272674,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:30, Sun: closed-closed",,,
,,5545 Northwest Highway,,Crystal Lake,IL,60014,US,815-455-0202,42.22614532,-88.30418948,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 08:30-17:30, Tue: 08:30-17:30, Wed: 08:30-17:30, Thur: 08:30-17:30, Fri: 08:00-18:00, Sat: 08:30-13:00, Sun: closed-closed",,,
,,761 W. 78Th St.,,Chanhassen,MN,55317,US,952-698-1400,44.86222033,-93.54196129,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 09:00-12:00, Sun: closed-closed",,,
,,5035 Shoreline Road,,Lake Barrington,IL,60010,US,847-756-7940,42.227541,-88.146227,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed",,,
,,17636 Kenwood Trail,,Lakeville,MN,55044,US,952-953-5970,44.69352635,-93.28443431,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 09:00-12:00, Sun: closed-closed",,,
,,860 Northwest Hwy.,,Fox River Grove,IL,60021,US,847-639-5008,42.193463,-88.210345,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed",,,
,,122 W Main St,,Cary,IL,60013,US,847-639-5000,42.208666,-88.241677,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed, Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:30, Sun: closed-closed",,,
,,4100 Durand Ave.,,Racine,WI,53405,US,262-554-1166,42.69686,-87.82845,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 08:30-12:00, Sun: closed-closed",,,
,,5101 Spring St.,,Racine,WI,53406,US,262-886-8040,42.73675958,-87.84118351,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 07:30-17:30, Tue: 07:30-17:30, Wed: 07:30-17:30, Thur: 07:30-17:30, Fri: 07:30-17:30, Sat: 08:30-12:00, Sun: closed-closed",,,
,,1001 Marquette Ave.,,South Milwaukee,WI,53172,US,414-571-2400,42.90784,-87.86085,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 08:30-12:00, Sun: closed-closed",,,
,,21900 Shawnee Mission Pkwy.,,Shawnee,KS,66226,US,913-441-7900,39.00831,-94.83944,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
,,1341 Greenwood Ct.,,Shakopee,MN,55379,US,952-233-8440,44.774612,-93.507374,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 09:00-12:00, Sun: closed-closed",,,
,,6333 Long St.,,Shawnee,KS,66216,US,913-631-9144,39.01389766,-94.73079014,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
,,1 Main St.,,Racine,WI,53403,US,262-638-6200,42.73289,-87.78422,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed, Drive Up: Mon: 08:00-17:00, Tue: 08:00-17:00, Wed: 08:00-17:00, Thur: 08:00-17:00, Fri: 08:00-17:00, Sat: closed-closed, Sun: closed-closed",,,
,,2440 Four Mile Rd.,,Racine,WI,53402,US,262-681-4333,42.78463404,-87.80706717,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:30, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 08:00-17:30, Tue: 08:00-17:30, Wed: 08:00-17:30, Thur: 08:00-17:30, Fri: 08:00-17:30, Sat: 08:30-12:00, Sun: closed-closed",,,
,,105 N Stewart Court,,Liberty,MO,64068,US,816-407-3000,39.24636365,-94.45313908,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed",,,
,,1101 Walnut St.,,Kansas City,MO,64106,US,816-283-8600,39.10108,-94.58201,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed",,,
,,1201 Nw Briarcliff Pkwy.,,Kansas City,MO,64116,US,816-741-4344,39.16854,-94.59587,"Branch Hours: Mon: 90:0-17:00, Tue: 90:0-17:00, Wed: 90:0-17:00, Thur: 90:0-17:00, Fri: 90:0-17:00, Sat: 90:0-12:00, Sun: closed-closed, Drive Up: Mon: 90:0-17:00, Tue: 90:0-17:00, Wed: 90:0-17:00, Thur: 90:0-17:00, Fri: 90:0-17:00, Sat: 90:0-12:00, Sun: closed-closed",,,
,,2955 E. Chandler Heights Rd.,,Chandler,AZ,85249,US,480-802-8640,33.23329,-111.79087,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed",,,
,,11612 E. Shea Blvd.,,Scottsdale,AZ,85259,US,480-314-3520,33.58251939,-111.830447,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: closed-closed, Sun: closed-closed",,,
,,4305 Frederick Blvd,,St Joseph,MO,64508,US,816-236-1800,39.7770557,-94.79080769,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
,,9953 E. Baseline Rd.,,Mesa,AZ,85209,US,480-357-3320,33.37904,-111.6214948,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
,,2740 N. Power Rd.,,Mesa,AZ,85215,US,480-324-5060,33.46568848,-111.6840529,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
,,1990 W. Chandler Blvd.,,Chandler,AZ,85224,US,480-792-6300,33.30606,-111.8762435,"Branch Hours: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed, Drive Up: Mon: 09:00-17:00, Tue: 09:00-17:00, Wed: 09:00-17:00, Thur: 09:00-17:00, Fri: 09:00-17:00, Sat: 09:00-12:00, Sun: closed-closed",,,
