store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Brunswick,,4340 Center Road,,Brunswick,OH,44212,United States,330-225-2131,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Painesville,,123 North St. Clair Street,,Painesville,OH,44077,United States,440-352-0673,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Avon Lake,,32954 Walker Road,,Avon Lake,OH,44012,United States,440-933-6600,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Elyria/Midway Mall,,1875 Midway Mall Boulevard,,Elyria,OH,44035,United States,440-324-2731,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Amherst,,400 North Leavitt Road,,Amherst,OH,44001,United States,440-984-6500,,,"Monday-Friday: 7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Elyria/Downtown,,264 Broad Street,,Elyria,OH,44035,United States,440-322-6364,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Strongsville,,17572 Pearl Road,,Strongsville,OH,44136,United States,440-238-6312,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Solon,,33111 Station Street,,Solon,OH,44139,United States,440-248-7042,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
North Ridgeville,,34043 Center Ridge Road,,North Ridgeville,OH,44039,United States,440-327-5100,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Willoughby,,35101 Euclid Avenue,,Willoughby,OH,44094,United States,440-269-3737,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Avon,,37535 Colorado Avenue,,Avon,OH,44011,United States,440-937-8200,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Vermilion,,4813 Liberty Avenue,,Vermilion,OH,44089,United States,440-967-8751,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Macedonia,,1091 Aurora Road,,Macedonia,OH,44056,United States,330-468-6100,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Richmond Heights,,691 Richmond Road,,Richmond Heights,OH,44143,United States,440-449-4300,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Copley,,580 Ridgewood Crossing,,Akron,OH,44333,United States,330-664-1481,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
Seven Hills,,7821 Broadview Road,,Seven Hills,OH,44131,United States,216-573-9800,,,"Monday-Friday:  7:30 am to 6:00 pm, Saturday: 8:00 am to 5:00 pm, CLOSED ON SUNDAY",,,
