store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
American Lubefast Store,005,901 Market Place Blvd,,Cumming,GA,30041,United States,678.947.3550,34.1805613,-84.1336974,8am-6pm M-F | 8am-5pm Sat | Closed on Sundays for our employees' families,,,0
American Lubefast Store,007,2410 N. Druid Hills Road,,Atlanta,GA,30329,United States,678.947.3550,33.826865,-84.3261185,8am-6pm M-F | 8am-5pm Sat | Closed on Sundays for our employees' families,,,0
American Lubefast Store,205,757 Hwy 96 East,,Bonaire,GA,31005,United States,478.987.2082,32.5550014,-83.659965,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,251,234 Fairview Road,,Ellenwood,GA,30294,United States,678.565.7821,33.619304,-84.243936,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,210,3946 Northside Drive,,Macon,GA,31210,United States,478.471.7007,32.8985569,-83.69967,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,208,1304 Washington Street,,Perry,GA,31069,United States,478.988.8058,32.465744,-83.737144,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,203,808 Willowbrook Road,,Hinesville,GA,31313,United States,912.876.8040,31.8327506,-81.6196411,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,204,442 South First Street,,Jesup,GA,31545,United States,912.530.8000,31.603876,-81.8893376,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,482,1801 North Tift Avenue,,Tifton,GA,31794,United States,229.382.7371,31.470933,-83.502714,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,481,813 West 2nd Street,,Tifton,GA,31794,United States,229.388.0788,31.4578761,-83.5249346,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,211,701 Memorial Drive,,Waycross,GA,31501,United States,912.283.8369,31.2112484,-82.35049,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,492,107 Northside Drive,,Valdosta,GA,31602,United States,229.245.0400,30.869,-83.2893,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees’ families,,,0
American Lubefast Store,491,2125 North Ashley Street,,Valdosta,GA,31602,United States,229.245.0300,30.8582998,-83.2812083,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees’ families,,,0
American Lubefast Store,532,2311 North Slappey Boulevard,,Albany,GA,31701,United States,229.435.6020,31.608282,-84.176376,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,533,2413 Sylvester Road,,Albany,GA,31705,United States,229.436.0904,31.5747401,-84.0934475,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,531,2420 Dawson Road,,Albany,GA,31707,United States,229.432.6020,31.60929,-84.211459,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,441,829 East Shotwell Street,,Bainbridge,GA,31819,United States,229.246.9831,30.9035687,-84.5356858,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,421,808 1st Avenue SE,,Moultrie,GA,31768,United States,229.985.0740,31.1788801,-83.7787375,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,411,2829 E. Pinetree Boulevard,,Thomasville,GA,31792,United States,229.228.6812,30.8532982,-83.9513321,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,104,3247 Dauphin Street,,Mobile,AL,36606,United States,251.471.3617,30.6887994,-88.1222631,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,105,7047 Airport Boulevard,,Mobile,AL,36608,United States,251.340.8330,30.6851294,-88.2056888,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,109,4630 Moffett Road,,Mobile,AL,36618,United States,251.380.9494,30.720141,-88.1484218,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,103,U.S. 90,,Mobile,AL,36619,United States,251.666.0196,30.5938764,-88.169886,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,108,621 Highway 43,,Saraland,AL,36571,United States,251.679.8202,30.7836732,-88.0726982,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,113,6865 Spanish Fort Boulevard,,Spanish Fort,AL,36527,United States,251.621.2065,30.671469,-87.9018829,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,703,2211 Ross Clark Circle,,Dothan,AL,36301,United States,334.793.6615,31.190743,-85.403887,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lubefast Store,801,1515 East Glenn Avenue,,Auburn,AL,36830,United States,334.826.1615,32.609399,-85.449507,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lube Fast Store,602,2670 Taylor Road,,Montgomery,AL,36117,United States,334.273.0906,32.340897,-86.180081,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lube Fast Store,611,3580 Hwy 14,,Millbrook,AL,36054,United States,334.285.8074,32.514649,-86.37747,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lube Fast Store,607,2701 Bell Road,,Montgomery,AL,36117,United States,334.277.0009,32.341288,-86.194956,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
American Lube Fast Store,608,5701 Atlanta Highway,,Montgomery,AL,36117,United States,334.271.7187,32.382531,-86.203528,8am-6pm Monday thru Friday 8am-5pm Saturday Closed on Sundays for our employees' families,,,0
