store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Meineke-Car Care Center,2177,2175 NE 27th Street ,,Mcminnville ,OR,97128,United States,(503) 376-9307,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 7:30 AM - 6:00 PM, SUN Closed",,,
Meineke-Car Care Center,1092,6220 St. Andrews Road ,,Irmo ,SC,29212-3124,United States,(803) 764-9652,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 7:30 AM - 4:00 PM, SUN Closed",,,
Meineke-Car Care Center,1440,15510 East Mill Plain Blvd. ,,Vancouver ,WA,98684,United States,(360) 989-3556,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 7:30 AM - 6:00 PM, SUN Closed",,,
Meineke-Car Care Center,1176,810 West 4th Street ,,Reno ,NV,89503-5203,United States,(775) 391-5161,,,"Center Hours: Closed Now, M-F 7:30 AM - 4:00 PM, SAT 8:00 AM - 4:00 PM, SUN Closed",,,
Meineke-Car Care Center,2005,710 North Aspen Avenue ,,Broken Arrow ,OK,74012,United States,(918) 615-4586,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 7:30 AM - 5:00 PM, SUN Closed",,,
Meineke-Car Care Center,731,248 Lafayette Road-Route 1 ,,Seabrook ,NH,03874-4510,United States,(603) 760-7247,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 8:00 AM - 4:00 PM, SUN Closed",,,
Meineke-Car Care Center,2129,5229 West 12th Street ,,Sioux Falls ,SD,57106,United States,(605) 782-9087,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 8:00 AM - 4:00 PM, SUN Closed",,,
Meineke-Car Care Center,4329,2085 North Hill Field Road ,,Layton ,UT,84041,United States,(801) 896-8451,,,"Center Hours: Closed Now, M-F 7:30 AM - 6:00 PM, SAT 8:00 AM - 4:00 PM, SUN Closed",,,
Meineke-Car Care Center,2715,Santa Rosa Shopping Mall Lot # 38A ,,Bayamon ,PR,00959,Puert Rico,(787) 395-7896,,,"Center Hours: Closed Now, M-F 7:00 AM - 6:00 PM, SAT 7:00 AM - 6:00 PM, SUN Closed",,,
Meineke-Car Care Center,2716,Los Jardines Shopping Center Lot A1 ,,Guaynabo ,PR,00969,Puert Rico,(787) 705-7628,,,"Center Hours: Closed Now, M-F 7:00 AM - 6:00 PM, SAT 7:00 AM - 6:00 PM, SUN Closed",,,
