store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
NISSAN OF MANHATTAN,5547,787 11TH AVENUE,,NEW YORK,NY,10019,United States,212-549-2210,40.768927,-73.992967,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-20:20, serviceHours: Mon-Fri 07:00-18:18, Sat 00:00-00:00, Sun 00:00-00:00",,,
KOEPPEL NISSAN,2157,74-05 - 74-15 NORTHERN BL,,JACKSON HEIGHTS,NY,11372,United States,718-898-7800,40.756967,-73.872912,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-19:19, Sun 11:00-17:17, serviceHours: Mon-Fri 06:30-18:18, Sun 00:00-00:00, Sat 06:30-16:16",,,
HUDSON NISSAN,3136,585 STATE ROUTE 440,,JERSEY CITY,NJ,07304,United States,201-435-2003,40.716366,-74.095611,"salesHours: Sun 00:00-00:00, Mon-Fri 09:00-21:21, Sat 09:00-20:20, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-17:17",,,
BAY RIDGE NISSAN,3403,6501 5TH AVE,,BROOKLYN,NY,11220,United States,718-238-8000,40.636565,-74.019183,"salesHours: Mon-Thu 09:00-21:21, Sun 12:00-17:17, Fri-Sat 09:00-18:18, serviceHours: Mon-Sat 07:00-18:18, Sun 00:00-00:00",,,
NISSAN OF QUEENS,3811,93-25 ROCKAWAY BLVD,,OZONE PARK,NY,11417,United States,718-835-8300,40.680941,-73.845716,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-19:19, Sun 11:00-17:17, serviceHours: Mon 06:30-18:18, Wed-Fri 06:30-18:18, Sun 00:00-00:00, Tue 06:30-20:20, Sat 07:00-17:17",,,
AUTOEASTERN NISSAN OF MEADOWLANDS,5455,45 ROUTE 17 SOUTH,,HASBROUCK HEIGHTS,NJ,07604,United States,201-266-3909,40.864243,-74.074072,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:00-18:18, Sat 08:00-17:17, Sun 00:00-00:00",,,
NEMET NISSAN,07130,153-12 HILLSIDE AVE,,JAMAICA,NY,11432,United States,718-523-5858,40.707083,-73.803714,"salesHours: Sun 12:00-18:18, Fri 09:00-19:19, Mon-Thu 09:00-21:21, Sat 09:00-21:21, serviceHours: Mon-Wed 07:00-18:18, Thu 07:00-20:20, Fri 07:00-18:18, Sun 00:00-00:00, Sat 08:00-15:15",,,
AUTOEASTERN NISSAN OF ENGLEWOOD CLIFFS,5499,340 SYLVAN AVE. (RT 9W),,ENGLEWOOD CLIFFS,NJ,07632,United States,201-351-3773,40.892326,-73.94186,"salesHours: Mon-Thu 09:00-21:21, Sat 09:00-19:19, Sun 00:00-00:00, Fri 09:00-18:18, serviceHours: Mon-Fri 07:30-18:18, Sat 08:00-14:14, Sun 00:00-00:00",,,
STAR NISSAN,2976,20602 NORTHERN BLVD,,BAYSIDE,NY,11361,United States,718-423-0500,40.758343,-73.776998,"salesHours: Mon-Thu 09:00-21:21, Fri 09:00-19:19, Sat 09:00-18:18, Sun 12:00-17:17, serviceHours: Sat 06:30-14:14, Mon-Fri 06:30-17:17, Sun 00:00-00:00",,,
KINGS NISSAN,07126,2758 CONEY ISLAND AVE.,,BROOKLYN,NY,11235,United States,718-376-0538,40.589292,-73.960501,"salesHours: Fri-Sat 09:00-18:18, Mon-Thu 09:00-20:20, Sun 11:00-17:17, serviceHours: Mon-Fri 06:30-18:18, Sun 00:00-00:00, Sat 07:00-16:16",,,
LYNNES NISSAN CITY,08068,318 BLOOMFIELD AVE,,BLOOMFIELD,NJ,07003,United States,973-743-2111,40.785343,-74.193226,"salesHours: Thu-Fri 09:00-21:21, Tue 09:00-21:21, Mon 09:00-16:16, Wed 09:00-17:17, Sat 09:00-15:15, Sun 00:00-00:00, serviceHours: Mon-Tue 07:30-18:18, Wed-Thu 07:30-20:20, Sun 00:00-00:00, Sat 07:30-16:16, Fri 07:30-18:18",,,
NISSAN OF STATEN ISLAND,5535,1220 HYLAN BLVD,,STATEN ISLAND,NY,10305,United States,718-447-3800,40.597745,-74.083234,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-19:19, Sun 11:00-17:17, serviceHours: Thu-Fri 07:00-18:18, Wed 07:00-20:20, Sat 08:00-17:17, Sun 00:00-00:00, Mon-Tue 07:00-18:18",,,
ELITE NIS OF BERGENFIELD,5423,318 SOUTH WASHINGTON AVE,,BERGENFIELD,NJ,07621,United States,201-385-3600,40.917268,-73.997205,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-19:19, Sun 00:00-00:00, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 08:00-16:16",,,
TEDDY NISSAN,5219,3660 BOSTON ROAD,,BRONX,NY,10469,United States,718-515-1111,40.879948,-73.841886,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-19:19, Sun 11:00-17:17, serviceHours: Sat 08:00-16:16, Sun 00:00-00:00, Mon-Fri 08:00-19:19",,,
ROUTE 22 NISSAN,3246,56 ROUTE 22 EAST,,HILLSIDE,NJ,07205,United States,908-964-8700,40.697067,-74.221965,"salesHours: Sun 00:00-00:00, Mon-Sat 09:00-21:21, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:30-17:17",,,
GREAT NECK NISSAN,5156,250 NORTHERN BLVD,,GREAT NECK,NY,11021,United States,516-482-7700,40.777041,-73.727631,"salesHours: Mon-Thu 09:00-21:21, Fri 09:00-19:19, Sat 09:00-18:18, Sun 11:00-17:17, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-15:15",,,
AUTOEASTERN NISSAN OF PARAMUS,5468,331 WEST ROUTE 4,,PARAMUS,NJ,07652,United States,201-351-3768,40.954169,-74.065261,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 08:00-16:16",,,
GREGORIS MTRS,07105,555 W MERRICK RD,,VALLEY STREAM,NY,11580,United States,516-825-8700,40.670244,-73.717083,"salesHours: Fri-Sat 09:00-18:18, Tue-Thu 09:00-21:21, Sun 12:00-17:17, Mon 09:00-17:17, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 08:00-12:12",,,
ROCKAWAY NISSAN,5486,600 BURNSIDE AVE,,INWOOD,NY,11096,United States,516-239-0100,40.622845,-73.742223,"salesHours: Mon-Thu 09:00-21:21, Sat 09:00-18:18, Sun 11:00-17:17, Fri 09:00-20:20, serviceHours: Mon-Fri 07:30-18:18, Sat 08:00-15:15, Sun 00:00-00:00",,,
NISSAN OF NEW ROCHELLE,5456,2533 PALMER AVE,,NEW ROCHELLE,NY,10801,United States,914-576-7600,40.919156,-73.776997,"salesHours: Mon-Thu 09:00-21:21, Fri 09:00-19:19, Sat 09:00-18:18, Sun 11:00-17:17, serviceHours: Mon-Fri 07:00-18:18, Sun 00:00-00:00, Sat 07:00-15:15",,,
NISSAN 46,3544,440 ROUTE 46,,TOTOWA,NJ,07512,United States,973-256-1200,40.894285,-74.232248,"salesHours: Sun 00:00-00:00, Mon-Fri 09:00-21:21, Sat 09:00-18:18, serviceHours: Mon-Fri 07:00-21:21, Sun 00:00-00:00, Sat 07:30-17:17",,,
CENTRAL AVENUE NISSAN,3897,1919 CENTRAL PARK AVE,,YONKERS,NY,10710,United States,914-961-3900,40.963991,-73.839295,"salesHours: Mon-Thu 09:00-21:21, Fri-Sat 09:00-18:18, Sun 11:00-17:17, serviceHours: Sat 08:00-17:17, Mon-Fri 07:30-18:18, Sun 00:00-00:00",,,
NISSAN OF HAWTHORNE,5264,1060 GOFFLE RD,,HAWTHORNE,NJ,07506,United States,973-427-0200,40.968461,-74.154343,"salesHours: Mon-Thu 09:00-21:21, Fri 09:00-19:19, Sun 00:00-00:00, Sat 09:00-18:18, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 08:00-16:16",,,
NISSAN WORLD OF SPRINGFIELD,3635,146-162 RT 22 WEST,,SPRINGFIELD,NJ,07081,United States,973-376-8821,40.701609,-74.329608,"salesHours: Thu-Sat 09:00-21:21, Mon-Tue 09:00-21:21, Sun 00:00-00:00, Wed 13:00-21:21, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-17:17",,,
SANSONE NISSAN,08073,90 U.S. ROUTE #1,,AVENEL,NJ,07001,United States,732-815-2500,40.593324,-74.273674,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon 07:00-18:18, Wed 07:00-18:18, Fri 07:00-18:18, Tue 07:00-20:20, Thu 07:00-20:20, Sun 00:00-00:00, Sat 07:00-16:16",,,
GARDEN CITY NISSAN,5563,316 N FRANKLIN ST,,HEMPSTEAD,NY,11550,United States,516-483-4400,40.717041,-73.630272,"salesHours: Sun 11:00-18:18, Mon-Fri 09:00-21:21, Sat 09:00-20:20, serviceHours: Sat 08:00-17:17, Tue 07:30-20:20, Fri 07:30-18:18, Thu 07:30-20:20, Wed 07:30-18:18, Mon 07:30-18:18, Sun 00:00-00:00",,,
BARON NISSAN,2404,235 GLEN COVE RD,,GREENVALE,NY,11548,United States,516-621-2300,40.817358,-73.625724,"salesHours: Fri 09:00-19:19, Sat 09:00-18:18, Mon-Thu 09:00-20:20, Sun 12:00-17:17, serviceHours: Mon-Fri 07:30-17:17, Sun 00:00-00:00, Sat 07:30-14:14",,,
RAMSEY NISSAN,3035,401 ROUTE 17 SOUTH,,UPPER SADDLE RIV,NJ,07458,United States,201-825-4040,41.024181,-74.109457,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 08:00-16:16",,,
HILLTOP NISSAN,3078,258 ROUTE 10,,EAST HANOVER,NJ,07936,United States,973-887-5400,40.806435,-74.370986,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sat 08:00-14:14, Sun 00:00-00:00",,,
NISSAN OF WESTBURY,5639,939 OLD COUNTRY ROAD,,WESTBURY,NY,11590,United States,516-338-5600,40.754461,-73.56216,"salesHours: Sat 09:00-18:18, Mon-Fri 09:00-21:21, Sun 11:00-17:17, serviceHours: Sun 00:00-00:00, Sat 07:00-16:16, Mon-Fri 07:00-17:17",,,
WHITE PLAINS NISSAN,5474,500 TARRYTOWN RD,,WHITE PLAINS,NY,10607,United States,914-683-3800,41.043935,-73.801769,"salesHours: Mon-Thu 10:00-19:19, Fri-Sat 10:00-18:18, Sun 00:00-00:00, serviceHours: Mon-Thu 07:30-20:20, Sun 00:00-00:00, Sat 07:30-17:17, Fri 07:30-18:18",,,
ROCKLAND NISSAN,3207,608 ROUTE 303,,BLAUVELT,NY,10913,United States,845-358-6700,41.07923,-73.949951,"salesHours: Fri-Sat 09:00-18:18, Mon-Thu 09:00-20:20, Sun 11:00-17:17, serviceHours: Sat 08:00-16:16, Mon-Fri 07:30-17:17, Sun 00:00-00:00",,,
NISSAN CITY OF PORT CHESTER,3722,225 BOSTON POST RD,,PORT CHESTER,NY,10573,United States,914-937-1777,40.996649,-73.669296,"salesHours: Fri 09:00-18:18, Mon-Thu 09:00-20:20, Sat 09:00-17:17, Sun 11:00-16:16, serviceHours: Mon-Fri 07:00-18:18, Sat 08:00-13:13, Sun 00:00-00:00",,,
NORTH PLAINFIELD NISSAN,5564,545 ROUTE 22 W,,NORTH PLAINFIELD,NJ,07060,United States,908-755-6400,40.630565,-74.433423,"salesHours: Sun 00:00-00:00, Mon-Fri 09:00-21:21, Sat 09:00-20:20, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 07:30-16:16",,,
PINE BELT NISSAN OF KEYPORT,3263,111 STATE ROUTE 36,,KEYPORT,NJ,07735,United States,732-264-4333,40.426461,-74.198581,"salesHours: Sat 08:30-19:19, Sun 00:00-00:00, Mon-Fri 08:30-21:21, serviceHours: Sat 06:30-15:15, Sun 00:00-00:00, Mon-Fri 07:30-17:17",,,
ROUTE 23 NISSAN,3726,1301 ROUTE 23,,BUTLER,NJ,07405,United States,973-838-0800,40.991523,-74.346212,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sat 08:00-15:15, Sun 00:00-00:00",,,
LEGEND NISSAN,3670,268 JERICHO TPKE,,SYOSSET,NY,11791,United States,516-496-8181,40.81032,-73.506791,"salesHours: Sat 09:00-18:18, Mon-Fri 09:00-21:21, Sun 11:00-17:17, serviceHours: Mon-Fri 07:30-17:17, Sun 11:00-17:17, Sat 07:30-16:16",,,
MASSAPEQUA NISSAN,5175,3660 SUNRISE HWY,,SEAFORD,NY,11783,United States,516-799-2800,40.673964,-73.497171,"salesHours: Sat 09:00-18:18, Mon-Fri 09:00-21:21, Sun 11:00-17:17, serviceHours: Mon-Fri 07:00-16:16, Sun 00:00-00:00, Sat 07:00-16:16",,,
EDISON NISSAN,5331,401 U.S. ROUTE 1,,EDISON,NJ,08817,United States,732-867-0400,40.503562,-74.401225,"salesHours: Sun 00:00-00:00, Mon-Fri 09:00-21:21, Sat 09:00-20:20, serviceHours: Tue-Thu 07:30-20:20, Mon 07:30-17:17, Sun 00:00-00:00, Sat 07:30-17:17, Fri 07:30-17:17",,,
NISSAN WORLD OF RED BANK,3840,120 NEWMAN SPRINGS RD E,,RED BANK,NJ,07701,United States,732-741-2433,40.337883,-74.069131,"salesHours: Tue 00:00-00:00, Sat 09:00-18:18, Sun 00:00-00:00, Wed-Fri 09:00-21:21, Mon 09:00-21:21, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-16:16",,,
NISSAN WORLD OF DENVILLE,3212,3057 ROUTE 10,,DENVILLE,NJ,07834,United States,973-442-0500,40.872637,-74.52629,"salesHours: Sat 00:00-00:00, Tue 00:00-00:00, Sun 00:00-00:00, Mon 09:00-17:17, Wed-Fri 09:00-17:17, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-16:16",,,
BRIDGEWATER NISSAN,08053,1400 ROUTE 22,,BRIDGEWATER,NJ,08807,United States,908-722-3600,40.575147,-74.567292,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Sat 08:00-16:16, Mon-Fri 07:00-17:17, Sun 00:00-00:00",,,
NISSAN OF HUNTINGTON,5326,850 E. JERICHO TURNPIKE,,HUNTINGTON STATIO,NY,11746,United States,631-439-7000,40.80107,-73.34729,"salesHours: Sun 11:00-18:18, Mon-Thu 09:00-21:21, Fri-Sat 09:00-20:20, serviceHours: Mon-Fri 07:00-18:18, Sun 00:00-00:00, Sat 07:30-17:17",,,
ATLANTIC NISSAN SUPERSTORE,3091,205 SUNRISE HWY,,WEST ISLIP,NY,11795,United States,631-587-0700,40.720082,-73.303948,"salesHours: Sat 09:00-18:18, Mon-Fri 09:00-21:21, Sun 11:00-17:17, serviceHours: Sun 00:00-00:00, Sat 07:00-16:16, Mon-Fri 07:00-17:17",,,
ACME NISSAN,08064,2050 U.S. 130,,SOUTH BRUNSWICK,NJ,08852,United States,732-821-9300,40.408925,-74.506942,"salesHours: Mon-Thu 09:00-21:21, Sat 09:00-19:19, Sun 00:00-00:00, Fri 09:00-20:20, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 09:00-14:14",,,
SANSONE JR'S 66 NISSAN,5240,3401 ROUTE 66,,NEPTUNE,NJ,07753,United States,732-922-1050,40.226907,-74.071885,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 08:00-16:16",,,
DCH FREEHOLD NISSAN,1898,4041 ROUTE 9 N,,FREEHOLD,NJ,07728,United States,732-780-3600,40.262302,-74.292568,"salesHours: Tue 00:00-00:00, Sat 09:00-18:18, Sun 00:00-00:00, Wed-Fri 09:00-21:21, Mon 09:00-21:21, serviceHours: Mon-Fri 07:00-19:19, Sat 06:00-16:16, Sun 00:00-00:00",,,
NISSAN OF YORKTOWN HEIGHTS,5496,3495 CROMPOND ROAD,,YORKTOWN HEIGHTS,NY,10598,United States,914-737-3500,41.289313,-73.835936,"salesHours: Fri-Sat 09:00-18:18, Mon-Thu 09:00-20:20, Sun 11:00-17:17, serviceHours: Mon-Thu 07:00-18:18, Sun 00:00-00:00, Fri-Sat 07:00-17:17",,,
LYNNES NISSAN WEST,2215,59 ROUTE 206,,STANHOPE,NJ,07874,United States,973-347-2200,40.929748,-74.718629,"salesHours: Mon 09:00-16:16, Fri 09:00-21:21, Sat 09:00-18:18, Tue-Wed 09:00-21:21, Thu 09:00-20:20, Sun 00:00-00:00, serviceHours: Mon-Tue 07:30-18:18, Wed-Thu 07:30-20:20, Sun 00:00-00:00, Sat 07:30-16:16, Fri 07:30-18:18",,,
SMITHTOWN NISSAN,2691,535 MIDDLE COUNTRY ROAD,,SAINT JAMES,NY,11780,United States,631-361-9696,40.859492,-73.161157,"salesHours: Sat 09:00-18:18, Sun 12:00-17:17, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:00-19:19, Sun 00:00-00:00, Sat 07:00-15:15",,,
WINDSOR NISSAN BY THE MAGUIRE AUTOMOTIVE,3732,590 ROUTE 130,,EAST WINDSOR,NJ,08520,United States,609-448-1411,40.26355,-74.546931,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Thu 07:30-20:20, Mon-Wed 07:30-18:18, Sun 00:00-00:00, Sat 07:30-17:17, Fri 07:30-18:18",,,
BRUCE BENNETT NISSAN,2620,978 DANBURY RD,,WILTON,CT,06897,United States,203-544-8371,41.260161,-73.43598,"salesHours: Tue-Thu 09:00-19:19, Sun 00:00-00:00, Fri-Sat 09:00-18:18, Mon 09:00-20:20, serviceHours: Fri-Sat 07:00-17:17, Mon-Thu 07:00-18:18, Sun 11:00-16:16",,,
PAUL MILLER NISSAN,3265,930 KINGS HWY E,,FAIRFIELD,CT,06825,United States,203-367-5050,41.167196,-73.233393,"salesHours: Fri-Sat 09:00-18:18, Mon-Thu 09:00-19:19, Sun 11:00-16:16, serviceHours: Sat 08:00-16:16, Sun 00:00-00:00, Mon-Fri 08:00-18:18",,,
ACTION NISSAN OF FLEMINGTON,5600,180 US HIGHWAY 202/31,,FLEMINGTON,NJ,08822,United States,908-336-0099,40.480773,-74.862976,"salesHours: Sat 09:00-19:19, Sun 00:00-00:00, Mon-Fri 09:00-20:20, serviceHours: Mon-Sat 08:00-17:17, Sun 00:00-00:00",,,
NISSAN OF MIDDLETOWN,3367,4961 ROUTE 17M,,NEW HAMPTON,NY,10958,United States,845-374-6555,41.408176,-74.414527,"salesHours: Fri 09:00-18:18, Mon-Thu 09:00-20:20, Sat 09:00-17:17, Sun 11:00-16:16, serviceHours: Sat 08:00-15:15, Sun 00:00-00:00, Mon-Fri 08:00-18:18",,,
ROUTE 33 NISSAN,5476,951 US HWY 33,,HAMILTON SQUARE,NJ,08690,United States,609-586-1900,40.228717,-74.672693,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Tue-Thu 07:30-20:20, Sun 00:00-00:00, Fri-Sat 07:30-17:17, Mon 07:30-17:17",,,
NISSAN 112 SALES CORP,2214,730 ROUTE 112,,PATCHOGUE,NY,11772,United States,631-289-9100,40.792963,-73.007625,"salesHours: Sat 09:00-18:18, Mon-Fri 09:00-21:21, Sun 11:00-17:17, serviceHours: Sat 07:30-16:16, Sun 00:00-00:00, Mon-Fri 07:30-17:17",,,
THRUWAY NISSAN,5512,79 ROUTE 17K,,NEWBURGH,NY,12550,United States,845-562-1000,41.504037,-74.068666,"salesHours: Fri-Sat 09:00-18:18, Mon-Thu 09:00-20:20, Sun 11:00-17:17, serviceHours: Sat 08:00-16:16, Mon-Fri 07:30-17:17, Sun 00:00-00:00",,,
PINE BELT AUTOMOTIVE,2393,229 ROUTE 37 EAST,,TOMS RIVER,NJ,08753,United States,732-349-3030,39.963723,-74.194058,"salesHours: Sat 08:30-19:19, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Sat 06:30-15:15, Sun 00:00-00:00, Mon-Fri 07:30-17:17",,,
NAPOLI NISSAN,06036,688 BRIDGEPORT AVE,,MILFORD,CT,06460,United States,203-877-5141,41.209464,-73.08354,"salesHours: Fri 09:00-18:18, Mon-Thu 09:00-20:20, Sat 09:00-17:17, Sun 11:00-16:16, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 07:30-15:15",,,
POUGHKEEPSIE NISSAN,07132,1445 ROUTE 9,,WAPPINGERS FALLS,NY,12590,United States,845-297-4314,41.587145,-73.907862,"salesHours: Fri 09:00-18:18, Mon-Thu 09:00-20:20, Sun 00:00-00:00, Sat 09:00-17:17, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 08:00-16:16",,,
D'ADDARIO NISSAN,2178,329 BRIDGEPORT AVE,,SHELTON,CT,06484,United States,203-929-5391,41.298612,-73.106151,"salesHours: Fri 09:00-19:19, Mon-Thu 09:00-20:20, Sat 09:00-17:17, Sun 11:00-16:16, serviceHours: Thu 07:45-19:19, Sat 08:00-16:16, Mon-Wed 07:45-17:17, Sun 00:00-00:00, Fri 07:45-17:17",,,
PERUZZI NISSAN,2965,165 LINCOLN HWY,,FAIRLESS HILLS,PA,19030,United States,215-943-6200,40.182211,-74.862444,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:00-18:18, Sat 07:00-16:16, Sun 00:00-00:00",,,
GEORGE HARTE NISSAN,3033,426 DERBY AVE,,WEST HAVEN,CT,06516,United States,203-389-5701,41.307833,-72.968699,"salesHours: Mon 10:00-15:15, Fri-Sat 09:00-18:18, Sun 11:00-15:15, Tue-Thu 09:00-20:20, serviceHours: Fri 07:00-18:18, Sat 08:00-17:17, Sun 00:00-00:00, Mon-Thu 07:00-19:19",,,
FRED BEANS NISSAN OF DOYLESTOWN,5053,4469 W SWAMP ROAD,,DOYLESTOWN,PA,18902,United States,215-345-6900,40.334261,-75.138087,"salesHours: Sun 00:00-00:00, Sat 09:00-17:17, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-18:18, Sun 00:00-00:00, Sat 07:30-17:17",,,
RIVERHEAD AUTO MALL,3214,1800 OLD COUNTRY RD,,RIVERHEAD,NY,11901,United States,631-369-0600,40.924047,-72.70512,"salesHours: Sat 09:00-18:18, Sun 11:00-17:17, Mon-Fri 09:00-20:20, serviceHours: Sat 07:30-16:16, Sun 00:00-00:00, Mon-Fri 07:30-17:17",,,
COLONIAL NISSAN,09071,117 BUSTLETON PIKE,,FEASTERVILLE,PA,19053,United States,215-364-1100,40.139152,-75.007052,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Mon-Fri 07:30-19:19, Sat 07:30-17:17, Sun 00:00-00:00",,,
MOUNT HOLLY NISSAN,5629,1513 ROUTE 38,,HAINESPORT,NJ,08036,United States,609-267-2886,39.98256,-74.808748,"salesHours: Sat 09:00-18:18, Sun 00:00-00:00, Mon-Fri 09:00-21:21, serviceHours: Sun 00:00-00:00, Mon-Sat 07:30-17:17",,,
