store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Regent Mall,,1381 Regent Street,,Fredericton,NB,E3C 1A2,Canada,(506) 457-2724,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-9PM, Sunday 12PM-5PM",,,
Birmingham,,211 West Maple Rd.,,Birmingham,MI,48009,United States,(248) 723-1407,,,"Monday 10AM-6PM, Tuesday 10AM-6PM, Wednesday 10AM-6PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-6PM, Sunday 11AM-5PM",,,
Roots 73: East Point,,"11 Fashion Drive, Unit 1",,Saint John,NB,E2J 0A7,Canada,(506) 657-0180,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 12PM-5PM",,,
Roots 73: Wheeler Park,,141 Trinity Drive,,Moncton,NB,E1G 2J7,Canada,(506) 854-9060,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 12PM-5PM",,,
Park City,,408 Main Street,,Park City,UT,84060,United States,(435) 615-1166,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-9PM, Sunday 10AM-9PM",,,
Chinook Centre,,6455 Macleod Trail S. Unit 253,,Calgary,AB,T2H 0K9,Canada,(403) 252-5467,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 11AM-7PM",,,
Roots 73: Bayers Lake,,202 Chain Lake Drive,,Halifax,NS,B3S 1C5,Canada,(902) 450-5307,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 11AM-5PM",,,
Halifax Shopping Centre,,"Tower #1 - 7001 Mumford Rd., Unit 229",,Halifax,NS,B3L 4N9,Canada,(902) 455-5443,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 12PM-5PM",,,
Spring Garden,,"5505 Spring Garden Road, Unit 2- 15",,Halifax,NS,B3J 3M7,Canada,(902) 492-4415,,,"Monday 9:30AM-7PM, Tuesday 9:30AM-7PM, Wednesday 9:30AM-7PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-5PM",,,
Roots 73: Avalon Mall,,56 Kenmount Rd. Unit 3015,,St. John's,NF,A1B 1W3,Canada,(709) 579-3940,,,"Monday 9:30AM-9:30PM, Tuesday 9:30AM-9:30PM, Wednesday 9:30AM-9:30PM, Thursday 9:30AM-9:30PM, Friday 9:30AM-9:30PM, Saturday 9:30AM-9:30PM, Sunday 12PM-5PM",,,
West Edmonton Mall,,"8882-170th Street, Unit 2544",,Edmonton,AB,T5T 4M2,Canada,(780) 444-2286,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-9PM, Sunday 11AM-6PM",,,
Roots 73: Mayfield Common (closed),,324 Mayfield Common,,Edmonton,AB,T5P 4B3,Canada,(780) 495-0025,,,,,,
Roots 73: Beacon Hill (CLOSED),,"11696 Sarcee Trail NW, Unit F4",,Calgary,AB,T3R 0A1,Canada,(403) 516-3069,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-6PM, Sunday 11AM-5PM",,,
Venice Beach,,1505 Abbot Kinney Boulevard,,Venice,CA,90291,United States,(424) 238-8454,,,"Monday 11AM-7PM, Tuesday 11AM-7PM, Wednesday 11AM-7PM, Thursday 11AM-7PM, Friday 11AM-8PM, Saturday 11AM-8PM, Sunday 11AM-6PM",,,
Georgian Mall,,"509 Bayfield St., Unit 32A",,Barrie,ON,L4M 4Z8,Canada,(705) 734-2212,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-5PM",,,
Colossus Factory Outlet,,7621 Weston Rd. Unit 135,,Woodbridge,ON,L4L 9J9,Canada,(905) 264-0478,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-7PM",,,
Roots 73: Cornwall Center,,"2102 11th Avenue, Unit # TT34",,Regina,SK,S4P 3Y6,Canada,(306) 924-5005,,,"Monday 9:30AM-6PM, Tuesday 9:30AM-6PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 12PM-7PM",,,
Beverly Hills,,371 North Beverly Drive,,Beverly Hills,CA,90210,United States,(310) 858-8343,,,"Monday 10AM-7PM, Tuesday 10AM-7PM, Wednesday 10AM-7PM, Thursday 10AM-7PM, Friday 10AM-7PM, Saturday 10AM-8PM, Sunday 11AM-7PM",,,
Roots 73: Cambridge,,30 Pinebush Road Unit 100,,Cambridge,ON,N1R 8P5,Canada,(519) 620-3244,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9AM-6PM, Sunday 10AM-6PM",,,
Bloor Street,,80 Bloor Street West,,Toronto,ON,M5S 2V1,Canada,(416) 323-3289,,,"Monday 9:30AM-8PM, Tuesday 9:30AM-8PM, Wednesday 9:30AM-8PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 11AM-7PM",,,
Oshawa Centre,,"419 King Street West, Unit 2100",,Oshawa,ON,L1J 2K5,Canada,(905) 579-0451,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-6PM",,,
Roots73: Pickering,,"1355 Kingston Road, Unit 150",,Pickering,ON,L1V 1B8,Canada,(905) 837-6619,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-6PM",,,
Roots 73: Fallsview,,"6380 Fallsview Blvd, Suite 254",,Niagara Falls,ON,L2G 7Y6,Canada,(905) 353-1447,,,"Monday 10AM-11PM, Tuesday 10AM-11PM, Wednesday 10AM-11PM, Thursday 10AM-11PM, Friday 10AM-12AM, Saturday 10AM-12AM, Sunday 10AM-11PM",,,
Don Mills,,"Unit F5A, Shops at Don Mills, 8 Aggie Hogg Garden",,Toronto,ON,M3C 0G6,Canada,(416) 849-1462,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-7PM, Sunday 11AM-6PM",,,
Guelph,,435 Stone Road W,,Guelph,ON,N1G 2X6,Canada,(519) 341-0057,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-7PM, Sunday 11AM-5PM",,,
Promenade,,"1 Promenade Circle, Main Floor",,Thornhill,ON,L4J 4P8,Canada,(905) 886-7784,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-6PM",,,
William St.,,41 1/2 William Street,,Ottawa,ON,K1N 6Z9,Canada,(613) 688-2858,,,"Monday 10AM-6PM, Tuesday 10AM-6PM, Wednesday 10AM-6PM, Thursday 10AM-6PM, Friday 10AM-6PM, Saturday 10AM-7PM, Sunday 10AM-6PM",,,
White Oaks,,"1105 Wellington Rd. South, Suite 489",,London,ON,N6E 1V4,Canada,(519) 685-6688,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-9PM, Sunday 12PM-5PM",,,
Roots 73: Woodside,,"3175 Hwy 7 East, Suite 500",,Markham,ON,L3R 0J5,Canada,(905) 948-1700,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-6PM, Saturday 10AM-9PM, Sunday 11AM-6PM",,,
Roots 73: Windsor Crossing,,"1555 Talbot Road, Unit 130",,LaSalle,ON,N9H 2N2,Canada,(519) 972-3573,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9AM-6PM, Sunday 12PM-5PM",,,
Roots 73: Milton,,"Milton Crossroads, 1160 Steels Ave. East, Unit L3",,Milton,ON,L9T 6C8,Canada,(905) 636-9000,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-5PM",,,
Devonshire Mall,,"3100 Howard Ave, Unit P#15",,Windsor,ON,N8X 3Y8,Canada,(519) 966-3994,,,"Monday 9:30AM-9PM, Tuesday 9:30AM-9PM, Wednesday 9:30AM-9PM, Thursday 9:30AM-9PM, Friday 9:30AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-5PM",,,
Rosedale CLOSED,,1073 Yonge Street,,Toronto,ON,M4W 2L2,Canada,(416) 927-1989,,,,,,
Roots 73: Kanata,,"625 Kanata Outlet, Unit E2",,Kanata,ON,K2T 1H6,Canada,(613) 287-0126,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9AM-6PM, Sunday 11AM-5PM",,,
Pen Centre,,"221 Glendale Avenue, Unit 89",,St. Catharines,ON,L2T 2K9,Canada,(905) 988-6211,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9AM-6PM, Sunday 11AM-6PM",,,
Roots 73: Hilcrest,,9350 Yonge St. Unit H11,,Richmond Hill,ON,L4C 5G2,Canada,(905) 884-3285,,,"Monday 10AM-9PM, Tuesday 10AM-9PM, Wednesday 10AM-9PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 9:30AM-6PM, Sunday 11AM-6PM",,,
Roots 73: Thunder Centre,,379 Main St. Unit C5,,Thunder Bay,ON,P7B 5L6,Canada,(807) 628-8886,,,"Monday 10AM-8PM, Tuesday 10AM-8PM, Wednesday 10AM-8PM, Thursday 10AM-8PM, Friday 10AM-8PM, Saturday 9:30AM-6PM, Sunday 11AM-5PM",,,
Kingston,,229 Princess Street,,Kingston,ON,K7L 1A4,Canada,(613) 546-7668,,,"Monday 10AM-6PM, Tuesday 10AM-6PM, Wednesday 10AM-6PM, Thursday 10AM-9PM, Friday 10AM-9PM, Saturday 10AM-6PM, Sunday 12PM-5PM",,,
