store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
TUFFY UNION CITY,,1510 Kennedy Blvd. ,,Union City ,NJ,07087,United States,201-864-2556,40.7643,-74.0422,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  6:00 PM, Sunday Closed",,,
TUFFY ASHLAND,,111 S. Washington Highway ,,Ashland ,VA,23005,United States,804-798-4000,37.7569,-77.4711,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 7:30 AM -  2:00 PM, Sunday Closed",,,
TUFFY RICHMOND (AZALEA AVE.),,1005 Azalea Avenue ,,Richmond ,VA,23227,United States,804-264-2700,37.6014,-77.4512,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 7:30 AM -  2:00 PM, Sunday Closed",,,
TUFFY RICHMOND WEST BROAD,,8817 West Broad St. ,,Richmond ,VA,23294,United States,804-965-0100,37.6337,-77.544,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY RICHMOND (JEFF DAVIS HWY),,3621 Jeff Davis Highway ,,Richmond ,VA,23234,United States,804-271-9800,37.4733,-77.4433,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 7:30 AM -  2:00 PM, Sunday Closed",,,
TUFFY RICHMOND (BRANCHWAY),,911 Branchway Rd. ,,Richmond ,VA,23236,United States,804-379-3300,37.5045,-77.6082,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY COLONIAL HEIGHTS,,1115 Boulevard ,,Colonial Heights ,VA,23834,United States,804-526-5000,37.2506,-77.4106,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 7:30 AM -  2:00 PM, Sunday Closed",,,
TUFFY MENTOR,,8415 Station Street ,,Mentor ,OH,44060,United States,440-255-6333,41.6752,-81.3391,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY EUCLID,,20501 Euclid Avenue ,,Euclid ,OH,44117,United States,216-481-7200,41.5678,-81.5371,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  3:00 PM, Sunday Closed",,,
TUFFY CHICAGO (DIVERSEY PKWY.),,1400 W. Diversey Pkwy ,,Chicago ,IL,60614,United States,773-929-3622,41.9327,-87.6638,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  5:00 PM, Sunday 9:00 AM -  5:00 PM",,,
TUFFY ORLAND PARK,,7900 W. 159th St. ,,Orland Park ,IL,60462,United States,708-444-2966,41.6025,-87.8116,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  6:00 PM, Sunday Closed",,,
TUFFY GLENDALE HEIGHTS,,1153 Bloomingdale Rd. ,,Glendale Heights ,IL,60139,United States,630-588-8846,41.9013,-88.0812,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY HOMER GLEN,,15743 S. Bell Rd. ,,Homer Glen ,IL,60491,United States,708-301-8885,41.603,-87.9301,"Mon-Fri 8:00 AM -  5:30 PM, Saturday 8:00 AM -  3:00 PM, Sunday Closed",,,
TUFFY AUSTIN,,11700 Anderson Mill Rd. ,,Austin ,TX,78750,United States,512-258-3400,30.4553,-97.824,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  5:00 PM, Sunday Closed",,,
TUFFY PFLUGERVILLE,,1009 FM 685 ,,Pflugerville ,TX,78660,United States,512-252-7500,30.4449,-97.6079,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  5:00 PM, Sunday Closed",,,
TUFFY ROUND ROCK,,16410 FM 620 ,,Round Rock ,TX,78681,United States,512-310-5900,30.4947,-97.7251,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  5:00 PM, Sunday Closed",,,
TUFFY JACKSONVILLE,,14026 Beach Blvd. ,,Jacksonville ,FL,32250,United States,904-992-4176,30.2872,-81.4478,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY ST. JOHNS,,2770 Racetrack Rd. ,,St. Johns ,FL,32259,United States,904-230-3363,30.1123,-81.5883,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY GRANDVIEW,,1524 W. Fifth Avenue ,,Columbus ,OH,43212,United States,614-487-8776,39.9893,-83.0472,"Mon-Fri 8:00 AM -  5:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY COLUMBUS (WEST BROAD),,4188 W. Broad ,,Columbus ,OH,43228,United States,614-276-0164,39.9537,-83.1133,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY GROVE CITY,,2131 Stringtown Road ,,Grove City ,OH,43123,United States,614-871-4020,39.8786,-83.0601,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY WHITEHALL,,4744 E. Main Street ,,Whitehall ,OH,43213,United States,614-864-5215,39.9553,-82.8711,"Mon-Fri 7:00 AM -  7:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY GAHANNA,,115 N. Hamilton Road ,,Gahanna ,OH,43230,United States,614-337-8080,40.0204,-82.8674,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY HILLIARD,,4462 Cemetery Road ,,Hilliard ,OH,43026,United States,614-771-6677,40.0326,-83.1355,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  2:00 PM, Sunday Closed",,,
TUFFY COLUMBUS (CLEVELAND AVE.),,6853 Cleveland Avenue ,,Columbus ,OH,43231,United States,614-895-1588,40.1102,-82.9497,"Mon-Fri 7:30 AM -  7:00 PM, Saturday 7:30 AM -  4:00 PM, Sunday 10:00 AM -  3:00 PM",,,
TUFFY BLACKLICK,,65 North Waggoner Road ,,Blacklick ,OH,43004,United States,614-863-8833,39.9866,-82.7918,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY POWELL,,7854 Smoky Row Road ,,Powell ,OH,43065,United States,614-792-0770,40.1187,-83.0671,"Mon-Fri 8:00 AM -  7:00 PM, Saturday 7:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY PICKERINGTON,,1223 Hill Road N. ,,Pickerington ,OH,43147,United States,614-751-0111,39.9127,-82.7808,"Mon-Fri 8:00 AM -  6:00 PM, Saturday 8:00 AM -  4:00 PM, Sunday Closed",,,
TUFFY LEWIS CENTER,,210 Hornbeam Lane ,,Lewis Center ,OH,43035,United States,740-549-3332,40.1575,-83.0164,"Mon-Fri 7:30 AM -  6:30 PM, Saturday 8:00 AM -  5:00 PM, Sunday 10:00 AM -  4:00 PM",,,
TUFFY WESTERVILLE,,7128 State Route 3 ,,Westerville ,OH,43082,United States,614-508-9139,40.1514,-82.9219,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 8:00 AM -  5:00 PM, Sunday Closed",,,
TUFFY CHARLOTTE (TRYON STREET),,8516 South Tryon St. ,,Charlotte ,NC,28273,United States,704-588-1929,35.1397,-80.9352,"Mon-Fri 7:30 AM -  6:00 PM, Saturday 7:30 AM -  5:00 PM, Sunday Closed",,,
