store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
ALEX AND ANI Boston,,115 Newbury Street,,Boston,MA,02116,United States,(617) 421-0777,,,"Monday 10 AM to 6 PM, Tuesday 10 AM to 6 PM, Wednesday 10 AM to 6 PM, Thursday 10 AM to 6 PM, Friday 10 AM to 6 PM, Saturday 10 AM to 6 PM, Sunday 12 PM to 5 PM",,,
ALEX AND ANI National Harbor,,180-A Waterfront Street,,Oxon Hill,MD,20745,United States,(301) 567-1646,,,"Monday 10 AM to 9 PM, Tuesday 10 AM to 9 PM, Wednesday 10 AM to 9 PM, Thursday 10 AM to 9 PM, Friday 10 AM to 9 PM, Saturday 10 AM to 9 PM, Sunday 11 AM to 7 PM",,,
ALEX AND ANI Soho,,425 West Broadway,,New York,NY,10012,United States,(646) 484-5099,,,"Monday 10 AM to 8 PM, Tuesday 10 AM to 8 PM, Wednesday 10 AM to 8 PM, Thursday 10 AM to 8 PM, Friday 10 AM to 8 PM, Saturday 10 AM to 9 PM, Sunday 11 AM to 7 PM",,,
ALEX AND ANI Newport,,One Bowen's Wharf,,Newport,RI,02840,United States,(401) 849-3002,,,"Monday 10 AM to 8 PM, Tuesday 10 AM to 8 PM, Wednesday 10 AM to 8 PM, Thursday 10 AM to 9 PM, Friday 10 AM to 9 PM, Saturday 10 AM to 9 PM, Sunday 10 AM to 8 PM",,,
ALEX AND ANI Chapel View,,2000 Chapel View Boulevard,,Cranston,RI,02920,United States,(401) 633-1490,,,"Monday 10 AM to 7 PM, Tuesday 10 AM to 7 PM, Wednesday 10 AM to 7 PM, Thursday 10 AM to 7 PM, Friday 10 AM to 7 PM, Saturday 10 AM to 7 PM, Sunday 11 AM to 6 PM",,,
ALEX AND ANI Red Bank,,12 Broad Street,,Red Bank,NJ,07701,United States,(732) 268-7274,,,"Monday 10 AM to 6 PM, Tuesday 10 AM to 6 PM, Wednesday 10 AM to 6 PM, Thursday 10 AM to 6 PM, Friday 10 AM to 6 PM, Saturday 10 AM to 6 PM, Sunday 11 PM to 5 PM",,,
ALEX AND ANI Cherry Creek,,2827 East 3rd Avenue,,Denver,CO, 80206,United States,(720) 398-9837,,,"Monday 10 AM to 6 PM, Tuesday 10 AM to 6 PM, Wednesday 10 AM to 6 PM, Thursday 10 AM to 6 PM, Friday 10 AM to 7 PM, Saturday 10 AM to 7 PM, Sunday 11 AM to 6 PM",,,
ALEX AND ANI Newark,,50 East Main Street,,Newark,DE, 19711,United States,(302) 737-6194,,,"Monday CLOSED, Tuesday CLOSED, Wednesday 12 PM to 5 PM, Thursday 12 PM to 5 PM, Friday 10 AM to 5 PM, Saturday 10 AM to 5 PM, Sunday 12 PM to 5 PM",,,
ALEX AND ANI Portland,,215 Commercial Street,,Portland,ME,04101,United States,(207) 899-4319,,,"Monday 10 AM to 6 PM, Tuesday 10 AM to 6 PM, Wednesday 10 AM to 6 PM, Thursday 10 AM to 6 PM, Friday 10 AM to 6 PM, Saturday 10 AM to 6 PM, Sunday 11 AM to 5 PM",,,
ALEX AND ANI Ridgewood,,134 East Ridgewood Avenue,,Ridgewood,NJ,07450,United States,(201) 857-0911,,,"Monday 10 AM to 7 PM, Tuesday 10 AM to 7 PM, Wednesday 10 AM to 7 PM, Thursday 10 AM to 7 PM, Friday 10 AM to 7 PM, Saturday 10 AM to 7 PM, Sunday 11 AM to 5 PM",,,
ALEX AND ANI Rye,,52 Purchase Street,,Rye,NY,10580,United States,(914) 481-1506,,,"Monday 10 AM to 6 PM, Tuesday 10 AM to 6 PM, Wednesday 10 AM to 6 PM, Thursday 10 AM to 6 PM, Friday 10 AM to 6 PM, Saturday 10 AM to 6 PM, Sunday 12 PM to 5 PM",,,
ALEX AND ANI Rochester,,145 Culver Road,,Rochester,NY,14620,United States,,,,"Monday 10 AM to 8 PM, Tuesday 10 AM to 8 PM, Wednesday 10 AM to 8 PM, Thursday 10 AM to 8 PM, Friday 10 AM to 7 PM, Saturday 10 AM to 7 PM, Sunday 11 AM to 5 PM",,,
ALEX AND ANI Burlington,,207 College Street,,Burlington,VT,05401,United States,(802) 497-3609,,,"Monday 12 PM to 5 PM, Tuesday CLOSED, Wednesday CLOSED, Thursday 12 PM to 5 PM, Friday 10 AM to 5 PM, Saturday 10 AM to 5 PM, Sunday 12 PM to 5 PM",,,
