store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Boutique Cartier Toronto Bloor Street,,131 Bloor Street West,,Toronto,Ontario,M5S 1R1,Canada,+1 416 413 4929,,,"Monday - Wednesday 10:00 am - 6:00 pm, Thursday - Friday 10:00 am - 7:00 pm, Saturday 10:00am - 6:00 pm, Sunday 12:00 pm - 5:00 pm",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/canada/toronto/boutique-cartier-toronto-bloor-street-BTQ3063.html
Boutique Cartier Guadalajara - Palacio de Hierro,,"Plaza Andares | Av. Patria 2085, Entre Blvd. Puerta de Hierro y Av. Acueducto, Col. Puerta de Hierro",,Guadalajara,,45116,Mexico,+52 (33) 3648-9870,,,Lunes a Domingo: 11:00 a.m. a 9:00 p.m.,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/mexico/guadalajara/boutique-cartier-guadalajara---palacio-de-hierro-BTQ11400.html
Boutique Cartier Vancouver,,456 Howe Street,,Vancouver,British Columbia,BC V6C 2X1,Canada,+1 604 683 6878,,,"Monday - Saturday 10:00 am - 6:00 pm, Sunday 12:00 pm - 5:00 pm",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/canada/vancouver/boutique-cartier-vancouver-BTQ3067.html
Boutique Cartier Casablanca - Place des Nations Unies,,Place des Nations Unies,,Casablanca,,20000,Morocco,+212 5 22 43 12 12,,,Du lundi au samedi: 10h30 - 20h30,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/morocco/casablanca/boutique-cartier-casablanca---place-des-nations-unies-BTQ17262.html
Boutique Cartier Amsterdam - De Bijenkorf,,Dam 1,,Amsterdam,,1012JS,Netherlands,+ 31 (0) 20 7036499,,,Monday: 11:00 - 21:00 / Tuesday & Wednesday: 10:00 - 20:00 / Thursday & Friday: 10:00 - 21:00 / Saturday: 9:30 - 20:00 / Sunday : 11:00 - 20:00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/netherlands/amsterdam/boutique-cartier-amsterdam---de-bijenkorf-BTQ2120.html
Boutique Cartier Dusseldorf,,"Königsallee, Steinstraße 1-3",,Dusseldorf,,40212,Germany,00 49 (0) 211 866 460,,,Mon-Fri 10h30-18h30 Sat 10h00-18h00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/germany/dusseldorf/boutique-cartier-dusseldorf-BTQ1804.html
Boutique Cartier Moscow - GUM,,"3 Red Square, GUM 1st line",,Moscow,,109012,Russia,+7 495 795 03 40,,,Пн-Вск 10.00-22.00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/russia/moscow/boutique-cartier-moscow---gum-BTQ17291.html
Boutique Frankfurt,,Goethestraße 11,,Frankfurt a. M.,,60313,Germany,+49 69 95932110,,,Mon-Fri 10h30-18h30 Sat 10h00-16h00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/germany/frankfurt-a.-m./boutique-frankfurt-BTQ1802.html
Boutique Cartier St Petersburg - Moyka,,"Nab. reki Moyka, 55",,Saint-Petersburg,,191186,Russia,+7 812 670 70 70,,,Monday to Sunday 11.00 - 20.00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/russia/saint-petersburg/boutique-cartier-st-petersburg---moyka-BTQ12744.html
Boutique Cartier Venezia,,"San Marco, Calle San Moisè 1474/1475",,Venezia,,30124,Italy,00 39 041 88 42 511,,,MON - SAT 10.00 - 19.00  SUN 11.00 - 19.00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/italy/venezia/boutique-cartier-venezia-BTQ6756.html
Boutique Cartier Berlin,,Kurfürstendamm 188/189,,Berlin,,10707,Germany,+49 30 886 7060,,,Mon-Fri 11h00-19h00 Sat 11h00-18h00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/germany/berlin/boutique-cartier-berlin-BTQ1805.html
Boutique Cartier Luxembourg,,"13, avenue Monterey, (corner rue Philippe II / avenue Monterey)",,Luxembourg,,L-2163,Luxembourg,00 352 222076,,,"Monday from 13.00 to 18.00, Tuesday to Saturday from 10.30 to 18.00",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/luxembourg/luxembourg/boutique-cartier-luxembourg-BTQ2376.html
Boutique Cartier Munich,,Maximilianstraße 20,,Munich,,80539,Germany,00 49 (0) 89 242 6700,,,Mon-Fri 10h30-18h30 Sat 10h30-18h00,,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/germany/munich/boutique-cartier-munich-BTQ1803.html
Boutique Cartier Paris - Galeries Lafayette,,40 boulevard Haussmann,,Paris,,75009,France,+33 (0)1 42 85 31 63,,,"Du lundi au samedi : 9h30 – 20h30, Dimanche : 11h00 - 19h00",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/france/paris/boutique-cartier-paris---galeries-lafayette-BTQ1206.html
Boutique Cartier Manama,,Bahrain World Trade Center,,Manama,,,Bahrain,00 973 1 753 3333,,,"May 27 to June 18 :, Morning From 10:00 AM to 3:00 PM, Evening From 8:00 PM to 12:00 Midnight, Friday From 2:00 PM to 4:00 PM & 8:00 PM to 1:00 AM, June 19 to June 24 :, Morning From 10:00 AM to 3:00 PM, Evening From 8:00 PM to 1:00",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/bahrain/manama/boutique-cartier-manama-BTQ16140.html
Boutique Cartier Harrods,,Knightsbridge,,London,,SW1X 7XL,United Kingdom,+44 20 7730 1234 (ext.4052),,,"Monday to Saturday, 10am to 9pm, Sunday, 11.30am to 6pm",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/united-kingdom/london/boutique-cartier-harrods-BTQ2010.html
Boutique Cartier Lucerne,,Schweizerhofquai 2,,Lucerne,,6004,Switzerland,+41 41 410 85 05,,,"April bis Oktober, Montag bis Sonntag 9:00 – 19:00",,,http://www.cartier.com/en-us/find-boutique/store-locator-listing/switzerland/lucerne/boutique-cartier-lucerne-BTQ1104.html
