store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
HIDALGO,1051,"HIDALGO # 31 Y 33, COL. SAN FRANCISCO DE TESITAN, C.P. 45200",,ZAPOPAN,JALISCO,,MEXICO,(33) 3805-2468,20.79910,-103.47727,Lun - Sab de 10:00 a 20:00 Dom 10:00 a 18:00,,,
ACUEDUCTO,1060,"AV. ACUEDUCTO #855 ENTRE AV. SANTA MARGARITA Y SANTA MERCEDES, COL. STA. MARGARITA, C.P. 45140",,ZAPOPAN,JALISCO,,MEXICO,(33) 3685-5651,20.73129,-103.42199,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 18:00,,,
AGUA FRIA,1147,"CARRETERA A SALTILLO 3510 COLONIA AGUA FRIA, C.P. 45180",,ZAPOPAN,JALISCO,,MEXICO,(38) 618-997,20.74522,-103.34575,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 15:00,,,
SANTA ANA,1150,"ANTIGUA CARRETERA A SANTA ANA #2059 COLONIA FRANCISCO SARABIA, C.P. 45230",,ZAPOPAN,JALISCO,,MEXICO,(33) 3188-7217,20.61235,-103.42892,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 16:00,,,
ATEMAJAC,1183,"AVENIDA PATRIA #55 ENTRE ITURBIDE Y FEDERALISMO COLONIA ATEMAJAC DEL VALLE, C.P. 45190",,ZAPOPAN,JALISCO,,MEXICO,(33) 285 113 0111,20.71525,-103.35506,Lun - Sab de 10:00 a 20:00  Dom de 10:00 de 17:00,,,
COPERNICO,130,AV. NICOLAS COPERNICO #950 COL. RESIDENCIAL PLAZA GPE. ENTRE MISION DE SAN ANTONIO Y AV. GPE. C.P. 45030,,ZAPOPAN,JALISCO,,MEXICO,(33) 3125-1572 3125-1573,20.65624,-103.43265,Lun - Sab de 10:00 a 20:00 Dom 10:00 a 17:00,,,
EL BATAN,209,PROLONGACION AVENIDA ALCALDE #288 COL. EL BATAN. ENTRE EXPERIENCIA Y PINO SUAREZ C.P. 45190,,ZAPOPAN,JALISCO,,MEXICO,(33) 3366-2319 3366-2481,20.72092,-103.34588,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 18:00,,,
AVIACION,396,AV. AVIACION #3775 COL. LA MONJONERA. ENTRE RAMON CORONA Y UNIDAD HABITACIONAL MILITAR C.P. 45200,,ZAPOPAN,JALISCO,,MEXICO,(33) 3636-4642 3636-4866,20.73206,-103.45214,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 18:00,,,
HIDALGO,514,AV. HIDALGO #42 COL. CENTRO. ENTRE AVE. EVA BRISEÑO Y GUADALUPE VICTORIA C.P. 45100,,ZAPOPAN,JALISCO,,MEXICO,(33) 3633-8303,20.72202,-103.39184,Lun - Sab de 10:00 a 20:00 Dom 10:00 a 18:00,,,
BRISEÑO,83,EVA BRISEÑO #43 COL. CENTRO. ENTRE 16 DE SEPTIEMBRE Y RAMON CORONA C.P. 45100,,ZAPOPAN,JALISCO,,MEXICO,(33) 3833-4187 3833-1246,20.72285,-103.39106,Lun - Sab 10:00 a 20:00 Dom 10:00 a 18:00,,,
MERCADO DEL MAR,888,PROLONGACION PINO SUAREZ #620 COL. EL VIGIA. ENTRE ESPUELA Y ESTRIBO C.P. 45140,,ZAPOPAN,JALISCO,,MEXICO,(33) 3656-6843,20.73147,-103.38922,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 18:00,,,
GUAYMAS,980,PUERTO DE GUAYMAS #871 COL. MIRAMAR. ENTRE BAHIA CHAMETLA Y PUERTO TEHUANTEPEC C.P. 45060,,ZAPOPAN,JALISCO,,MEXICO,(33) 1028-7499,20.64232,-103.44919,Lun - Sab de 10:00 a 20:00 Dom de 10:00 a 16:00,,,
20 DE NOVIEMBRE,424,AVE. 20 DE NOVIEMBRE #7 COL. CENTRO. ENTRE MORELOS Y OBREGON C.P. 49800,,TUXPAN,JALISCO,,MEXICO,(371) 417-2705,19.33212,-103.22365,Lun - Vie de 09:30 a 20:00 Sab de 9:30 a 20:30 Dom de 9:00 a 16:00,,,
CRUZ DEL SUR,1006,AV. CRUZ DEL SUR #3207 COL. LOMA BONITA EJIDAL. ENTRE JESUS REYES HEROES Y TABACHINES C.P. 45589,,TLAQUEPAQUE,JALISCO,,MEXICO,(33) 3144-9770,20.63385,-103.39995,Lun - Sab de 10:00 a 20:30 Dom de 10:00 a 17:00,,,
8 DE JULIO,1052,"AV. 8 DE JULIO #2047, COL. SAN SEBASTIANITO C.P. 45601",,TLAQUEPAQUE,JALISCO,,MEXICO,(33) 3797-9475,20.58444,-103.38572,Lun - Sab de 10:00 a 20:30 Dom de 10:00 a 16:00,,,
