store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
DAVID YURMAN,291744,The Americana at Brand798 Americana Way,,Glendale,CA,91210,United States,(818) 241-2836,,,"Sun 11:00 AM - 8:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 10:00 PM, Sat 10:00 AM - 10:00 PM",,,
DAVID YURMAN,290858,371 North Rodeo Drive,,Beverly Hills,CA,90210,United States,(310) 888-8618,,,"Sun 11:30 AM - 5:30 PM, Mon 10:00 AM - 6:00 PM, Tue 10:00 AM - 6:00 PM, Wed 10:00 AM - 6:00 PM, Thu 10:00 AM - 6:00 PM, Fri 10:00 AM - 6:00 PM, Sat 10:00 AM - 6:30 PM",,,
SAKS FIFTH AVENUEMen's Only,291047,9600 Wilshire Blvd.,,Beverly Hills,CA,90212,United States,(310) 275-4211,,,,,,
NEIMAN MARCUS,290870,9700 Wilshire Blvd.,,Beverly Hills,CA,90212,United States,(310) 550-5900,,,,,,
BLOOMINGDALE'S,290998,1250 Santa Monica Blvd.,,Los Angeles,CA,90067,United States,(310) 772-7113,,,,,,
Nordstrom,291549,400 South Baldwin Avenue,,Arcadia,CA,91007,United States,(626) 821-6363,,,,,,
BLOOMINGDALE'S,291045,14060 Riverside Dr.,,Sherman Oaks,CA,91423,United States,,,,,,,
BLOOMINGDALE'S,291477,315 Colorado Avenue,,Santa Monica,CA,90401,United States,,,,,,,
BLOOMINGDALE'S,291627,Santa Monica (MCA)315 Colorado BLVD,,Santa Monica,CA,90410,United States,,,,,,,
NORDSTROM,291346,21725 Victory Blvd,,Canoga Park,CA,91303,United States,,,,,,,
BLOOMINGDALE'S,291347,Fashion Valley Mall7057 Friars Road,,San Diego,CA,92108,United States,,,,,,,
NORDSTROM,290965,Fashion Valley6997 Friars Rd.,,San Diego,CA,92108,United States,(619) 295-4441,,,,,,
NEIMAN MARCUS,290876,Fashion Valley Center7027 Friars Rd.,,San Diego,CA,92108,United States,(619) 692-9100,,,,,,
Ben Bridge Jeweler,291667,Westfield UTC4505 La Jolla Village Dr. #19,,San Diego,CA,92122,United States,(858) 453-9996,,,,,,
