store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
GLOSS SALON,,10519 4S Commons Drive suite 161 ,,San Diego ,CA,92127,US,,33.0193243,-117.1132756,,,,
Salon on 30th,,2225 30th Street ,,San Diego ,CA,92104,US,,32.7292062,-117.129908,,,,
HYDE EDWARDS,,2308 A KETTNER BLVD ,,SAN DIEGO ,CA,92101,US,,32.7282143,-117.1714042,,,,
HUSH SALON,,45 NORTH 3RD STREET 2ND FLOOR ,,PHILADELPHIA ,PA,19106,US,,39.9514983,-75.1448583,,,,
PREP &amp FOXX ASSOCIATES,,1532 SOUTH BROAD STREET ,,PHILADELPHIA ,PA,19146,US,2157556500,39.9308536,-75.1686017,,,,
CR Hair Studio,,1745 South Street 2nd Floor ,,Philadelphia ,PA,19146,US,2674212491,39.9445947,-75.1717656,,,,
Le Chandelie Salon And Boutique,,6212 Ridge Road ,,Philadelphia ,PA,19128,US,2154593049,40.0358027,-75.2180102,,,,
Salon Fiber,,22 South Main Street ,,Phoenixville ,PA,19460,US,7571999,40.1333003,-75.5159781,,,,
The Modern Monarch - AZ,,3240 E Camelback Rd # 17 ,,Phoenix ,AZ,85018,US,602-505-2571,33.5103346,-112.0110227,,,,
The Office Salon,,3233 E. Indian School Road ,,Phoenix ,AZ,85018,US,520-204-7787,33.4949301,-112.0117843,,,,
Salon Eclectic - AZ,,42407 North Vision Way ,,Phoenix ,AZ,85086,US,623-551-1262,33.8696679,-112.1510486,,,,
Salon Embellish - AZ,,3508 N. 7th Street # 105 ,,Phoenix ,AZ,85014,US,602-368-4855,33.4887888,-112.0657037,,,,
ROOSE PARLOUR,,918 N. 6TH ST. ,,PHOENIX ,AZ,85003,US,,33.4583367,-112.0665488,,,,
REPOSE SALON AND SPA,,11 West Washington Street Suite 240 ,,Phoenix ,AZ,85003,US,4804781701,33.4480348,-112.0742088,,,,
Shampu Salon,,2000 Bagby Street Suite 112 ,,Houston ,TX,77002,US,,29.7525819,-95.3766249,,,,
SHYN SALON,,321 W. ALABAMA STREET ,,HOUSTON ,TX,77006,US,,29.7386785,-95.3843211,,,,
Traci Scott Salon,,615 West Gray ,,Houston ,TX,77019,US,,29.7531213,-95.3887883,,,,
Alanis Salon,,1210 W Clay St Ste 21 ,,Houston ,TX,77019,US,713-524-2610,29.7560039,-95.3943711,,,,
ESTILO SALON,,2521 HAZARD STREET ,,HOUSTON ,TX,77019,US,,29.7430395,-95.4067292,,,,
KUHL LINSCOMB,,2424 WEST ALABAMA STREET ,,HOUSTON ,TX,77098,US,,29.7388848,-95.4172544,,,,
Viva Studio-Carmen Trejo,,5703 N Figueroa Street ,,Los Angeles ,CA,90042,US,323-270-5263,34.1458732,-118.1844725,,,,
The Hive Highland Park,,5670 York Blvd ,,Los Angeles ,CA,90042,US,323-254-2901,34.1187878,-118.194477,,,,
Perry McGrath Salon,,2019 Riverside Drive ,,Los Angeles ,CA,90039,US,,34.0994929,-118.2495984,,,,
NEIGHBORHOOD SALON,,1838 ECHO PARK AVE. ,,LOS ANGELES ,CA,90026,US,,34.0852173,-118.252748,,,,
GOLD ON GRAND SALON,,527 W. 7 ST. STE. 401 ,,LOS ANGELES ,CA,90014,US,9092389992,34.0470796,-118.2562707,,,,
THE HIVE,,1402 MICHELTORENA STREET ,,LOS ANGELES ,CA,90026,US,,34.0876012,-118.2755484,,,,
