store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
NJ Regional Office,,440 Sylvan Ave. Suite 212 ,,Englewood Cliffs ,NJ,07632,US,201.567.0677,40.876474,-73.953103,,,,
JEI Corporate Headquarters,,4465 Wilshire Blvd. Suite 302 ,,Los Angeles ,CA,90010,US,877.JEI.MATH,34.062064,-118.326402,,,,
JEI Learning Center Closter,,253 Closter Dock Rd. Suite 1 ,,Closter ,NJ,07624,US,201.784.1911,40.972511,-73.960626,,,,
JEI Learning Center Princeton,,33 Princeton-Hightstown Rd. Unit 3 ,,Princeton Jct. ,NJ,08550,US,609.897.1072,40.318368,-74.619619,,,,
JEI Learning Center Fullerton,,4600 Beach Blvd. ,,Buena Park ,CA,90621,US,714.523.8882,33.894482,-117.987885,,,,
JEI Learning Center LA Koreatown,,626 S. Kingsley Dr. ,,Los Angeles ,CA,90005,US,213.365.2388,34.062814,-118.302472,,,,
JEI Learning Center Valencia,,25269 The Old Road # D ,,Valencia ,CA,91381,US,661.284.7766,34.377272,-118.567585,,,,
JEI Learning Center Chula Vista,,945-1 Otay Lakes Rd. ,,Chula Vista ,CA,91913,US,619.216.3950,32.641593,-116.993167,,,,
JEI Learning Center San Diego,,9995 Carmel Mountain Road Suite B-3 ,,San Diego ,CA,92129,US,(858) 231-9929,32.959787,-117.112571,,,,
JEI Learning Center Cupertino,,1054 South De Anza Blvd. # 118 ,,San Jose ,CA,95129,US,408.873.8171,37.30857,-122.031798,,,,
JEI Learning Center Austin,,12885 Research Blvd. # 107 ,,Austin ,TX,78750,US,512.453.9920,30.435016,-97.772055,,,,
JEI Learning Center Cresskill-Tenafly,,135 County Rd. Suite 1C ,,Cresskill ,NJ,07626,US,201.266.6299,40.939242,-73.957719,,,,
JEI Learning Center Edison-Piscataway,,1629 Stelton Road ,,Piscataway ,NJ,08854,US,732.777.7997,40.535296,-74.420421,,,,
JEI Learning Center Fort Lee,,2011 Lemoine Ave. Suite 204 ,,Fort Lee ,NJ,07024,US,201.585.8373,40.851767,-73.969917,,,,
JEI Learning Center Flushing Central,,135-27 38th Ave. 2Fl. ,,Flushing ,NY,11354,US,718.353.4388,40.760529,-73.831633,,,,
JEI Learning Center Union City,,31806 Alvarado Blvd. ,,Union City ,CA,94587,US,510.991.6900,37.591009,-122.071731,,,,
JEI Learning Center Pleasanton,,5990 Stoneridge Drive # 116 ,,Pleasanton ,CA,94588,US,925.468.0102,37.690239,-121.90228,,,,
JEI Learning Center San Ramon,,3170 Crow Canyon Place Suite 110 ,,San Ramon ,CA,94583,US,925.867.2729,37.774557,-121.972716,,,,
JEI Learning Center South San Jose,,2847 S. White Rd. Suite 201 ,,San Jose ,CA,95148,US,408.270.6162,37.323912,-121.79718,,,,
