store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Accents and Interiors,4829324,2701 86TH ST URBALE,,Urbandale ,IA,50322,US,515-276-7201,41.618775,-93.735427,,,,
Adornments,4829325,2826 E. 3RD AVE DENVER,,Denver ,CO,80206,US,303-321-7992,39.7208593,-104.953915,,,,
Alexia's Gift Box,4829326,25 WEST EAGLE ROAD HAVERTOWN,,Havertown ,PA,19083,US,(610) 446-3900,39.987174,-75.311532,,,,
Alixandra Blue-,4829327,COLLECTIONS 7027 E 5TH AVE SCOTTSDALE,,Scottsdale ,AZ,85251,US,480-947-2055,33.4973416,-111.9299096,,,,
Alixandra Collections,4829328,PHOENIX LOCATION   4410 E CAMELBACK RD PHOENIX,,Phoenix ,AZ,85018,US,480-947-2055,33.5102305,-111.9858767,,,,
Alixandra Collections - Phoenix,4829329,4410 E CAMELBACK RD,,Phoenix ,AZ,85018,US,602-956-0140,33.5102305,-111.9858767,,,,
Allure,4829330,526 SEWARD STREET SEWARD,,Seward ,NE,68434,US,402-643-3762,40.9079899,-97.0985504,,,,
Ambiance,4829333,737 HIGUERA ST SAN LUIS OBISPO,,San Luis Obispo ,CA,93401,US,(805) 540-3380,35.2791427,-120.6637786,,,,
Anything Bling,4829338,16165 CITY WALK SUGAR LAND,,Sugar Land ,TX,77479,US,281 813 6064,29.5953717,-95.6225182,,,,
Aranelle,4829341,BETSY SIMPSON 2940 STATE STREET CARLSBAD,,Carlsbad ,CA,92008,US,7604341140,33.1603653,-117.3490444,,,,
Art Effect,4829342,934 W. ARMITAGE AVE CHICAGO,,Chicago ,IL,60614,US,773-929-3600,41.9182412,-87.6523457,,,,
Art On Symmes,4829343,1000  RD. FAIRFIELD,,Fairfield ,OH,45014,US,513 844 2787,39.352301,-84.545584,,,,
ASPEN TRADERS Boutique,4829345,LTD   4724 E. DOUGLAS WICHITA,,WICHITA ,KS,67208,US,316-682-6784,37.6869152,-97.2811245,,,,
Barbara Jean,4829348,7811 CANTRELL RD LITTLE ROCK,,Little Rock ,AR,72227,US,501-227-0054,34.7749296,-92.3621074,,,,
Be Jeweled MA,4829350,26 CENTRE STREET NEW DFORD,,New Bedford ,MA,02740,US,508-990-1300,41.635136,-70.922535,,,,
Bella's House,4829352,BELL'AS  7890 E 106TH PLACE STE V-8,,Tulsa ,OK,,US,918) 970-4022/,36.008062,-95.8884361,,,,
BILLY'S,4829355,18723 VENTURA BLVD TARZANA,,TARZANA ,CA,91356,US,818-343-5332,34.17146,-118.541301,,,,
BLANC BOUTIQUE 1,4829356,54 SAN ANSELMO AVENUE SAN ANSELMO,,SAN ANSELMO ,CA,94960,US,415-485-0104,37.9746367,-122.5622089,,,,
Blonde,4829358,73-200 EL PASEO DRIVE SUITE 3A PALM DESERT,,Palm Desert ,CA,92260,US,760-836-3366,33.7201052,-116.387066,,,,
Blond Genius,4829357,165 S. JORDAN CREEK PKWY. #165 WEST DES MOINES IA 5,,West Des Moines ,IA,50266,US,712 830 4266,41.5671739,-93.8109849,,,,
BLOSSOM,4829359,13 S STATE STREET NEWTON,,NEWTON ,PA,18940,US,215-860-3388,40.2288037,-74.9365155,,,,
Blow Away,4829360,9580 N SUNNY SIDE CLOVES,,Cloves ,CA,93619,US,559-243-6693,36.8480605,-119.7892754,,,,
